"Perimeter","0.812516003893148","0.805753766315911","0.722666666666667","0.522666666666667","0.0538949256184821","0.0677443976049545","0.104365559560477","0.192178142562434"
"Area","0.837326758669674","0.812199413489736","0.726","0.598666666666667","0.0607317494488599","0.0780760955481869","0.113770049490513","0.163019604645826"
"Width.Mid.height","0.874728219512033","0.870012865850152","0.779333333333333","0.656","0.0491316467286592","0.0469290227694233","0.0899639500258329","0.176650415022204"
"Maximum.Width","0.859485047264342","0.846079816658774","0.758","0.656","0.0492008577686979","0.0561904307756174","0.0936006080402439","0.170463245659601"
"Height.Mid.width","0.822596149922222","0.828440213328733","0.725333333333333","0.501333333333333","0.052910158059227","0.0598177064197633","0.113626414044799","0.192122257868994"
"Maximum.Height","0.822808100530803","0.82566550227129","0.734","0.554666666666667","0.0508781222715518","0.0556200106117337","0.102210468474476","0.184131068967961"
"Curved.Height","0.818223707984673","0.822269681930032","0.727333333333333","0.596","0.0504496348149613","0.0577451075769018","0.102908486528335","0.172576216019388"
"Fruit.Shape.Index.External.I","0.817103428629078","0.813912147812244","0.768","0.614666666666667","0.0665921388775678","0.0760769282671552","0.0936364524899322","0.16235955899857"
"Fruit.Shape.Index.External.II","0.815783909749626","0.797992463886355","0.749333333333333","0.673333333333333","0.0670300140012631","0.081562224004285","0.0932246090927292","0.156156291810595"
"Average.Red","0.615491695761817","0.574191967109424","0.63","0.538666666666667","0.105904688605118","0.109712607815754","0.121373570533956","0.186736963433339"
"Average.Green","0.707355499427663","0.669449284112472","0.655333333333333","0.533333333333333","0.10250597738143","0.115958672066702","0.105891337660353","0.181960489356346"
"Average.Blue","0.723655290477503","0.679415574147548","0.667333333333333","0.621333333333333","0.103668540427337","0.116480126792501","0.109603719788604","0.184131068967961"
"Average.L.Value","0.69102105555415","0.669916407941445","0.636666666666667","0.517333333333333","0.0860134449692723","0.100077103243299","0.117248469411836","0.167390820539523"
"Average.a.Value","0.690905096614983","0.559744728027749","0.612","0.266666666666667","0.0878634562520088","0.109544588294277","0.11867274951104","0.163299316185545"
"Average.b.Value","0.408672175267807","0.432761010108533","0.538666666666667","0.312","0.145985459617789","0.154941378126253","0.1257389789514","0.183156514284456"
"Pericarp.Area","0.554012009016706","0.540370150302554","0.551612903225806","0.486021505376344","0.0988333491005474","0.106857195258899","0.097370765215508","0.16784529487225"
"Pericarp.Thickness","0.525958440336853","0.502820007935362","0.526881720430108","0.339784946236559","0.106839634881621","0.110893730058771","0.116226713372425","0.168845044053285"
