"Perimeter","0.773488599297567","0.767712034960612","0.707333333333333","0.508","0.0698370952070741","0.0829262933058686","0.107501625813625","0.194736097452441"
"Area","0.809849418617141","0.781774552929676","0.712666666666667","0.585333333333333","0.0739960776101158","0.0927865286860659","0.111906400646222","0.167246418954918"
"Width.Mid.height","0.87007622358382","0.865812704847335","0.781333333333333","0.654666666666667","0.0538676239757557","0.0523663619087691","0.092965077275508","0.176310687744604"
"Maximum.Width","0.851771906389596","0.840080551275519","0.76","0.646666666666667","0.0547048050283462","0.0613743435655526","0.0941225817893058","0.17092981670012"
"Height.Mid.width","0.795065491307257","0.799645377760242","0.712","0.496","0.0623924153965611","0.0721420208821437","0.110471837341639","0.194860128806941"
"Maximum.Height","0.793960739212432","0.795297009074317","0.72","0.542666666666667","0.0619257079570476","0.0705695029676999","0.103625552030168","0.188724673101151"
"Curved.Height","0.788647634375914","0.789759589613644","0.717333333333333","0.574666666666667","0.0622192277784832","0.0725082991141154","0.102155734951324","0.175394729002809"
"Fruit.Shape.Index.External.I","0.814983963620351","0.809692858737245","0.759333333333333","0.614666666666667","0.0670161951000419","0.0794633040618695","0.0920290781787206","0.165633486655223"
"Fruit.Shape.Index.External.II","0.811485421490647","0.791866107615142","0.745333333333333","0.677333333333333","0.0704541233770962","0.0871239398557615","0.0938273916207017","0.153328469916063"
"Average.Red","0.605790439636957","0.575333970544837","0.628666666666667","0.525333333333333","0.104250263007273","0.10508115926104","0.114303649918922","0.159776129735044"
"Average.Green","0.70508781350352","0.671092205040727","0.66","0.521333333333333","0.0876324636381042","0.104122281224468","0.105550649440519","0.186665068705209"
"Average.Blue","0.719898995834744","0.67993063941119","0.672666666666667","0.610666666666667","0.0886600541892543","0.106063440068081","0.10548492475814","0.183605451903477"
"Average.L.Value","0.682806915594667","0.662730650911391","0.628666666666667","0.496","0.0900693156108096","0.104826645597727","0.117773908453037","0.172964674206874"
"Average.a.Value","0.691176217296324","0.563515467770686","0.608666666666667","0.270666666666667","0.0885521389759053","0.11220587763554","0.120366702940364","0.160764393310831"
"Average.b.Value","0.407863564256588","0.441408630901041","0.537333333333333","0.288","0.142163055244588","0.151759980255058","0.119589155007993","0.191749277012716"
"Pericarp.Area","0.555355532073459","0.542615289345942","0.563917525773196","0.478350515463918","0.108149462228005","0.117850569092048","0.109149712751864","0.169697527557435"
"Pericarp.Thickness","0.529247761964923","0.511529986470971","0.54639175257732","0.327835051546392","0.107538694653664","0.109982689574663","0.116424023571619","0.153257862795326"
