"Trait","Pearson","Spearman","Top30%","Top15%"
"Perimeter","0.756830640642114","0.725313156763936","0.583472222222222","0.358333333333333"
"Area","0.636949494988922","0.715589866791671","0.569027777777778","0.346944444444444"
"Width.Mid.height","0.707429998573688","0.715672089882871","0.565277777777778","0.326388888888889"
"Maximum.Width","0.711890229925839","0.718449772288145","0.565277777777778","0.329444444444444"
"Height.Mid.width","0.723031952165335","0.61967462535733","0.463333333333333","0.333055555555556"
"Maximum.Height","0.749741785268267","0.670177722887305","0.510694444444444","0.374722222222222"
"Curved.Height","0.746066260725569","0.675360834407594","0.504722222222222","0.400277777777778"
"Fruit.Shape.Index.External.I","0.134408229224181","0.0982189148013594","0.363888888888889","0.218055555555556"
"Fruit.Shape.Index.External.II","0.0832112929563641","0.11376950271495","0.370138888888889","0.186388888888889"
"Curved.Fruit.Shape.Index","0.0473501609351931","0.11360623461854","0.360833333333333","0.150277777777778"
"Proximal.Fruit.Blockiness","0.266818632194513","0.293312390537423","0.375694444444444","0.198888888888889"
"Distal.Fruit.Blockiness","-0.00516847364430266","0.00659003690441738","0.267083333333333","0.102777777777778"
"Fruit.Shape.Triangle","0.12222186443898","0.0940760192446141","0.310138888888889","0.169722222222222"
"Ellipsoid","0.484199465329931","0.559144212731496","0.536111111111111","0.271388888888889"
"Circular","0.329012415525199","0.39150697292863","0.447083333333333","0.216944444444444"
"Rectangular","0.0545409401242389","0.119756912587601","0.33375","0.158333333333333"
"Shoulder.Height","0.465467011858359","0.547292861266771","0.511111111111111","0.230555555555556"
"Proximal.Angle.Micro","0.525644663439481","0.502412360127952","0.439166666666667","0.245"
"Proximal.Angle.Macro","0.528998727499984","0.520759131216063","0.508055555555556","0.273888888888889"
"Proximal.Indentation.Area","0.465786010919587","0.590946431916383","0.543472222222222","0.29"
"Distal.Angle.Micro","0.188961496374446","0.170124968408033","0.381805555555556","0.195555555555556"
"Distal.Angle.Macro","0.0521549510970918","0.0481587412148073","0.239861111111111","0.0727777777777778"
"Distal.Indentation.Area","0.0637283994327301","0.185712688730125","0.391805555555556","0.208888888888889"
"Distal.End.Protrusion","0.0123946251175638","0.12412084628822","0.306527777777778","0.161944444444444"
"Obovoid","-0.00635956027149706","0.0126596572660729","0.310972222222222","0.148888888888889"
"Ovoid","0.178703920723051","0.140493718283029","0.335972222222222","0.166388888888889"
"V..Asymmetry","-0.189346320233018","0.419637322387414","0.480972222222222","0.268055555555556"
"H..Asymmetry.ob","NaN","NaN","1","1"
"H..Asymmetry.ov","0.467944646678187","0.541568279590738","0.434305555555556","0.321111111111111"
"Width.Widest.Pos","0.112967334424141","0.171189975520412","0.41125","0.183888888888889"
"Eccentricity","0.410934903401357","0.522195454173061","0.6175","0.447777777777778"
"Proximal.Eccentricity","0.321382968671893","0.217138925721604","0.495138888888889","0.540833333333333"
"Distal.Eccentricity","-0.125710314888211","0.307421595356482","0.373888888888889","0.155"
"Fruit.Shape.Index.Internal","0.0830121288658784","0.113757256142818","0.371388888888889","0.187222222222222"
"Eccentricity.Area.Index","0.329333714538249","0.380896938626545","0.475972222222222","0.252222222222222"
"Average.Red","0.626921729566845","0.493559865619751","0.443194444444444","0.2225"
"Average.Green","0.465283977566283","0.372604535333411","0.470277777777778","0.445"
"Average.Blue","0.482811890307635","0.389535294347435","0.421527777777778","0.4475"
"Average.Luminosity","0.408323071055326","0.389543517324895","0.410833333333333","0.192222222222222"
"Average.L.Value","0.277961098888148","0.266816203757959","0.355555555555556","0.210833333333333"
"Average.a.Value","0.722596919991567","0.404009238642134","0.422222222222222","0.3075"
"Average.b.Value","0.27780011194182","0.1881899097621","0.368472222222222","0.182777777777778"
"Average.Hue","0.779771670193963","0.391938278839017","0.485416666666667","0.680555555555556"
"Average.Chroma","0.58011085812387","0.367413258330404","0.414583333333333","0.312222222222222"
"Lobedness.Degree","0.269948959224102","0.355469119887496","0.406944444444444","0.236388888888889"
"Pericarp.Area","0.432612977194505","0.611433598019785","0.610833333333333","0.320277777777778"
"Pericarp.Thickness","0.431525503095223","0.609404945371473","0.656527777777778","0.448888888888889"
