"Basic measurements",0.71133918268108,0.718848623184248,0.710843412870461,0.693273208401439,0.659404410371556,0.614980517072339,0.566086483102575,0.0434464837883991,0.0409096414314601,0.0393161425694213,0.0380685593835093,0.0356290346763377,0.033584550574678,0.0385967624543514
"Fruit shape",0.0779625874039708,0.0883232277052461,0.0952291693378709,0.0901609163814949,0.0830993727589069,0.0838768189091272,0.0979776064398426,0.0488978197662603,0.0437535795245388,0.0428151801582065,0.0333588355320333,0.0221022375334403,0.00730574728323825,0.0327004930794825
"Blockiness",0.117187101246466,0.127957340996397,0.126844653997451,0.124384939848861,0.116501522323786,0.100443673270129,0.0898269300955148,0.133799757897251,0.13608423201881,0.137625144958135,0.130303700216776,0.121615389273123,0.100391572291649,0.0750056084613047
"Homogeneity",0.268566377136833,0.289250940326456,0.300177014110907,0.299249741058677,0.292429294299809,0.276948400401092,0.277316038569411,0.208707083952539,0.217571467001001,0.219471431455479,0.20853203396918,0.193544720892698,0.169630082727826,0.141103328892019
"Proximal fruit end shape",0.479101185910379,0.496474103429353,0.502070876481907,0.494491118367973,0.47107940588491,0.436365995907119,0.39145777859157,0.0450101336274767,0.0356462784023817,0.0287095133876068,0.0307151109532876,0.0250959546190677,0.0161837117146292,0.0340520164148036
"Distal fruit end shape",0.0664586010457897,0.0793098680054579,0.0946574503056789,0.100350160260773,0.104481258949859,0.106742577279345,0.114966063685409,0.0701230042073565,0.0763354461350246,0.0692892708451815,0.0651928464147843,0.0537081665451123,0.0427075121351864,0.0649799348421301
"Asymmetry",0.107400840748986,0.112782004264173,0.112702632355563,0.108498953025929,0.110001605841772,0.0958601278517953,0.0968946474606574,0.237426731396226,0.242879843156483,0.239973877521893,0.230577588620128,0.209500077255931,0.187990063907464,0.162405596160017
"Internal eccentricity",0.202457433439563,0.203790680117833,0.200036855180792,0.19488920436986,0.184966740505407,0.177544204573269,0.17707437910458,0.18686155283692,0.221165149385643,0.266540350254665,0.286381321620802,0.238159447969707,0.168034208602296,0.178833979519412
"Colorimetric descriptor",0.505487779982334,0.51350903640394,0.50361245079532,0.477008255927026,0.432338166754588,0.358807101807498,0.240403987577205,0.192016514288979,0.179333962611149,0.169642460699975,0.160057705667701,0.143856484065807,0.122456367011129,0.0791279490568932
"Latitudinal fruit feature",0.353014960755648,0.37802914650461,0.400937177214376,0.399801149558453,0.397333769314859,0.403718942060089,0.421197252066711,0.0961895959873768,0.0936017671410183,0.0968168425369893,0.0975662356831853,0.110002453598198,0.107441697956973,0.102027992693974
"All",0.34153234558706,0.351960934003752,0.352795450784023,0.343110497917167,0.325044579142592,0.297142325968833,0.264798592464379,0.265105455591677,0.266666999385362,0.264896111366648,0.257989414804121,0.237402324256731,0.211555730760553,0.188915008769868
