"Trait","Mean-Pearson","Spearman","Top30","Top15","SD-Pearson","Spearman","Top30","Top15"
"Perimeter","0.818664871942236","0.806410571560002","0.716666666666667","0.530666666666667","0.0545507330740481","0.0688341958524376","0.100613331649403","0.180954466691651"
"Area","0.837950700142189","0.810916566039906","0.73","0.601333333333333","0.0608883586477404","0.0788276415562172","0.107908735985616","0.156293763446179"
"Width.Mid.height","0.889552661020645","0.886512707722385","0.801333333333333","0.656","0.0468129103759836","0.0445249360756288","0.0889813091501584","0.172030900923303"
"Maximum.Width","0.872322965933015","0.862717109705753","0.785333333333333","0.653333333333333","0.0494045385071436","0.0582158099469238","0.0936842237559806","0.161647004039632"
"Height.Mid.width","0.829211892599421","0.836595006037606","0.740666666666667","0.550666666666667","0.0495328209626387","0.0591353419062245","0.112385163860398","0.182358400217138"
"Maximum.Height","0.83070238639601","0.829854522454143","0.742666666666667","0.597333333333333","0.0484874561054252","0.0581697486664234","0.103201546907575","0.17491960441571"
"Curved.Height","0.825595422019483","0.824948623912114","0.73","0.621333333333333","0.0496593289020726","0.0603737367855879","0.0960634577738231","0.173625635484911"
"Fruit.Shape.Index.External.I","0.839668069276209","0.840675733498542","0.79","0.637333333333333","0.0571532875099812","0.0699445447288189","0.0946558584749204","0.172446535500902"
"Fruit.Shape.Index.External.II","0.8428554673365","0.833483547910553","0.77","0.698666666666667","0.0561937530648419","0.074273678457561","0.092504307898961","0.147910124473277"
"Curved.Fruit.Shape.Index","0.835765147111448","0.799903534469706","0.756","0.7","0.0631980205997152","0.0844407062120894","0.0999865762802268","0.161785341252832"
"Proximal.Fruit.Blockiness","0.702050527595766","0.594887176283794","0.574666666666667","0.524","0.0931005755388711","0.122764261281008","0.113034215088886","0.151360718530582"
"Distal.Fruit.Blockiness","0.561531891193515","0.59689776631075","0.633333333333333","0.369333333333333","0.121051536946387","0.111991891907202","0.107856894168555","0.16341435236626"
"Fruit.Shape.Triangle","0.6027051752829","0.588998683469303","0.577333333333333","0.308","0.129924635922021","0.124071583819647","0.123237461982119","0.174371354090965"
"Ellipsoid","0.715859502508339","0.661015107020396","0.630666666666667","0.54","0.112491406313982","0.10757648077987","0.111093809242017","0.196274017467636"
"Circular","0.818404491874778","0.784297695826462","0.766","0.670666666666667","0.064482552383331","0.0831536323081523","0.0968150523545596","0.160764393310831"
"Rectangular","0.776975999256248","0.76208982740085","0.741333333333333","0.552","0.0703070656068677","0.0778844185999123","0.0906254676760285","0.158313256704302"
"Shoulder.Height","0.726538376235598","0.651807724012876","0.676","0.637333333333333","0.0999077941509452","0.108570397442469","0.109715923605543","0.149067196534898"
"Proximal.Angle.Micro","0.512551451873253","0.481432637571158","0.529333333333333","0.42","0.118079132052614","0.126832385333213","0.107157706438767","0.190724510554293"
"Proximal.Angle.Macro","0.706778532783745","0.688657926513714","0.674666666666667","0.621333333333333","0.0902444278949975","0.0990018780252731","0.0956690791579762","0.173625635484911"
"Proximal.Indentation.Area","0.694076995192539","0.679648246022083","0.651333333333333","0.610666666666667","0.0991518760409036","0.0949826199086185","0.113360307357189","0.186506802750022"
