"Trait","Mean-Pearson","Spearman","Top30","Top15","SD-Pearson","Spearman","Top30","Top15"
"Perimeter","0.823281793763289","0.814163144730033","0.731333333333333","0.558666666666667","0.055747394374611","0.0694707059306147","0.100426384048095","0.187239453575873"
"Area","0.840829786719027","0.812228595250417","0.73","0.604","0.0597292106902274","0.0790798453505555","0.102812790053853","0.156247953006726"
"Width.Mid.height","0.892715378160216","0.889233942844","0.806666666666667","0.656","0.0462479354941918","0.0443972905845849","0.0848739030464873","0.179664116146972"
"Maximum.Width","0.874541932259527","0.865072954436101","0.788","0.649333333333333","0.0490480870410435","0.0568875561977879","0.0911669314827101","0.171744568671061"
"Height.Mid.width","0.836230636615187","0.843800888390547","0.761333333333333","0.584","0.0468884524214763","0.0571128855225022","0.111600117068729","0.172653977576986"
"Maximum.Height","0.838288881305188","0.838996391811857","0.761333333333333","0.621333333333333","0.0469796869490704","0.0577910070392557","0.100192209014492","0.175164990934881"
"Curved.Height","0.831457041048844","0.833124577660412","0.753333333333333","0.648","0.049448679477444","0.0596357011565021","0.102103163165553","0.166576261834366"
"Fruit.Shape.Index.External.I","0.850342991903719","0.851427722767535","0.799333333333333","0.653333333333333","0.0500933986161874","0.0619575025271649","0.0870829787625378","0.171322007999719"
"Fruit.Shape.Index.External.II","0.849065976486222","0.841996393733796","0.784","0.712","0.0522345667061986","0.0725928267321091","0.0828032356790855","0.134074005408112"
"Curved.Fruit.Shape.Index","0.839173413628058","0.80854625949461","0.777333333333333","0.697333333333333","0.0606640075293233","0.0837592828565815","0.0977235291174891","0.160095050066916"
"Proximal.Fruit.Blockiness","0.705128754616027","0.595367118434585","0.576666666666667","0.505333333333333","0.0907981735559036","0.124853997420233","0.115518479109015","0.154913557479091"
"Distal.Fruit.Blockiness","0.5712757946373","0.603788780892518","0.634666666666667","0.392","0.111266928294778","0.107198466146661","0.109903353923251","0.166898273079882"
"Fruit.Shape.Triangle","0.610959181747206","0.601134161688836","0.588","0.312","0.127445631369199","0.121664215053361","0.120913747060406","0.180201229800122"
"Ellipsoid","0.699514333384722","0.641561028749956","0.612666666666667","0.532","0.120202157980558","0.114362232793237","0.114280161258508","0.190837082209692"
"Circular","0.824483488075935","0.792798485768906","0.762666666666667","0.68","0.0590411903480593","0.0775726960817547","0.0959212951048209","0.170274157142545"
"Rectangular","0.774042202862006","0.761359768067406","0.738","0.533333333333333","0.0710108899714568","0.0785937738968047","0.0924462477596155","0.164935076373537"
"Shoulder.Height","0.723091056105588","0.645099803254361","0.676666666666667","0.624","0.103190743120059","0.106388239139418","0.114350612765394","0.155300099180165"
