"Basic measurements",0.752845378704809,0.809175556138916,0.837500687471555,0.841986982452245,0.843428700007571,0.843004206893891,0.848192207124468,0.844198139521691,0.0437261180041819,0.0285220024206254,0.0225550705463066,0.0241819488907746,0.0267321794868441,0.0280661698234068,0.0254052996988585,0.0245926685332034
"Fruit shape",0.713465250645464,0.742887241812615,0.814800884048827,0.83318027860041,0.839429561241386,0.843105291836428,0.846194127339333,0.836216795221042,0.00958601308697836,0.0079283138495669,0.00251488175901247,0.00382445216271098,0.00355117231142783,0.00492622699084753,0.00611355116572151,0.00382232141135357
"Blockiness",0.521991371939696,0.548495383017163,0.608752596740063,0.616232795376066,0.622095864690727,0.628186321459953,0.629121243666844,0.617922206914139,0.0491139463852917,0.0407201975499831,0.0711637198735184,0.074752800721773,0.0722382926215045,0.0665999979844062,0.0687499024991763,0.0679311816609845
"Homogeneity",0.640551539291221,0.65379216707892,0.762985058402534,0.768215047167766,0.770413331213122,0.765491318840841,0.766013341440888,0.766647611392999,0.0447129043337609,0.0922103476211235,0.0426151105064569,0.0520220513744586,0.0515865308963879,0.0601552212241983,0.0628702582136317,0.0542885565492628
"Proximal fruit end shape",0.581775828406558,0.577149238939942,0.644125299740096,0.660523189935216,0.659986339021284,0.664323649722053,0.65759384941529,0.655595988336276,0.0707310747742315,0.10832707721347,0.0885444074794848,0.0952147019788668,0.0991932488311217,0.0924859351857637,0.0990763740496686,0.0952751228116854
"Distal fruit end shape",0.567743460790463,0.60162134539624,0.653036642860683,0.662697692378975,0.66349902776986,0.656007940575925,0.655454323851263,0.659175822672445,0.130577595949093,0.17501851109833,0.150591078559453,0.153679063254071,0.154625990783945,0.165050861364184,0.168769352866565,0.158888549218874
"Asymmetry",0.533585283207309,0.594639477271885,0.623795439880108,0.631664498018672,0.634300395936591,0.638380647297359,0.638407718399132,0.632280200041975,0.106198498250447,0.107831808149847,0.122464207286708,0.12030124591719,0.115969791079753,0.109878872263374,0.111224688071485,0.117982475605952
"Internal eccentricity",0.562061196690721,0.59628013425326,0.641380286993604,0.648435083163257,0.650043714599334,0.650601963021333,0.648657006942991,0.647751047771423,0.259779562505473,0.273284840474462,0.290087509284082,0.291128128250883,0.292195549505636,0.289436155597707,0.298714823530029,0.297081461303031
"Colorimetric descriptor",0.572760795677119,0.575441502412948,0.647668314211133,0.662558165807707,0.666128221249397,0.669430340894173,0.666864615483214,0.659929912916977,0.103177752101804,0.08174968787468,0.101516125774551,0.104832880306124,0.1025211693349,0.1024967386979,0.100965394595931,0.103748336083993
"Latitudinal fruit feature",0.493937094106334,0.504903778424261,0.553558272050206,0.564213345324049,0.5613549524484,0.557536055102275,0.556200401482123,0.555564522792099,0.0334129209042609,0.0331919858335584,0.026663389309403,0.0196782192759159,0.021829422898799,0.0230224781616866,0.0247445271799987,0.0248523229127059
"All",0.599618135277624,0.627423431819063,0.682798948512699,0.693023209105691,0.695194667853477,0.696149512501841,0.695847420918277,0.691773526896476,0.127920142701659,0.139423255369334,0.139341144321389,0.139760734674818,0.13981624144502,0.139202481378564,0.14252294568771,0.141823920624715
"Basic measurements",0.753014748667446,0.802691601605966,0.832024735809726,0.836479066111207,0.83685072963313,0.836567540524051,0.842374356446195,0.839124219813575,0.0340528824720136,0.0242908029170283,0.0221801647574964,0.0255988277504216,0.0286508818382001,0.0305708280526763,0.0274307935803685,0.0256638218535763
"Fruit shape",0.661616808014272,0.703004107145851,0.790415093043198,0.816461482723391,0.824687605292934,0.826735418447469,0.83399012533198,0.820972752403053,0.0284457499080238,0.0326415265866654,0.02566856765073,0.0239516615669181,0.0217628010217227,0.020897037827074,0.0225339793067766,0.0220849359005152
"Blockiness",0.508442449285255,0.514871327769776,0.578831061698409,0.587546909363513,0.593594542021282,0.600342304973785,0.600096687005313,0.589157969418781,0.0219748792032529,0.0440580868252716,0.00761391839222869,0.00290642236246256,0.00410512544710573,0.00575603510575559,0.00430562015603476,0.0101493314433905
"Homogeneity",0.610778809992464,0.618964529187951,0.724426611074326,0.734216763144136,0.735800876749236,0.729228370249837,0.731906427528756,0.733960673024028,0.0505264668709082,0.111237036541965,0.0552426161517403,0.0645186490985421,0.065711345066538,0.079826184387959,0.0798048654723128,0.0664103373639222
"Proximal fruit end shape",0.537044694459694,0.52654764164643,0.603519450941111,0.622396173449903,0.625386633529958,0.629653020505612,0.621812730535375,0.618411369687982,0.0684985609167366,0.0989806155040224,0.0837072118152482,0.0911793619434281,0.0972426622439873,0.095207469808203,0.0998570529986931,0.0945690506991933
"Distal fruit end shape",0.545677571809763,0.57382554532118,0.636805803063083,0.654797078042072,0.656489194747497,0.650355392421135,0.648602377865463,0.65186173806208,0.119479185070802,0.143090664692133,0.132053522205482,0.134607603299615,0.132512535535255,0.139955321005902,0.147096934905763,0.137197736844282
"Asymmetry",0.456834617652361,0.492402615783872,0.509146171636414,0.51016413685512,0.513139672725958,0.521498818954146,0.522201951384367,0.514606651435347,0.121448083677663,0.158517698178009,0.177030602452678,0.185456697669581,0.183164693649576,0.17462557060677,0.176247636725725,0.181247079977059
"Internal eccentricity",0.486434814927604,0.499211661182704,0.578301218522824,0.578825540067532,0.577891263921734,0.570891876535687,0.570247803180386,0.580056655129318,0.260935247920502,0.28440759832945,0.276139312281923,0.285103330031826,0.293518285658,0.298345046579367,0.305883665454103,0.291007534145531
