"Trait","Mean-AUC","Accurancy","Top1","Top2","SD-AUC","Accurancy","Top1","Top2"
"Perimeter","NaN","0.631095298911391","0","0.182486957486957",NA,"0.0859046217055765","0","0.173995505518148"
"Area","NaN","0.589692387221123","0","0.161893738977072",NA,"0.0856781464053868","0","0.182555595548577"
"Width.Mid.height","NaN","0.60948275862069","0","0.0128378378378378",NA,"0.0879696586711205","0","0.059922304021574"
"Maximum.Width","NaN","0.609022988505747","0","0.019481981981982",NA,"0.0878186377673488","0","0.0751199221017576"
"Height.Mid.width","NaN","0.599657909140668","0","0.00601851851851852",NA,"0.0813563430585558","0","0.0423939378203138"
"Maximum.Height","NaN","0.628990147783251","0","0.210796387520525",NA,"0.0912852750048071","0","0.189733454200905"
"Curved.Height","NaN","0.644088669950739","0","0.249900793650794",NA,"0.0865348766576146","0","0.212886076192298"
"Pericarp.Area","NaN","0.554020555859636","0","0",NA,"0.0782260626445391","0","0"
"Pericarp.Thickness","NaN","0.563476859453871","0","0.0931340939153439",NA,"0.081533248857595","0","0.163461445034313"
