"Trait","Pearson","Spearman","Top30%","Top15%"
"Perimeter","0.371502591921567","0.344912494912495","0.441666666666667","0.508333333333333"
"Area","0.456366574141244","0.377822547822548","0.385","0.471666666666667"
"Width.Mid.height","0.41773083457233","0.473653304480572","0.380833333333333","0.306666666666667"
"Maximum.Width","0.415075784724262","0.462393162393162","0.3775","0.261666666666667"
"Height.Mid.width","0.433256365818772","0.123992985899044","0.3675","0.538333333333333"
"Maximum.Height","0.406126482796026","0.231954979591582","0.414166666666667","0.521666666666667"
"Curved.Height","0.402409030743263","0.258648758648759","0.381666666666667","0.53"
"Fruit.Shape.Index.External.I","0.704394512742041","0.565213675213675","0.806666666666667","0.326666666666667"
"Fruit.Shape.Index.External.II","0.689869441610676","0.625567765567765","0.763333333333333","0.456666666666667"
"Curved.Fruit.Shape.Index","0.415849233943612","0.528827838827839","0.6625","0.553333333333333"
"Proximal.Fruit.Blockiness","0.0545001325644879","0.104143264143264","0.2325","0.00166666666666667"
"Distal.Fruit.Blockiness","0.0904261507718335","0.157024827024827","0.246666666666667","0.0583333333333333"
"Fruit.Shape.Triangle","-0.297170784830111","-0.36021571021571","0.115833333333333","0.0916666666666667"
"Ellipsoid","0.384887666389675","0.374324766256168","0.3625","0.221666666666667"
"Circular","0.354955409202367","0.372372812372812","0.3675","0.205"
"Rectangular","0.215178734529356","0.240927960927961","0.428333333333333","0.178333333333333"
"Shoulder.Height","0.146677990905101","0.229773018908371","0.394166666666667","0.151666666666667"
"Proximal.Angle.Micro","-0.264847298679114","-0.174139648484846","0.240833333333333","0.143333333333333"
"Proximal.Angle.Macro","-0.00367968095607069","-0.0327269027269027","0.215833333333333","0.0116666666666667"
"Proximal.Indentation.Area","0.235839088203731","0.252140822140822","0.356666666666667","0.0583333333333333"
"Distal.Angle.Micro","0.228183282011879","0.183695563695564","0.2925","0.248333333333333"
"Distal.Angle.Macro","0.263410206422559","0.416491656491656","0.338333333333333","0.18"
"Distal.Indentation.Area","0.0340624155221644","0.344053447672215","0.484166666666667","0.205"
"Distal.End.Protrusion","0.154983790564285","0.193619421442305","0.334166666666667","0.22"
"Obovoid","-0.250926022077269","-0.154746726020792","0.256666666666667","0.206666666666667"
"Ovoid","-0.407639603627353","-0.341942168756024","0.120833333333333","0.0716666666666667"
"V..Asymmetry","0.0620884103838865","0.175082212813957","0.4725","0.01"
"H..Asymmetry.ob","NaN","NaN","1","1"
"H..Asymmetry.ov","0.274252305031087","0.325885225885226","0.379166666666667","0.226666666666667"
"Width.Widest.Pos","-0.0744180115993977","0.0126129426129426","0.359166666666667","0.39"
"Eccentricity","0.01773737849805","0.274745624745625","0.46","0.49"
"Proximal.Eccentricity","0.136625082872497","-0.027494554668566","0.299166666666667","0.365"
"Distal.Eccentricity","-0.184353572444047","-0.0880663805224148","0.151666666666667","0"
"Fruit.Shape.Index.Internal","0.682287954428561","0.651172161172161","0.763333333333333","0.456666666666667"
"Eccentricity.Area.Index","-0.0675391384509001","0.00935286935286935","0.229166666666667","0.095"
"Average.Red","0.279547676430778","0.334220594220594","0.554166666666667","0.42"
"Average.Green","0.941695910358824","0.76047619047619","0.579166666666667","0.0866666666666667"
"Average.Blue","0.89658203376624","0.800643060643061","0.565833333333333","0.248333333333333"
"Average.Luminosity","0.258986733707222","0.164139194139194","0.386666666666667","0.23"
"Average.L.Value","0.856313228902583","0.753772893772894","0.516666666666667","0.193333333333333"
"Average.a.Value","0.951605027528861","0.687378917378917","0.910833333333333","0.508333333333333"
"Average.b.Value","0.608299607794898","0.682205942205942","0.618333333333333","0.575"
"Average.Hue","0.965816352129272","0.736088726088726","0.474166666666667","0.496666666666667"
"Average.Chroma","0.803331400189005","0.636894586894587","0.858333333333333","0.395"
"Lobedness.Degree","0.680600969117859","0.60023606023606","0.404166666666667","0.131666666666667"
"Pericarp.Area","0.127890594390081","0.0956735856735857","0.3875","0.231666666666667"
"Pericarp.Thickness","0.198013936105372","0.131583231583232","0.386666666666667","0.17"
