"Trait","Pearson","Spearman","Top30%","Top15%"
"Perimeter","0.506031074370826","0.500776556776557","0.508333333333333","0.533333333333333"
"Area","0.497870762249672","0.405157509157509","0.425","0.47"
"Width.Mid.height","0.479453907499245","0.545327429187985","0.465","0.27"
"Maximum.Width","0.477898870158819","0.540336996336996","0.45","0.24"
"Height.Mid.width","0.453155728816473","0.196936366160047","0.39","0.53"
"Maximum.Height","0.487269969977856","0.324916383952529","0.471666666666667","0.59"
"Curved.Height","0.488217343302407","0.371223443223443","0.48","0.576666666666667"
"Fruit.Shape.Index.External.I","0.710296544176071","0.543091575091575","0.751666666666667","0.47"
"Fruit.Shape.Index.External.II","0.706678807233541","0.59774358974359","0.715","0.516666666666667"
"Curved.Fruit.Shape.Index","0.4708622241983","0.515809523809524","0.601666666666667","0.456666666666667"
"Proximal.Fruit.Blockiness","0.246343797186252","0.258901098901099","0.358333333333333","0.07"
"Distal.Fruit.Blockiness","0.0537697147496993","0.157684981684982","0.265","0.0766666666666667"
"Fruit.Shape.Triangle","-0.329167189418843","-0.35185347985348","0.146666666666667","0.0533333333333333"
"Ellipsoid","0.395748791506191","0.384375073863892","0.385","0.223333333333333"
"Circular","0.409563509897063","0.387369963369963","0.348333333333333","0.186666666666667"
"Rectangular","0.174276361375153","0.210315018315018","0.388333333333333","0.106666666666667"
"Shoulder.Height","0.238529216702936","0.351962156382475","0.526666666666667","0.3"
"Proximal.Angle.Micro","-0.2146144855036","-0.093265516355739","0.325","0.2"
"Proximal.Angle.Macro","0.0730890055284126","0.100395604395604","0.291666666666667","0.0966666666666667"
"Proximal.Indentation.Area","0.257557131575106","0.308835164835165","0.425","0.19"
"Distal.Angle.Micro","0.246013276119921","0.154930402930403","0.326666666666667","0.203333333333333"
"Distal.Angle.Macro","0.292058891623381","0.370461538461538","0.24","0.0666666666666667"
"Distal.Indentation.Area","0.0657602112775168","0.160957087342904","0.378333333333333","0.136666666666667"
"Distal.End.Protrusion","0.0928426963606807","0.18747167163573","0.408333333333333","0.246666666666667"
"Obovoid","-0.247562153152444","-0.160327259885999","0.276666666666667","0.2"
"Ovoid","0.0484624087406804","0.0725667757421301","0.158333333333333","0.0233333333333333"
"V..Asymmetry","0.068275964726529","0.19793065486453","0.45","0.11"
"H..Asymmetry.ob","NaN","NaN","1","1"
"H..Asymmetry.ov","0.320387928901017","0.394813186813187","0.368333333333333","0.17"
"Width.Widest.Pos","0.110185846579892","0.184996336996337","0.435","0.31"
"Eccentricity","0.0813252672544669","0.279062271062271","0.448333333333333","0.213333333333333"
"Proximal.Eccentricity","0.525013470980538","0.177031456118348","0.498333333333333","0.61"
"Distal.Eccentricity","-0.423358148427184","-0.273618303431691","0.11","0.00333333333333333"
"Fruit.Shape.Index.Internal","0.696898551821336","0.620395604395604","0.715","0.516666666666667"
"Eccentricity.Area.Index","-0.0887793434341548","0.0278681318681319","0.276666666666667","0.0566666666666667"
"Average.Red","0.672371371076195","0.640908424908425","0.738333333333333","0.433333333333333"
"Average.Green","0.945563760129958","0.731545787545788","0.491666666666667","0.113333333333333"
"Average.Blue","0.89899948234785","0.792820512820513","0.603333333333333","0.21"
"Average.Luminosity","0.274757938113408","0.20196336996337","0.368333333333333","0.113333333333333"
"Average.L.Value","0.861362973320808","0.736967032967033","0.48","0.0833333333333333"
"Average.a.Value","0.964788208712593","0.752967032967033","0.856666666666667","0.65"
"Average.b.Value","0.62260130152778","0.670095238095238","0.666666666666667","0.513333333333333"
"Average.Hue","0.974234052059742","0.789186813186813","0.631666666666667","0.593333333333333"
"Average.Chroma","0.866660504884334","0.6683663003663","0.761666666666667","0.51"
"Lobedness.Degree","0.69423813432965","0.578754578754579","0.373333333333333","0.12"
"Pericarp.Area","0.226131469991595","0.203047619047619","0.441666666666667","0.243333333333333"
"Pericarp.Thickness","0.316351647769241","0.245802197802198","0.406666666666667","0.12"
