Taxa,Perimeter,Area,Width.Mid.height,Maximum.Width,Height.Mid.width,Maximum.Height,Curved.Height,Fruit.Shape.Index.External.I,Fruit.Shape.Index.External.II,Curved.Fruit.Shape.Index,Proximal.Fruit.Blockiness,Distal.Fruit.Blockiness,Fruit.Shape.Triangle,Ellipsoid,Circular,Rectangular,Shoulder.Height,Proximal.Angle.Micro,Proximal.Angle.Macro,Proximal.Indentation.Area,Distal.Angle.Micro,Distal.Angle.Macro,Distal.Indentation.Area,Distal.End.Protrusion,Obovoid,Ovoid,V..Asymmetry,H..Asymmetry.ob,H..Asymmetry.ov,Width.Widest.Pos,Eccentricity,Proximal.Eccentricity,Distal.Eccentricity,Fruit.Shape.Index.Internal,Eccentricity.Area.Index,Average.Red,Average.Green,Average.Blue,Average.Luminosity,Average.L.Value,Average.a.Value,Average.b.Value,Average.Hue,Average.Chroma,Lobedness.Degree,Pericarp.Area,Pericarp.Thickness,Average.fruit.weight,Productivity.per.plant,Fruit.number.per.plant,Brix..,BNTC,FRAP..umol.Fe2..g.FW,TP..mg.GAE.100g.FW
CPSBB_TOM093,277.598,5000.879,85.598,86.021,63.274,71.769,72.576,0.852,0.758,0.864,0.681,0.715,0.955,0.043,0.077,0.556,0.071,245.4,224.333,0.147,190.433,171.233,0.025166667,0.010033333,0.115533333,0.048,0.144,0.160066667,0.05,0.518,0.707,0.892,0.888,0.758,0.45,143.285,77.039,62.057,96.605,43.444,28.628,25.509,41.702,38.345,1.577,0.637,0.198,278.27,1290,5,5.5,27.2,4.09,55.77
CPSBB_TOM094,238.855,3464.705,77.301,78.19,45.403,54.737,57.213,0.7,0.589,0.739,0.799,0.659,1.22,0.063,0.143,0.57,0.129,256.625,259.75,0.245,173.625,167.35,0.001125,0.004325,0,0.188,0.085,0,0.246,0.431,0.664,0.892,0.887,0.589,0.492,149.386,129.232,85.003,110.353,58.757,0.478,32.207,89.256,32.363,1.695,0.706,0.158,173.15,1497,8,5.5,22.7,4.25,57.3
CPSBB_TOM095,196.993,2557.412,59.246,59.732,47.752,53.467,55.805,0.898,0.81,0.947,0.762,0.608,1.259,0.041,0.058,0.529,0.059,250.025,219.375,0.093,162.7,153.075,0,0,0,0.187,0.098,0,0.204,0.43,0.714,0.889,0.888,0.809,0.445,137.284,75.854,60.192,92.903,42.056,26.507,24.449,42.772,36.077,1.228,0.559,0.251,85.35,2906,34,5.4,18.4,3.43,57.57
CPSBB_TOM096,214.6,2860.08,69.511,69.871,41.254,49.805,51.647,0.717,0.598,0.744,0.786,0.7,1.127,0.057,0.133,0.579,0.092,252.125,233.35,0.164,203.275,178.217,0.034325,0.012075,0.017475,0.116,0.112,0.038275,0.125,0.461,0.662,0.89,0.885,0.597,0.495,139.497,74.902,61.096,94.345,42.114,28.132,23.893,40.416,36.953,1.272,0.673,0.178,157.31,3375,21,6.5,27.5,3.37,59.3
CPSBB_TOM097,195.672,2602.403,52.176,52.515,57.383,60.135,60.591,1.144,1.098,1.162,0.759,0.647,1.173,0.036,0.061,0.548,0.041,229.675,176.075,0.064,171.7,147.875,0,0,0,0.161,0.086,0,0.146,0.45,0.763,0.889,0.888,1.098,0.423,144.477,69.86,58.136,95.284,41.732,33.193,25.683,37.715,41.974,1.372,0.544,0.261,81,2209,29,5.7,20.9,3.24,51.28
CPSBB_TOM098,199.093,2614.699,55.838,56.833,51.456,56.092,57.181,0.989,0.923,1.021,0.837,0.622,1.354,0.05,0.053,0.564,0.058,248.5,210.225,0.121,170.25,154.325,0,0,0,0.227,0.062,0,0.258,0.408,0.734,0.889,0.888,0.925,0.45,145.176,74.503,58.758,95.943,42.952,30.696,26.947,41.375,40.862,1.671,0.559,0.251,93.57,2411,26,4.8,14.6,3.35,59.3
CPSBB_TOM099,247.678,3856.301,79.107,79.389,48.627,59.605,59.686,0.766,0.638,0.772,0.761,0.681,1.119,0.055,0.119,0.569,0.097,248.967,228.633,0.19,203.367,174.2,0.079966667,0.025133333,0,0.143,0.187,0,0.147,0.458,0.656,0.891,0.888,0.638,0.494,141.477,68.51,59.784,94.595,40.953,32.876,23.161,35.182,40.221,1.674,0.73,0.144,186.77,2272,12,5.7,25.7,3.71,59.5
CPSBB_TOM100,165.425,1893.804,47.117,47.477,46.503,49.234,50.011,1.037,0.987,1.066,0.735,0.619,1.188,0.029,0.037,0.524,0.038,237.625,182.375,0.083,213.1,149.775,0,0,0,0.162,0.087,0,0.124,0.439,0.755,0.89,0.886,0.987,0.422,144.31,77.392,61.925,97.015,43.579,28.855,25.617,41.656,38.592,1.387,0.559,0.251,53.75,2463,44,5.5,31.5,4.71,65.56
CPSBB_TOM101,218.764,3312.354,60.875,61.193,63.373,66.082,66.715,1.085,1.048,1.106,0.705,0.642,1.099,0.026,0.044,0.524,0.034,228.85,177.05,0.051,171.95,149.375,0,0,0,0.118,0.078,0,0.129,0.493,0.766,0.889,0.887,1.046,0.411,140.146,68.324,57.353,92.863,40.77,32.069,24.591,37.709,40.477,1.007,0.589,0.231,132.23,1519,12,5.1,23.4,3.91,56.77
CPSBB_TOM102,212,2943.267,66.485,66.929,47.837,54.166,55.558,0.818,0.729,0.851,0.766,0.638,1.201,0.043,0.086,0.552,0.071,239.375,227.1,0.14,173.25,162.45,0.000425,0.000725,0,0.172,0.095,0,0.191,0.446,0.706,0.89,0.887,0.729,0.456,133.885,69.102,57.507,90.012,39.884,28.864,23.067,38.993,37.021,1.195,0.601,0.223,135.09,2403,18,4.9,18.1,3.67,52.26
