Taxa,Perimeter,Area,Width.Mid.height,Maximum.Width,Height.Mid.width,Maximum.Height,Curved.Height,Fruit.Shape.Index.External.I,Fruit.Shape.Index.External.II,Curved.Fruit.Shape.Index,Proximal.Fruit.Blockiness,Distal.Fruit.Blockiness,Fruit.Shape.Triangle,Ellipsoid,Circular,Rectangular,Shoulder.Height,Proximal.Angle.Micro,Proximal.Angle.Macro,Proximal.Indentation.Area,Distal.Angle.Micro,Distal.Angle.Macro,Distal.Indentation.Area,Distal.End.Protrusion,Obovoid,Ovoid,V..Asymmetry,H..Asymmetry.ob,H..Asymmetry.ov,Width.Widest.Pos,Eccentricity,Proximal.Eccentricity,Distal.Eccentricity,Fruit.Shape.Index.Internal,Eccentricity.Area.Index,Average.Red,Average.Green,Average.Blue,Average.Luminosity,Average.L.Value,Average.a.Value,Average.b.Value,Average.Hue,Average.Chroma,Lobedness.Degree,Pericarp.Area,Pericarp.Thickness
CPSBB_TOM123,175.5944947,2164.396352,50.68365723,50.75327403,51.33334825,53.16208255,53.45467061,1.049847424,1.015180253,1.059495318,0.659709427,0.639343229,1.023630967,0.019380793,0.030948155,0.520389621,0.025954652,217.9289918,162.1607162,0.059305325,171.3269769,155.2976685,0.002228865,0.0068722,0.047328249,0.082143612,1.28304623,0.891995783,0.046394078,0.473465003,0.769555628,0.889781979,0.886479683,1.01354345,0.398700767,138.2052332,96.25206703,62.15413196,94.15838219,47.37834504,14.02745357,30.95612873,65.73221978,34.26407896,0.918249587,0.61892185,0.21178425
CPSBB_TOM124,148.8252178,1564.136293,41.87565888,41.94302301,46.7174285,47.30276591,47.85481778,1.127350046,1.114566597,1.148739915,0.612275102,0.631231643,0.950900203,0.017203668,0.048367183,0.490067339,0.011145812,187.7631916,144.8065146,0.020366743,164.1512967,149.7658407,0.001535025,0.002619065,0.106844392,0.036211324,1.28304623,0.891995783,0.013362739,0.500958456,0.787994138,0.889218641,0.888170896,1.115654078,0.372638355,109.5226984,63.98066043,46.89769785,73.91192626,34.51716858,19.81434543,21.82256559,47.76051139,29.57555488,0.961563286,0.559441863,0.250113213
CPSBB_TOM125,188.60552,2449.05839,58.61443625,58.73137445,48.43980593,51.913462,53.86022138,0.892736056,0.833314796,0.928301538,0.685203258,0.648897849,1.048428501,0.02562287,0.055081256,0.519808404,0.06312811,196.8735655,164.3339205,0.055985063,170.6884535,162.9838689,0.011819663,0.019619374,0.040834426,0.080972351,1.283046233,0.891995783,0.044873428,0.48865479,0.744470879,0.889854516,0.887923606,0.834348522,0.421063235,101.0113571,64.97432248,48.76824114,71.25657319,33.58665609,14.86767123,18.70039604,51.1043652,24.16703351,1.049580341,0.655846815,0.18887249
CPSBB_TOM126,98.99357852,692.8782744,26.15901727,26.30587132,30.6875981,32.05594194,32.92634495,1.224784007,1.178638862,1.267425026,0.740275795,0.55693206,1.341755885,0.034833648,0.068661659,0.52976614,0.027228024,219.1135128,170.9038863,0.040224506,148.9465181,129.9015503,0.001535025,0.002619065,0.004509033,0.165650226,1.28304623,0.891995783,0.111369305,0.453304339,0.764035971,0.890298372,0.886244792,1.179317899,0.408393988,128.6375518,80.64635634,52.31665683,85.17916694,41.78298779,18.52575663,29.07715158,57.63466923,34.57472557,1.118578082,0.573837674,0.239328637
CPSBB_TOM127,107.8240208,820.6189132,30.35429611,30.62748734,31.25409734,32.72797826,33.2672205,1.073662443,1.03397056,1.096393125,0.722980452,0.61214181,1.185943963,0.028491588,0.046299713,0.527468997,0.036872635,223.5159823,177.1877369,0.061430494,158.3689525,147.8228434,0.001535025,0.002619065,0.004509033,0.145467028,1.28304623,0.891995783,0.078972313,0.458367026,0.76080031,0.889993231,0.885915945,1.031597369,0.413858304,113.6069099,77.28706269,49.17790402,76.84467382,38.69162755,12.86445431,26.29967524,63.9514067,29.42656136,1.090997541,0.60425855,0.222398798
CPSBB_TOM128,133.7211336,1233.354919,40.05979193,40.29371062,34.31738954,37.07521319,38.38013999,0.92271186,0.859374247,0.958153877,0.740768324,0.641233101,1.164901013,0.031307652,0.041689493,0.5415651,0.054841323,242.4683176,189.4913813,0.084007559,138.3919982,161.1495193,0.001554849,0.003877034,0.004509033,0.16048581,1.28304623,0.891995783,0.100879929,0.439899929,0.741624259,0.891753661,0.888640678,0.861851545,0.436190725,131.9090664,72.04880376,55.76309989,88.26954563,40.18485343,26.21583967,24.66531771,43.23541254,35.99990212,0.99416999,0.602386122,0.221160029
CPSBB_TOM129,196.3391299,2571.741834,53.5431259,53.82224773,53.87210411,58.55937423,59.71699524,1.08572872,1.004188777,1.113931122,0.760147443,0.618045006,1.242058496,0.039992487,0.054783469,0.540124165,0.057671038,257.8078639,198.5428748,0.092896707,163.6636291,147.6628319,0.001535025,0.002619065,0.004509033,0.157000284,1.28304623,0.891995783,0.181011512,0.461754162,0.734010939,0.890134065,0.886150836,1.002019153,0.438542757,142.3324972,80.20090392,62.76974906,96.3056773,43.96924972,26.51117228,25.62255779,44.10050972,36.90820262,1.554882816,0.53906401,0.264104013
CPSBB_TOM131,277.6536459,4219.772296,51.49766656,54.30242729,97.87021189,103.6278098,103.2130901,1.928975808,1.92842328,2.031518119,0.850829597,0.405593642,2.254536599,0.063846205,0.197961706,0.494076897,0.039796673,235.479644,170.0670085,0.095021876,97.28858747,77.48633977,0.002288337,0.17132675,0.004509033,0.292205815,1.283046231,0.891995783,0.803033769,0.364500125,0.755256861,0.88950031,0.889650708,1.930346321,0.405020367,146.1775221,77.60964258,64.38382147,98.81999484,43.9901502,29.99310055,24.42820834,39.08087053,38.65980157,2.002169082,0.566809989,0.243627894
CPSBB_TOM132,119.8449699,996.233464,32.79632409,33.4250552,37.63245918,39.57434825,40.51861642,1.18941565,1.154048175,1.239004727,0.732887861,0.355671287,2.226329637,0.034904641,0.053167516,0.469977782,0.01109865,196.6076147,173.1502423,0.030855481,112.441116,107.1799109,0.004052673,0.183746702,0.004509033,0.224247198,1.28304623,0.891995783,0.236222331,0.428171071,0.760324477,0.890697403,0.88629177,1.158023532,0.374895355,142.5253381,77.90580062,58.78267124,94.52460541,43.31244913,27.64393381,27.39970764,44.79767423,38.93580475,2.114434134,0.578895661,0.236705362
CPSBB_TOM133,156.3034078,1721.727474,46.28671519,46.63779786,43.37943568,45.70599176,45.66108581,0.982087762,0.937931882,0.993034768,0.715077209,0.616843977,1.16582617,0.030304542,0.034111408,0.530522665,0.034578426,222.4375931,193.2170371,0.091118545,165.4576306,157.8564233,0.001667629,0.003272513,0.005349883,0.147903817,1.283046232,0.891995783,0.119219698,0.445481825,0.75619098,0.890205857,0.886841849,0.936724947,0.410448749,136.0012924,68.72233902,54.76057553,89.61005044,40.04366026,30.08589654,25.03638997,39.70823861,39.08238424,1.243196651,0.573785517,0.239915305
