Accession,Rep, Perimeter,  Area,  Width Mid-height,  Maximum Width,  Height Mid-width,  Maximum Height,  Curved Height,  Fruit Shape Index External I,  Fruit Shape Index External II,  Curved Fruit Shape Index,  Proximal Fruit Blockiness,  Distal Fruit Blockiness,  Fruit Shape Triangle,  Ellipsoid,  Circular,  Rectangular,  Shoulder Height,  Proximal Angle Micro,  Proximal Angle Macro,  Proximal Indentation Area,  Distal Angle Micro,  Distal Angle Macro,  Distal Indentation Area,  Distal End Protrusion,  Obovoid,  Ovoid,  V. Asymmetry,  H. Asymmetry.ob,  H. Asymmetry.ov,  Width Widest Pos,  Eccentricity,  Proximal Eccentricity,  Distal Eccentricity,  Fruit Shape Index Internal,  Eccentricity Area Index,  Average Red,  Average Green,  Average Blue,  Average Luminosity,  Average L Value,  Average a Value,  Average b Value,  Average Hue,  Average Chroma, Lobedness Degree,  Pericarp Area,  Pericarp Thickness
LYC-44,4,186.2138262,2362.396709,57.658,57.74266667,46.736,50.8,52.04615787,0.8798,0.8106,0.9027,0.7122,0.6344,1.1227,0.031,0.0518,0.541,0.0417,243.3,205.3,0.0745,172,161,0,0,0,0.1076,0.1042,0,0.0938,0.5033,0.7346,0.8889,0.8871,0.8088,0.4296,138.8093,58.5727,45.9726,86.9316,37.9801,36.4341,28.7156,38.2435,46.39,0.5553,0.5735,0.2425
LYC-45,4,195.8317902,2639.607624,60.96,61.12933333,50.038,52.324,52.99668513,0.856,0.8208,0.8742,0.7361,0.6472,1.1373,0.0259,0.0528,0.5433,0.0372,226.4,190.1,0.0577,172.5,164.5,0,0,0,0.1368,0.0574,0,0.0887,0.4676,0.765,0.8889,0.8889,0.8194,0.4201,152.5684,61.0509,43.2019,92.1105,41.0476,40.4455,35.6138,41.3652,53.8904,3.0013,0.6039,0.2205
LYC-46,4,198.8521973,2650.123732,47.752,48.514,64.17733333,66.63266667,67.41303933,1.3735,1.344,1.4117,0.7801,0.6117,1.2754,0.0435,0.1061,0.539,0.026,217.1,167.8,0.0348,152,125.4,0,0,0,0.2444,0.0646,0,0.2394,0.371,0.771,0.8912,0.8873,1.3467,0.4207,152.0813,75.5429,55.5246,97.6879,44.2174,32.8338,31.4407,43.7583,45.4596,1.1091,0.5279,0.2715
LYC-47,4,198.4228442,2596.99839,47.15933333,48.26,62.738,66.37866667,67.6171876,1.3754,1.3303,1.442,0.7971,0.5763,1.3832,0.0457,0.1081,0.525,0.0319,230.2,176.1,0.0605,137.4,126,0,0,0,0.1601,0.1459,0,0.2707,0.4809,0.7561,0.8889,0.8889,1.3333,0.4302,149.3278,66.6677,50.1628,93.8627,41.6917,36.438,31.4711,40.8168,48.1473,0.9339,0.5138,0.2815
LYC-48,4,168.2950067,1890.304463,41.82533333,42.418,56.30333333,57.658,58.22194773,1.3593,1.3462,1.3946,0.7004,0.5202,1.3463,0.0306,0.1025,0.4472,0.0156,191.2,138.9,0.0184,137.3,125.5,0,0,0,0.1544,0.1421,0,0.2102,0.489,0.7794,0.8893,0.8848,1.3452,0.3781,145.9679,63.3553,43.8625,89.3189,40.2338,36.5265,33.5763,42.5902,49.6141,0.81,0.528,0.2714
LYC-49,4,215.001094,3144.144249,58.928,58.928,63.754,66.20933333,66.8123886,1.1236,1.0819,1.1354,0.6983,0.6437,1.0848,0.0256,0.0522,0.5316,0.0372,226.7,172.8,0.0517,167.7,150.4,0,0,0,0.1113,0.0657,0,0.0962,0.4923,0.7682,0.8889,0.8863,1.0791,0.4026,154.0396,72.7821,55.6334,98.6648,43.8348,35.3469,31.0852,41.3294,47.0711,1.1196,0.5581,0.2514
LYC-50,4,218.1661626,3121.362933,51.47733333,53.25533333,66.802,69.68066667,69.9117728,1.3084,1.2977,1.3581,0.8914,0.699,1.2753,0.0555,0.103,0.5962,0.0292,244.8,172.5,0.0517,162.9,143.9,0,0,0,0.3186,0.0853,0,0.2989,0.271,0.7664,0.8898,0.8886,1.2963,0.4477,164.4307,88.7524,50.816,101.2878,49.178,30.0632,41.7602,54.2499,51.4559,1.7274,0.5288,0.2689
LYC-51,4,188.793882,2451.536316,52.23933333,52.578,54.52533333,57.23466667,58.06519587,1.0886,1.0438,1.1133,0.7861,0.5883,1.3361,0.038,0.0501,0.5514,0.0296,237.2,167.3,0.0676,163.2,141.8,0,0,0,0.1941,0.0223,0,0.215,0.4393,0.7615,0.8893,0.8877,1.0447,0.4192,148.1003,71.9431,52.3207,94.3036,42.654,33.0555,31.2975,43.4352,45.5214,1.1752,0.5589,0.2512
LYC-52,4,183.1131297,2108.110479,39.79333333,40.64,65.36266667,66.20933333,67.01382753,1.6292,1.6426,1.6684,0.6,0.6745,0.8896,0.0496,0.164,0.48,0.0141,245.800,111.3,0.0262,157.4,121,0,0,0.2356,0,0.066,0.2541,0,0.6343,0.7887,0.8876,0.8876,1.6383,0.3814,138.1765,70.3819,53.1766,90.0202,40.6233,29.6382,27.5788,42.9386,40.4847,1.6647,0.5121,0.2814
LYC-53,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
LYC-54,4,245.4285837,3767.913611,79.16333333,79.58666667,49.10666667,57.658,59.99262407,0.7245,0.6203,0.7588,0.7572,0.7433,1.0187,0.0539,0.1275,0.5815,0.0892,242,236.9,0.1552,188,169.3,0,0,0.0713,0,0.1234,0.1593,0,0.4567,0.6824,0.8906,0.8889,0.622,0.4828,137.676,64.6857,50.7351,88.6401,39.2889,32.6676,27.0146,39.5892,42.3905,1.1591,0.7521,0.132
LYC-55,4,198.4390071,2596.926706,58.166,58.75866667,49.95333333,55.88,57.38473833,0.951,0.8588,0.988,0.7234,0.6114,1.1833,0.0336,0.0395,0.5051,0.073,266.6,217,0.1238,171.6,152.2,0,0,0,0.1374,0.1064,0,0.1752,0.4879,0.7162,0.8906,0.8889,0.8613,0.4392,138.9472,97.1734,73.8519,100.2152,48.2139,15.1588,24.086,57.8152,28.4592,2.1749,0.6668,0.1812
LYC-56,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
LYC-57,4,237.7739381,3620.40853,51.90066667,51.98533333,85.344,87.03733333,86.51330593,1.6743,1.6444,1.6669,0.6264,0.6721,0.932,0.0503,0.1599,0.5339,0.0217,220.700,128,0.0417,146.5,118,0,0,0.1456,0,0.2388,0.1722,0,0.5292,0.7848,0.8896,0.8886,1.6516,0.3883,132.7867,73.8279,60.6081,90.9892,40.8795,25.8823,22.3484,40.8094,34.1956,1.4712,0.6516,0.192
LYC-58,4,237.2148841,3678.867194,72.136,72.55933333,54.27133333,60.96,62.94403633,0.8401,0.7523,0.8736,0.8028,0.6772,1.1854,0.0435,0.0762,0.5855,0.0966,256.3,231.4,0.2123,171.2,165.8,0,0,0,0.1859,0.0485,0,0.2058,0.4403,0.7121,0.8889,0.8889,0.7529,0.4672,137.4434,76.3231,61.739,93.7241,42.223,26.4555,23.5614,41.6884,35.4264,2.1353,0.6522,0.1916
LYC-59,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
LYC-60,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
LYC-61,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
LYC-62,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
LYC-63,4,204.5038921,2568.374792,67.90266667,68.24133333,39.79333333,46.65133333,47.85326133,0.6836,0.586,0.7065,0.7868,0.6459,1.2181,0.0594,0.1477,0.5653,0.1007,261.3,239.4,0.2163,175.2,170.9,0,0,0,0.1798,0.0975,0,0.1944,0.441,0.6836,0.891,0.8889,0.5875,0.4725,140.7226,74.4933,58.5156,93.747,42.2874,28.8317,26.3059,42.3772,39.0291,.,.,.
LYC-64,4,289.2630571,4958.24098,97.11266667,97.45133333,50.71533333,63.33066667,64.78040553,0.6499,0.5222,0.6676,0.7079,0.7384,0.9587,0.0671,0.1725,0.5601,0.121,256.5,248.2,0.2113,175.7,177.1,0.0102,0.0357,0.097,0,0.2854,0.246,0,0.4693,0.6399,0.8885,0.8885,0.5218,0.5028,132.1884,68.9531,54.3523,87.7509,39.4424,27.9673,24.6567,41.4003,37.2843,.,.,.
LYC-65,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
LYC-66,4,212.3689513,2898.044383,66.97133333,67.47933333,46.228,53.25533333,54.439439,0.7892,0.6903,0.8139,0.7863,0.641,1.2268,0.045,0.0982,0.5497,0.1113,255.7,239.5,0.2524,169.1,160.7,0,0,0,0.1652,0.1047,0,0.2104,0.4658,0.6943,0.8898,0.888,0.6899,0.4647,150.2766,76.6747,60.5797,99.1922,44.4808,31.639,28.1236,41.6336,42.3315,1.473,0.7022,0.1614
LYC-67,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
LYC-68,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
