Accession,Rep, Perimeter,  Area,  Width Mid-height,  Maximum Width,  Height Mid-width,  Maximum Height,  Curved Height,  Fruit Shape Index External I,  Fruit Shape Index External II,  Curved Fruit Shape Index,  Proximal Fruit Blockiness,  Distal Fruit Blockiness,  Fruit Shape Triangle,  Ellipsoid,  Circular,  Rectangular,  Shoulder Height,  Proximal Angle Micro,  Proximal Angle Macro,  Proximal Indentation Area,  Distal Angle Micro,  Distal Angle Macro,  Distal Indentation Area,  Distal End Protrusion,  Obovoid,  Ovoid,  V. Asymmetry,  H. Asymmetry.ob,  H. Asymmetry.ov,  Width Widest Pos,  Eccentricity,  Proximal Eccentricity,  Distal Eccentricity,  Fruit Shape Index Internal,  Eccentricity Area Index,  Average Red,  Average Green,  Average Blue,  Average Luminosity,  Average L Value,  Average a Value,  Average b Value,  Average Hue,  Average Chroma, Lobedness Degree,  Pericarp Area,  Pericarp Thickness
LYC-95,4,187.3190479,2371.816045,55.372,55.88,49.276,53.086,54.39809627,0.95,0.8899,0.9839,0.7768,0.5703,1.3619,0.0398,0.0428,0.5124,0.0623,236.2,211.8,0.1282,167.2,146.2,0,0,0,0.2168,0.0699,0,0.2403,0.4274,0.7412,0.8889,0.8872,0.8889,0.4251,129.8036,73.9036,58.8435,88.7511,40.3896,24.2243,22.7747,43.2334,33.2491,1.809,0.5588,0.2496
LYC-96,4,201.4318213,2560.847925,64.34666667,64.68533333,39.96266667,48.26,48.7352086,0.7461,0.6211,0.7528,0.7618,0.7421,1.0266,0.0527,0.1196,0.5761,0.0959,252.1,231.4,0.1942,193.9,175.666,0.0254,0.0067,0.0699,0,0.1355,0.1531,0,0.4579,0.6608,0.8889,0.8868,0.6184,0.4974,143.8816,84.2066,66.6107,99.0247,45.2766,24.8884,24.7857,44.8816,35.125,1.1958,0.6368,0.2007
LYC-97,4,177.9760559,2165.501045,50.46133333,50.96933333,49.19133333,51.816,53.0417532,1.0166,0.9748,1.055,0.7735,0.6275,1.2326,0.0326,0.0401,0.5215,0.0466,248.2,176.4,0.0657,169.2,152.2,0,0,0,0.2032,0.0916,0,0.1563,0.4199,0.7594,0.8872,0.8889,0.9748,0.4258,138.4974,64.152,51.8366,89.5142,39.2634,33.4653,26.3911,38.2597,42.6194,1.4323,0.5588,0.247
LYC-98,4,190.0022531,2410.626003,52.07,52.66266667,52.324,55.626,56.3809896,1.0563,1.0049,1.0793,0.8211,0.6081,1.3503,0.0445,0.0519,0.5588,0.0411,236.5,197.9,0.0767,169.7,148.6,0,0,0,0.2279,0.0412,0,0.2366,0.3973,0.753,0.8917,0.8885,1.0082,0.4347,147.7981,72.1415,57.6216,96.6219,42.8234,33.212,27.6523,39.7808,43.2167,1.148,0.5591,0.2493
LYC-99,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
LYC-100,4,169.1310985,1971.673476,47.83666667,48.09066667,46.65133333,49.784,50.9938528,1.0352,0.9752,1.0679,0.754,0.6442,1.1703,0.032,0.0366,0.5612,0.0442,232.8,186.9,0.0653,167.6,155.8,0,0,0,0.1819,0.0503,0,0.1099,0.415,0.7496,0.8889,0.8871,0.9778,0.4346,146.5038,80.8122,65.6965,99.8292,44.7646,28.1149,24.8251,41.4442,37.5064,1.9004,0.5582,0.2509
LYC-101,4,196.7981925,2633.951721,55.88,56.134,54.61,57.31933333,58.7255366,1.0211,0.9773,1.051,0.7091,0.6697,1.0588,0.026,0.0295,0.5495,0.0332,239.1,194.6,0.0566,172.5,157.9,0,0,0,0.1059,0.0216,0,0.0672,0.5096,0.7604,0.8893,0.8862,0.9735,0.4199,137.4575,69.2709,57.7247,91.7936,40.5702,30.3903,24.0637,38.3729,38.7638,1.0851,0.6196,0.2111
LYC-102,4,197.3593123,2564.991286,60.36733333,60.706,46.05866667,52.832,52.68858313,0.8703,0.763,0.874,0.7504,0.6297,1.1915,0.0407,0.0726,0.5451,0.0884,246.9,229,0.2185,172.3,159.9,0,0,0,0.1681,0.118,0,0.1875,0.4343,0.6966,0.8893,0.8875,0.7641,0.4589,135.8719,63.3278,53.5389,89.0379,38.7313,32.9012,24.215,36.3528,40.8517,1.114,0.604,0.2213
LYC-103,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
LYC-104,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
LYC-105,4,124.6278009,1084.70034,35.47533333,35.814,35.64466667,36.49133333,37.2179088,1.0189,1.0048,1.0491,0.7399,0.6754,1.0954,0.026,0.0277,0.5541,0.0279,209.4,161.867,0.052,170.9,156.1,0,0,0,0.1561,0.0387,0,0.0586,0.4478,0.7814,0.8889,0.8889,1.006,0.4175,134.2994,76.327,60.4868,91.6372,41.6638,24.9788,23.6136,43.3907,34.3736,1.2224,0.5574,0.2528
LYC-106,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.972,0.6212,0.2105
LYC-107,4,218.0420497,3149.154992,64.85466667,65.70133333,53.76333333,57.912,60.24317813,0.8814,0.829,0.9301,0.8146,0.6619,1.2308,0.0409,0.0565,0.5667,0.0476,236.4,202.8,0.0771,174.2,162.1,0,0,0,0.2363,0.1042,0,0.2166,0.3757,0.7408,0.8877,0.8877,0.8268,0.4464,132.1627,68.637,55.155,88.1015,39.2997,28.2928,23.8655,40.1483,37.0141,2.1987,0.5737,0.2379
LYC-108,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
LYC-109,4,120.3569009,983.3026929,35.64466667,35.89866667,32.08866667,33.782,34.3196164,0.941,0.9002,0.9815,0.7245,0.6698,1.0816,0.0295,0.0364,0.5347,0.0555,225.3,174.3,0.0905,172.2,160.6,0,0,0,0.1094,0.0739,0,0.0781,0.5013,0.7588,0.8882,0.8856,0.8988,0.419,111.7428,63.9539,45.8651,74.1554,34.6133,20.8648,22.9148,47.681,30.9907,1.0734,0.5569,0.25
LYC-110,4,167.1437094,1906.132388,47.66733333,47.66733333,46.482,49.36066667,50.17054567,1.0355,0.9751,1.045,0.7123,0.6377,1.117,0.0282,0.0337,0.5341,0.056,234.4,170.6,0.0811,172.8,156.4,0,0,0,0.1276,0.0496,0,0.1084,0.4648,0.7526,0.8902,0.8866,0.9777,0.4204,104.2086,63.1327,48.7835,71.9801,33.3195,17.7983,18.6072,46.2728,25.749,0.5693,0.6671,0.1827
LYC-111,4,181.935882,2148.583516,56.04933333,56.47266667,41.82533333,47.498,49.01421067,0.8411,0.7462,0.8758,0.7674,0.6148,1.2482,0.0447,0.0774,0.5447,0.076,279.1,228.2,0.1321,177.2,161.1,0,0,0,0.1827,0.0693,0,0.1928,0.4242,0.7036,0.8894,0.8874,0.7462,0.4549,131.1066,63.7647,52.309,86.255,37.9326,30.5491,23.7666,37.8822,38.7052,0.7454,0.5882,0.2319
LYC-112,4,154.4125944,1651.114977,47.244,47.58266667,40.97866667,43.60333333,42.9585882,0.9164,0.8674,0.9109,0.7168,0.6093,1.1765,0.0307,0.0438,0.5068,0.039,246.9,187.3,0.0771,168.9,153.5,0,0,0,0.1552,0.0973,0,0.1398,0.4408,0.751,0.8894,0.8874,0.8655,0.413,120.6206,62.051,47.5088,79.085,35.5651,26.4226,23.3359,41.4502,35.2522,1.0353,0.5882,0.2323
LYC-113,4,149.0895926,1537.545312,45.12733333,45.212,39.79333333,42.24866667,42.8198534,0.9345,0.8818,0.9506,0.7242,0.6191,1.1697,0.0264,0.035,0.5306,0.0422,237.9,166.2,0.0744,164.7,155.1,0,0,0,0.1543,0.0434,0,0.1097,0.4569,0.755,0.8889,0.8889,0.8868,0.4162,130.1885,88.3834,53.3042,86.3657,44.1473,14.386,31.8497,65.692,34.948,0.7026,0.5582,0.2526
LYC-114,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
LYC-115,4,119.977154,996.062524,36.91466667,36.99933333,30.988,32.68133333,33.41074513,0.8833,0.8394,0.9072,0.75,0.6422,1.1679,0.0264,0.0467,0.5569,0.048,249.1,189.8,0.0597,173.6,160.7,0,0,0,0.1436,0.0176,0,0.0673,0.4637,0.7584,0.893,0.8875,0.8391,0.4256,131.072,81.7495,59.3456,89.6013,42.591,19.6824,25.4467,52.2789,32.1704,0.7804,0.5577,0.252
LYC-116,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
LYC-117,4,146.5560357,1410.950583,33.782,34.45933333,50.63066667,50.88466667,51.68876293,1.4767,1.4987,1.5339,0.6917,0.6617,1.0455,0.0403,0.1379,0.4874,0.0201,167.5,139.1,0.0257,159.4,126.9,0,0,0,0.0929,0.1235,0,0.1856,0.5058,0.7967,0.8901,0.8885,1.5031,0.3935,118.8139,68.3103,54.2479,81.4169,37.0207,22.2073,20.5705,42.8088,30.2706,1.0959,0.5265,0.2742
LYC-118,4,78.99083347,426.6944871,24.21466667,24.21466667,20.574,22.098,22.91955453,0.9126,0.8497,0.9385,0.6923,0.6084,1.1379,0.0256,0.0489,0.5108,0.0481,244.6,166.4,0.063,166,153.4,0,0,0,0.087,0.0491,0,0.0507,0.5096,0.7385,0.8889,0.8807,0.8421,0.4224,124.7382,89.0002,49.4785,81.9966,43.5535,10.7533,33.1938,72.05,34.8922,1.0603,0.5842,0.2327
LYC-119,4,93.05606653,584.9378982,26.924,27.00866667,24.72266667,26.67,28.0122122,0.9875,0.9182,1.0404,0.7296,0.6006,1.2147,0.0285,0.0304,0.5264,0.0605,261.4,172.6,0.0512,172.5,147.7,0,0,0,0.1518,0.0218,0,0.066,0.4698,0.7389,0.8855,0.8855,0.9134,0.4328,122.0031,82.2841,55.8677,83.6959,41.2611,14.661,25.7419,60.3368,29.6242,1.5206,0.5695,0.2437
LYC-120,4,111.6727679,861.9409284,33.274,33.44333333,29.63333333,31.58066667,32.56860813,0.9443,0.8906,0.9755,0.7455,0.6336,1.1767,0.0279,0.0299,0.5505,0.047,256.7,190.4,0.0748,173.4,158.5,0,0,0,0.1511,0.019,0,0.0781,0.4665,0.7527,0.8917,0.8889,0.8974,0.4294,134.7568,112.1328,60.6696,91.9718,51.6241,1.745,37.5446,87.339,37.5851,0.5477,0.4968,0.2937
LYC-121,4,120.2286563,981.8833409,33.528,33.61266667,33.61266667,35.814,37.24134453,1.0655,1.0025,1.1136,0.7273,0.6187,1.1755,0.0275,0.04,0.5499,0.0449,249.1,185.5,0.0398,165.9,144.9,0,0,0,0.1591,0.0224,0,0.079,0.4586,0.7488,0.8901,0.8852,1,0.4274,118.5136,67.7365,51.1143,79.7739,36.7697,22.1116,22.3495,45.3066,31.4391,0.6631,0.5563,0.2533
LYC-123,4,180.6994947,2304.360983,53.086,53.086,53.086,54.61,55.1403012,1.0287,1,1.042,0.6013,0.6348,0.9472,0.013,0.0181,0.5018,0.0233,225.3,148.5,0.0319,173.4,155.9,0,0,0.1016,0,0.0345,0.0464,0,0.4884,0.7764,0.8897,0.8865,1,0.3892,142.8065,94.8036,61.6552,96.2507,47.8163,17.2217,31.9267,61.657,36.2754,0.6188,0.6507,0.1908
LYC-124,4,146.5070476,1515.29446,42.418,42.418,44.704,45.55066667,46.3108802,1.0739,1.0539,1.0939,0.5749,0.6327,0.9085,0.0113,0.0302,0.4778,0.0102,168.4,143.8,0.0083,160.7,152.4,0,0,0.1236,0,0.0547,0.0588,0,0.5074,0.7858,0.8903,0.8884,1.055,0.3728,115.4731,66.7684,50.0146,77.9006,36.1856,21.2276,22.2554,46.354,30.7557,0.8738,0.5574,0.2506
LYC-125,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
LYC-126,4,97.44670207,651.8553271,25.146,25.146,30.48,32.004,32.68589687,1.2727,1.2121,1.3042,0.7508,0.5589,1.3434,0.0339,0.0722,0.5426,0.0238,220.7,160.9,0.0412,144.2,131.4,0,0,0,0.1551,0.0461,0,0.0917,0.4577,0.7639,0.8916,0.8862,1.2203,0.413,128.1969,78.7609,49.7405,83.7354,41.1771,19.3941,29.9005,57.0317,35.6395,1.0167,0.5819,0.2321
LYC-127,4,104.1133639,752.3425813,30.988,31.41133333,27.686,29.12533333,29.87973027,0.9272,0.8934,0.9642,0.7623,0.6339,1.2026,0.0281,0.0333,0.5436,0.0378,225.9,185,0.0465,170.9,159.2,0,0,0,0.1702,0.0259,0,0.0758,0.4506,0.758,0.8904,0.8844,0.8904,0.4319,110.0968,75.7487,50.438,75.5442,37.7371,12.4219,23.929,62.5656,26.9611,0.9261,0.6317,0.2045
LYC-128,4,134.2733577,1239.603256,40.47066667,40.64,34.544,37.16866667,38.1484124,0.9146,0.8536,0.9279,0.7134,0.6862,1.0396,0.0281,0.041,0.5406,0.0446,242.7,171.5,0.0656,172.6,165.1,0,0,0,0.1307,0.0655,0,0.072,0.451,0.7443,0.8907,0.8883,0.8534,0.4344,134.5442,70.1635,53.8679,88.6465,40.075,28.2822,25.9917,42.5833,38.4116,0.7317,0.5869,0.232
LYC-129,4,202.1091547,2736.761552,55.28733333,55.28733333,55.20266667,60.452,61.59831893,1.0934,0.9985,1.1176,0.755,0.6432,1.1738,0.0396,0.0545,0.534,0.0602,257,206.7,0.1226,170.3,153.8,0,0,0,0.1213,0.1144,0,0.156,0.4972,0.7293,0.8889,0.8874,1,0.4437,140.0959,83.872,64.1773,96.114,44.6749,23.1922,25.7476,47.9891,34.6528,1.7927,0.5888,0.2307
LYC-130,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
LYC-131,4,276.2046969,4132.522201,49.19133333,53.42466667,99.90666667,103.9706667,104.3069119,1.9461,2.031,2.1314,0.9157,0.3339,2.7423,0.0675,0.2118,0.4732,0.0338,234.9,151.2,0.0976,56.4,49.2,0.0025,0.4638,0,0.3825,0.0607,0,1.0051,0.3282,0.7694,0.8889,0.8889,2.0345,0.4033,149.2825,80.7846,65.8534,101.2209,45.3006,29.2743,25.5851,41.1527,38.8791,1.8929,0.5584,0.2479
LYC-132,4,123.0838619,1044.385008,34.45933333,35.22133333,38.26933333,39.53933333,40.74689167,1.1226,1.1106,1.1825,0.742,0.3587,2.0685,0.0332,0.0429,0.4576,0.0087,197.2,172.9,0.0087,107.2,101.8,0.0034,0.2605,0,0.2502,0.0697,0,0.2346,0.4197,0.7725,0.8889,0.8845,1.1111,0.3712,144.3343,80.4143,59.5679,95.9355,44.2849,26.8005,28.3642,46.6237,39.0229,2.1153,0.5849,0.2316
LYC-133,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
LYC-134,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
LYC-135,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
LYC-136,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
LYC-137,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
LYC-138,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
LYC-139,4,142.4445039,1397.660287,40.64,41.48666667,40.64,43.01066667,43.66540247,1.0367,1,1.0812,0.7771,0.5208,1.492,0.0429,0.0449,0.5118,0.0267,215.4,167.1,0.0546,137.5,125.4,0,0,0,0.2241,0.0601,0,0.2024,0.4075,0.7574,0.891,0.8868,1,0.406,129.097,60.4159,46.7235,82.6775,36.7088,31.1886,25.793,39.5907,40.4723,1.0352,0.5697,0.2431
LYC-140,4,130.3886563,1171.38117,33.44333333,33.61266667,41.656,42.672,43.42006387,1.2695,1.2456,1.2983,0.7595,0.5924,1.2821,0.0371,0.081,0.5458,0.0208,206.2,164,0.0477,156.5,130.5,0,0,0,0.1896,0.0399,0,0.1289,0.4206,0.7793,0.8889,0.8869,1.2484,0.4084,114.0862,92.7182,51.4954,77.9264,43.2476,3.2093,31.1981,84.1267,31.3627,0.6432,0.5693,0.2419
LYC-141,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
LYC-142,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
LYC-143,4,86.46204027,513.2319484,21.59,21.67466667,28.956,29.29466667,29.98055133,1.3516,1.3412,1.3941,0.6588,0.6588,1,0.0323,0.1052,0.5182,0.013,170,138.2,0.0087,161,138.6,0,0,0.1398,0,0.0205,0.0369,0,0.5462,0.7884,0.8889,0.886,1.3465,0.3973,127.825,67.8718,53.9595,85.5215,38.3866,26.6476,22.9627,40.752,35.1764,1.2434,0.5533,0.2537
LYC-144,4,85.0903556,513.6907289,24.892,24.97666667,24.80733333,25.56933333,26.46587713,1.0237,0.9966,1.0309,0.7313,0.5646,1.2952,0.0268,0.0299,0.5154,0.0232,215.3,173.1,0.0387,167.7,137.6,0,0,0,0.1667,0.02,0,0.0717,0.4371,0.7708,0.8889,0.8821,0.9915,0.405,114.5277,59.1109,45.1518,75.1055,33.8383,25.2907,22.2248,41.3081,33.6684,2.3934,0.5697,0.2442
LYC-145,4,166.1723203,1790.340505,38.43866667,39.96266667,59.436,59.85933333,59.85798713,1.4979,1.5463,1.5641,0.7907,0.3392,2.3312,0.0442,0.1204,0.4909,0.0093,196.9,163.3,0.0326,89.5,92.4,0.0038,0.2585,0,0.254,0.0875,0,0.3757,0.4272,0.7932,0.8889,0.8875,1.547,0.3625,128.3924,72.1169,43.5751,80.9248,39.3725,23.3113,31.6208,53.6018,39.2848,.,.,.
LYC-146,4,198.6353321,2655.435549,60.87533333,61.214,49.784,53.67866667,54.60386167,0.8769,0.8178,0.8982,0.7622,0.6134,1.2426,0.0336,0.054,0.542,0.0467,243.4,201.9,0.0707,169.1,153.6,0,0,0,0.18,0.0565,0,0.1865,0.4416,0.7425,0.8902,0.8885,0.8188,0.428,140.5797,67.0807,52.2676,90.7135,40.361,32.6025,27.7763,40.43,42.8304,.,.,.
LYC-147,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
LYC-148,4,222.8165639,3358.480738,62.65333333,62.738,64.17733333,67.90266667,68.57612227,1.0823,1.0243,1.0975,0.6784,0.5514,1.2304,0.0249,0.0328,0.5072,0.0375,229.4,203.100,0.0348,137.6,133.5,0,0,0,0.1128,0.0845,0,0.1483,0.4988,0.7566,0.8925,0.8886,1.0236,0.3986,155.0527,88.6377,52.5577,97.6968,47.8244,25.9598,38.2019,55.8022,46.1876,0.5091,0.7179,0.1514
LYC-149,4,149.9864581,1534.570408,38.77733333,39.03133333,52.74733333,52.91666667,53.7942282,1.3557,1.3603,1.3903,0.5611,0.4498,1.2476,0.0299,0.0921,0.4439,0,160.5,121.8,0,120.8,117.6,0,0,0,0.1112,0.0558,0,0.0979,0.4976,0.7949,0.8889,0.8857,1.3552,0.334,136.1722,116.2891,69.1985,96.645,53.1541,0.567,34.1603,89.049,34.165,1.4956,0.5778,0.2388
LYC-150,4,92.7925246,613.4252964,26.50066667,26.58533333,27.94,28.36333333,29.53889613,1.0669,1.0543,1.1182,0.7093,0.6198,1.1443,0.0202,0.0319,0.5357,0.0134,200.6,164,0.0183,169.6,150.4,0,0,0,0.1401,0.0151,0,0.0431,0.4716,0.7904,0.8919,0.8889,1.0645,0.3991,117.0744,63.5545,48.815,77.9997,35.471,23.922,22.0469,42.6642,32.532,0.7651,0.5995,0.224
LYC-151,4,115.5504166,939.4103076,34.036,34.20533333,33.10466667,33.95133333,34.34748867,0.9926,0.9726,0.9968,0.7065,0.6219,1.136,0.0211,0.0214,0.5317,0.0215,204.4,174.583,0.0377,169.2,150.3,0,0,0,0.1239,0.0269,0,0.057,0.4863,0.78,0.8889,0.8889,0.975,0.4016,131.2873,119.9509,72.7458,96.0909,53.8687,-3.8606,32.615,96.7506,32.8427,0.7385,0.5855,0.2344
LYC-152,4,94.59004027,594.5507822,21.75933333,21.92866667,32.512,32.93533333,33.76426233,1.5019,1.4942,1.5577,0.7121,0.6732,1.0578,0.0412,0.1331,0.5141,0.0144,186.3,144.7,0.0358,155.8,129.4,0,0,0,0.1056,0.0599,0,0.0772,0.4884,0.7887,0.8895,0.887,1.5,0.4089,119.8162,57.6393,48.6911,79.1502,34.4035,28.9822,20.6319,35.4464,35.5759,1.1966,0.5545,0.2526
