LINE,LOC,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
116,1,118.8293788,951.6181684,36.91466667,36.99933333,28.448,30.90333333,32.43243027,0.8352,0.7706,0.8806,0.7615,0.6697,1.137,0.0329,0.0677,0.5704,0.0452,235.2,197.9,0.0398,1.6,161.2,0,0.0047,0,0.1362,0.0269,0,0.06,0.4575,0.7363,0.8904,0.8904,0.7701,0.4482,133.2428,76.3641,58.3458,90.1256,41.3819,24.122,24.4719,45.4126,34.362,1.1728,0.633,0.2042
117,1,116.537359,948.3135156,35.052,35.13666667,31.242,33.02,33.6097626,0.9398,0.8913,0.9546,0.7174,0.6546,1.0959,0.0251,0.0292,0.545,0.0398,221.4,166.7,0.0872,172.8,160,0,0,0,0.1436,0.0224,0,0.0623,0.4641,0.7558,0.8909,0.8855,0.8909,0.424,133.964,112.354,62.3107,92.3665,51.6287,1.2754,36.454,87.9963,36.4763,1.5028,0.5409,0.2611
118,1,117.1395676,946.2920142,31.83466667,32.08866667,35.56,36.83,37.46166413,1.1478,1.117,1.1827,0.7261,0.5824,1.2466,0.0284,0.0589,0.4844,0.0312,243.4,174.4,0.048,165.9,140.9,0,0,0,0.164,0.0796,0,0.1068,0.4506,0.7742,0.8889,0.8889,1.12,0.4003,119.7737,68.2891,50.803,80.2404,37.0792,22.2979,23.0929,46.0034,32.1011,0.7144,0.5568,0.2519
119,1,172.326427,2056.010225,47.92133333,48.006,51.90066667,53.93266667,54.19316907,1.1235,1.083,1.1329,0.6113,0.6661,0.9178,0.0197,0.0421,0.523,0.0189,208.8,153.6,0.0566,188.6,152.4,9e-04,0.0058,0.1151,0,0.0439,0.0619,0,0.4851,0.7673,0.8889,0.8857,1.0796,0.396,143.296,105.2121,65.9188,98.4554,50.5863,11.1472,33.1562,71.4173,34.9799,0.8191,0.6027,0.222
120,1,144.6734301,1469.265879,40.386,40.55533333,46.65133333,46.99,47.94231373,1.1587,1.1551,1.2099,0.5367,0.6164,0.8707,0.0204,0.06,0.4473,0,164.5,126.3,0,169,148.5,0,0,0.1227,0,0.106,0.1185,0,0.5027,0.7942,0.8871,0.8889,1.1579,0.3593,109.8659,61.9348,45.1671,72.9367,33.9162,21.2741,22.2819,46.3256,30.807,0.7899,0.5582,0.2505
121,1,198.7019479,2683.019724,63.92333333,64.008,47.752,50.88466667,51.68111753,0.795,0.747,0.8096,0.7086,0.6927,1.0229,0.0344,0.0798,0.559,0.0502,215.1,198.6,0.0892,190.9,173.2,0.03,0.0459,0,0.0819,0.0361,0,0.0493,0.5341,0.75,0.8893,0.8876,0.7475,0.4315,98.8158,64.1018,48.0959,69.111,32.7436,14.7366,18.1983,51.0003,23.4168,0.8668,0.7004,0.1597
122,1,102.4430683,717.5541204,26.24666667,26.50066667,31.75,33.35866667,34.5835732,1.2588,1.2097,1.3219,0.7677,0.5774,1.3296,0.0415,0.0809,0.5419,0.0343,225.8,174.5,0.0373,149.2,127.3,0,0,0,0.1905,0.0149,0,0.1208,0.4365,0.7583,0.8896,0.8843,1.2016,0.4201,129.2765,80.9322,51.5461,85.0928,41.9283,18.6232,29.7585,57.9612,35.1054,1.1431,0.5984,0.2226
123,1,105.5236481,774.2493476,29.718,29.80266667,30.31066667,32.08866667,32.56910767,1.0767,1.0199,1.0991,0.7151,0.6239,1.1461,0.0284,0.0395,0.5369,0.0423,236.6,175.533,0.077,165.1,148.4,0,0,0,0.14,0.028,0,0.0668,0.4538,0.7566,0.891,0.8882,1.0214,0.4177,114.5941,78.4599,49.116,77.0393,39.098,12.7827,26.9174,64.5976,29.7984,0.8469,0.5999,0.225
124,1,134.5829668,1229.983203,39.20066667,39.53933333,34.71333333,37.76133333,39.19661113,0.955,0.8855,1.0021,0.7862,0.6307,1.2466,0.036,0.0372,0.5501,0.0605,250.3,198.4,0.0981,169.5,157.9,0,0,0,0.1947,0.036,0,0.119,0.4103,0.7371,0.8913,0.8889,0.8913,0.4475,130.1237,72.5296,56.5021,87.7999,39.9508,25.0963,23.862,43.5559,34.6298,1.2472,0.6013,0.2217
125,1,188.2097243,2330.82688,50.8,51.308,49.36066667,54.864,57.04033973,1.0693,0.9717,1.121,0.8267,0.63,1.3122,0.0488,0.0584,0.5612,0.0664,276,207,0.0865,163.3,150.2,0,0,0,0.2268,0.0704,0,0.2345,0.412,0.7172,0.8906,0.8838,0.9667,0.462,146.536,85.1677,67.1897,100.5523,45.8792,25.6907,25.7499,45.0659,36.374,0.8831,0.5156,0.281
126,1,297.5560131,5234.31928,64.68533333,67.39466667,93.218,103.8013333,103.9643421,1.5402,1.4411,1.6093,0.8783,0.4018,2.1857,0.0716,0.1396,0.4762,0.0539,272.2,210.3,0.1024,88.4,86.3,0,0,0,0.3316,0.1516,0,0.8905,0.3214,0.7184,0.8898,0.888,1.4426,0.4226,150.2585,77.1974,64.5653,101.0762,44.5794,31.8416,25.5175,38.7082,40.8048,2.1257,0.5726,0.2401
127,1,119.2112001,971.2955484,31.496,31.83466667,37.25333333,40.386,41.06665227,1.2686,1.1828,1.3065,0.7554,0.2823,2.6762,0.0381,0.0628,0.4772,0.0052,167.8,168.1,0.0024,82.9,98.8,0.0021,0.2298,0,0.2612,0.1316,0,0.2654,0.4298,0.7395,0.8911,0.8866,1.1892,0.3961,144.8357,75.5282,58.1203,95.4623,43.06,29.9197,27.5024,42.5895,40.6395,2.2151,0.5704,0.2441
128,1,177.2987225,2149.400719,52.40866667,52.74733333,48.09066667,51.47733333,51.70351187,0.9759,0.9176,0.9863,0.727,0.5897,1.2329,0.0345,0.0369,0.5253,0.0408,233.2,201.8,0.0841,168.3,153.2,0,0,0,0.1563,0.0998,0,0.1789,0.4309,0.7479,0.8902,0.8885,0.919,0.4125,138.4073,70.7982,56.1765,91.5344,40.892,29.7781,25.4443,40.5127,39.1682,0.689,0.5717,0.239
129,1,118.975251,625.2819036,38.354,38.608,8.720666667,22.77533333,28.003881,0.5899,0.2274,0.7525,0.7439,0.3157,2.3566,0.1339,0.2949,0.5979,0.1289,302.5,260.2,0.1469,244.4,272.8,0.3062,0.0179,0,0.0904,0.2116,0,0.0381,0.5242,0.2985,0.8889,0.8696,0.2222,0.7407,118.3278,61.1217,45.1034,76.8757,34.9706,25.6923,23.9924,43.0405,35.153,10.7986,0.6336,0.192
130,1,168.5033629,1854.139661,53.34,53.34,37.93066667,43.09533333,42.78397167,0.8079,0.7111,0.7943,0.7429,0.6698,1.109,0.0424,0.096,0.5555,0.0801,243.2,223.3,0.1835,177.9,167.6,0,0,0,0.1145,0.1146,0,0.1327,0.4813,0.7047,0.8905,0.8883,0.7103,0.4521,153.7022,79.5615,45.8689,93.9143,45.3396,30.5301,39.1699,52.0662,49.6626,1.5734,0.6671,0.1822
