"line","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47"
173,57.2424950587146,258.654102043565,17.9354440883245,17.9967101024183,15.4970341006077,15.8220481046293,17.657700940598,0.89274157374076,0.877701497980399,1.00595827695993,0.707162695590524,0.617577846894249,1.14674505384576,0.024539632407567,0.0455867926979988,0.525171854466323,0.0198236040374508,129.307082518961,94.109341984162,0.03023849657168,138.688082081605,158.200735074938,0.00252622514141503,0.00641294119580839,0.0278847288051795,0.121141346797824,1.28304623027157,0.89199578313253,0.0346813193850749,0.463627896186271,0.774504285939645,0.890298371756941,0.879808785202542,0.868576082183568,0.406160745724453,100.503417368862,102.588594899289,67.3272984008763,81.6165295385254,45.1666681183022,-8.75207674171484,22.8132116580909,110.990275985207,24.7613357748367,2.26787993218691,0.553022110218968,0.254291020996872
174,61.6755989680488,290.146970420407,19.4799417358969,19.5833492840775,16.1264777026392,16.8091179828531,19.1438452380741,0.872614829226684,0.840900767547457,1.00017705378507,0.675735560823727,0.6118445267083,1.09781591877318,0.0278763131965067,0.0575638600824901,0.519909309540857,0.0226061567893389,207.445981401709,138.529931546439,0.037893675464448,137.242496026431,156.73777237338,0.00189185710954853,0.00409667993137296,0.0263829934685451,0.10776495942697,1.28304623031683,0.89199578313253,0.0347945955828713,0.474870304289953,0.761371308535029,0.889265586033381,0.881711400345036,0.836537075688708,0.410793535320996,106.171785916833,101.574452920726,74.325050953863,85.7773707201717,45.5392699443737,-4.01316169983238,18.3805295326113,101.899638066236,19.1885887324609,2.10093951979542,0.553411186171308,0.252517881390008
175,59.947090726825,282.165033081161,18.6659324094135,18.7900173640911,16.2523416418014,16.662126574642,19.3858131273902,0.89789538817337,0.881137857577117,1.04504226052447,0.709833717894393,0.627048442460668,1.13836209014451,0.0209899719938013,0.0405963479544607,0.532982139395387,0.0157676796872409,202.036669048532,171.10209414565,0.0222405484747583,80.3247221914136,157.217807009829,0.00492492926191026,0.0102068174047974,0.0529202376409146,0.0920162250462779,1.28304623024433,0.89199578313253,0.0273636770074252,0.479536624320168,0.780214276115565,0.892058801967555,0.888076939895846,0.884656496089733,0.407206093120596,105.94540857459,105.140502999606,73.492602618391,85.925787501073,46.5987451668494,-6.73763352155993,20.6630363989976,108.413524716292,22.0512849128328,1.88386418785714,0.553897531111734,0.252566460557319
176,69.8066443512835,370.709064926617,20.9201367347609,21.0030023667671,19.9660836750316,20.2742804424698,21.9594265750593,0.97456753748124,0.963220546383836,1.06449923431888,0.699831591820331,0.645649881286192,1.09003173819345,0.0235930562972295,0.030734278580326,0.52893081512737,0.00789164054206599,120.600853512571,165.398111648561,0.0125516056373445,165.82329984016,158.749346088022,0.00153502509162362,0.00261906498681933,0.0497784492392714,0.0958302290851709,1.28304623032691,0.89199578313253,0.0352023898949385,0.469807617307366,0.783568895343918,0.890744347410297,0.884459622217526,0.960380627029673,0.401599229814012,103.197232677933,82.5854817526822,47.5007981710126,71.3061234267118,38.8394118640618,3.50752554351603,27.4291634280176,82.8601087730334,27.8788790353801,1.14867170505069,0.553386868924287,0.251254823039913
177,135.186391904069,1290.39598747837,39.8046944907377,39.8764742618123,38.1075083152374,39.1706409367571,39.950606273554,0.991202014408976,0.963292967983421,1.01607139450169,0.733446512284328,0.639462719959539,1.15472760345939,0.0257474714704119,0.0356388194491135,0.538282874136737,0.0268332107197515,211.466797873713,184.913564106875,0.0581221112023411,163.01120727498,153.856049161648,0.00166762868880033,0.00327251280033535,0.00534988261212989,0.135470241354868,1.28304623143362,0.89199578313253,0.0781533789467666,0.46756773615714,0.774672731145478,0.890512575048176,0.887547955441763,0.963976835915599,0.410853843098806,130.29021588492,59.9464148763734,48.3975839885182,84.0967439531803,36.9491742732031,32.3459181833922,24.9858911233636,37.5416050260696,40.7908300351978,1.59899874646636,0.582492882934321,0.235872945051531
178,48.7130728833731,189.777923534142,14.6376709317021,14.7815619227901,13.5457341530657,13.9739647667658,15.1932874478882,0.96528578637038,0.944503353686817,1.05689619711832,0.658023462567575,0.605219356715648,1.08000212090803,0.0239716867413645,0.0411191564514028,0.49581019508059,0.0331940058198286,201.325956476582,170.24319330632,0.0704567498590579,161.782625565458,147.228514813251,0.00498440126489774,0.0137610803795346,0.0741618887840994,0.0642780138543287,1.28304623029278,0.89199578313253,0.0215865909198071,0.491067299298303,0.768294671623332,0.893795759775361,0.879808785202542,0.937356398027664,0.391026966375748,105.099804815279,104.304483652243,63.1818088530574,80.7357133183897,46.1395556351873,-8.3071926245682,27.0463112875887,107.349934488934,28.5880346141265,1.71928902862034,0.550201309564499,0.253125120981399
179,52.2790792429066,218.695224777922,16.2448093333204,16.2429861885356,13.9024353817131,14.4359980034767,16.050325135655,0.901485960313624,0.867392419190243,1.0190024653839,0.692292110423595,0.651744188298664,1.06022089278647,0.0246106256158423,0.0445174116815263,0.531102659064864,0.0331704248643041,215.500723883811,62.7264267009467,0.0468970798935542,171.048309678136,160.07515603631,0.00462756924697283,0.0141404680004335,0.0646574848772418,0.0586026298538707,1.28304623025353,0.89199578313253,0.0185054783397441,0.479644724398088,0.763702887856863,0.891401574688926,0.880959749918372,0.863021030106892,0.417802114454226,127.600874827383,59.6556445978576,45.6367925027689,81.579930721949,36.459910055639,30.8805866892619,26.3474921364166,40.6220535373673,40.600028247738,1.2977671271233,0.554189338075989,0.252032089716894
180,56.6656250899557,251.066573363742,17.8519477349387,17.9757998525769,14.9095203637193,15.3390550738012,17.0155477708651,0.863064395846825,0.843800957561709,0.972193990350419,0.702351066759441,0.650279006473366,1.08077198492141,0.0241136731579151,0.0547597054170735,0.537158762352106,0.0252000618970313,204.129322732608,135.732998044005,0.0572487098589986,167.98297057319,160.806637387089,0.00218921712448595,0.00379716338855804,0.0228460115572613,0.096505435541817,1.2830462302583,0.89199578313253,0.0236255624801429,0.473789303510753,0.770293168184904,0.890861709424338,0.882486539847533,0.843700169156,0.41564014597584,91.4868966929691,93.5147441587319,62.6549212533106,75.3291960380599,41.1604878716915,-8.05102768017047,20.0241041885869,112.392369518114,21.9044094414271,2.24445970228911,0.612477779186005,0.212075724603314
