Accession Accession,Rep,Perimeter,Area,Width.Mid.height,Maximum.Width,Height.Mid.width,Maximum.Height,Curved.Height,Fruit.Shape.Index.External.I,Fruit.Shape.Index.External.II,Curved.Fruit.Shape.Index,Proximal.Fruit.Blockiness,Distal.Fruit.Blockiness,Fruit.Shape.Triangle,Ellipsoid,Circular,Rectangular,Shoulder.Height,Proximal.Angle.Micro,Proximal.Angle.Macro,Proximal.Indentation.Area,Distal.Angle.Micro,Distal.Angle.Macro,Distal.Indentation.Area,Distal.End.Protrusion,Obovoid,Ovoid,V..Asymmetry,H..Asymmetry.ob,H..Asymmetry.ov,Width.Widest.Pos,Eccentricity,Proximal.Eccentricity,Distal.Eccentricity,Fruit.Shape.Index.Internal,Eccentricity.Area.Index,Average.Red,Average.Green,Average.Blue,Average.Luminosity,Average.L.Value,Average.a.Value,Average.b.Value,Average.Hue,Average.Chroma,Lobedness.Degree,Pericarp.Area,Pericarp.Thickness
LYC-1 LYC-1,2,244.3359943,3797.662656,78.994,79.502,51.816,59.69,62.58259433,0.7508,0.6559,0.7914,0.7899,0.6227,1.2685,0.0489,0.1169,0.5395,0.0857,246.1,235.2,0.1634,171.8,162.8,0,0,0,0.1861,0.1626,0,0.274,0.4326,0.6932,0.8873,0.8873,0.6559,0.4617,132.6827,68.2926,50.1591,86.0217,39.3523,28.1897,27.7774,44.5779,39.5758,1.4503,0.5912,0.2318
LYC-2 LYC-2,2,297.7693477,5356.935523,94.82666667,95.504,57.15,69.85,71.03557887,0.7314,0.6027,0.7478,0.8125,0.6741,1.2053,0.0637,0.1413,0.5588,0.1188,225.7,259.2,0.3701,176.2,173.9,0.0004,0.0015,0,0.1658,0.2817,0,0.3529,0.4545,0.6529,0.8907,0.8863,0.6004,0.4934,131.2975,53.0131,38.0313,79.6801,35.4446,35.6833,30.7018,40.7086,47.0733,2.0791,0.7887,0.1112
LYC-3 LYC-3,2,340.7733173,7154.279598,102.7853333,103.632,72.81333333,87.122,89.632028,0.8407,0.7084,0.877,0.7817,0.6071,1.2877,0.0557,0.0868,0.5416,0.1274,273.5,254,0.2395,173.5,155.4,0,0,0,0.1873,0.1342,0,0.4152,0.4393,0.6693,0.89,0.8889,0.7093,0.4748,158.175,73.774,58.0326,101.7355,45.0968,36.583,31.1495,40.4136,48.048,NA,NA,NA
LYC-4 LYC-4,2,317.3700705,6198.725954,98.806,99.39866667,67.73333333,78.74,77.37902567,0.7922,0.6855,0.7831,0.7609,0.6118,1.2437,0.0507,0.1081,0.5127,0.0897,249.1,236.2,0.221,172.8,164.1,0,0,0,0.1513,0.3274,0,0.3307,0.4602,0.6889,0.8901,0.8889,0.6867,0.4582,148.031,67.4364,52.6897,94.4412,41.7491,35.6283,29.778,39.8887,46.4339,2.4902,0.7025,0.1604
LYC-5 LYC-5,2,316.3279424,5903.794644,102.87,103.886,58.08133333,69.17266667,70.22057753,0.6659,0.5646,0.6767,0.8346,0.6379,1.3084,0.0624,0.1601,0.601,0.1169,226.7,247.3,0.2417,173.6,171.4,0.0175,0.0071,0,0.2388,0.15,0,0.3061,0.3745,0.6716,0.8896,0.8882,0.5649,0.4931,144.094,83.3632,60.4507,96.2957,45.0729,24.6742,28.8149,49.4266,37.9357,1.3374,0.7209,0.1503
LYC-6 LYC-6,2,269.2165643,4876.757272,77.38533333,77.55466667,72.30533333,77.30066667,79.56759127,0.9967,0.9344,1.0279,0.7527,0.6171,1.2199,0.0349,0.0347,0.5491,0.0263,227.7,203.2,0.0338,170.7,154.3,0,0,0,0.1445,0.0362,0,0.2478,0.4984,0.7478,0.8892,0.888,0.9342,0.4252,144.3313,63.8194,45.3467,89.2559,40.1576,35.5641,32.4916,42.4151,48.1717,3.5768,0.7193,0.1449
LYC-7 LYC-7,2,265.7066399,4758.943887,79.58666667,79.92533333,66.802,73.57533333,74.10527893,0.9206,0.8394,0.9341,0.7681,0.6117,1.2557,0.0373,0.045,0.5452,0.0715,236.1,217.4,0.1579,169.3,152.2,0,0,0,0.1682,0.1071,0,0.2637,0.4476,0.7258,0.8898,0.8873,0.8378,0.4395,182.5653,135.0153,63.2099,115.6595,63.8476,10.5135,53.7248,78.9276,54.7438,0.9188,0.6366,0.2017
LYC-8 LYC-8,2,343.3855295,7198.3727,90.00066667,95.08066667,88.9,105.0713333,103.1389521,1.1051,0.9878,1.1569,0.7686,0.4704,1.634,0.0738,0.0892,0.4208,0.0951,270.4,246.3,0.2804,143.9,110.8,0,0,0,0.2638,0.5148,0,0.8376,0.3513,0.6774,0.8898,0.8833,0.9906,0.4429,145.1763,67.7203,50.3303,91.9984,41.35,33.9539,30.7569,42.1716,45.8133,2.0127,0.6301,0.2106
LYC-9 LYC-9,2,314.8966863,5894.683551,100.4993333,101.1766667,56.47266667,72.22066667,74.58033513,0.7138,0.5619,0.7451,0.8307,0.6554,1.2674,0.0678,0.1467,0.579,0.1583,260.8,266.6,0.3965,201.7,174.1,0.0373,0.0046,0,0.1968,0.1121,0,0.3756,0.4326,0.6244,0.8881,0.8867,0.5612,0.5183,186.0075,181.8632,115.7856,142.4062,77.9964,-11.2423,41.9003,105.0193,43.3823,4.0798,0.8063,0.1019
LYC-10 LYC-10,2,318.1841659,5532.47639,96.94333333,97.87466667,52.578,73.23666667,75.386565,0.7483,0.5424,0.7769,0.821,0.5188,1.5825,0.0878,0.1665,0.542,0.1684,284.6,295.7,0.359,174.1,171.966,0.0103,0.14,0,0.2464,0.3399,0,0.4351,0.3815,0.5741,0.8873,0.8889,0.5427,0.5387,141.279,67.6954,52.6045,91.2203,40.6523,32.5579,28.1528,40.85,43.0418,1.0241,0.77,0.1495
