Accession Accession,Rep,Perimeter,Area,Width.Mid.height,Maximum.Width,Height.Mid.width,Maximum.Height,Curved.Height,Fruit.Shape.Index.External.I,Fruit.Shape.Index.External.II,Curved.Fruit.Shape.Index,Proximal.Fruit.Blockiness,Distal.Fruit.Blockiness,Fruit.Shape.Triangle,Ellipsoid,Circular,Rectangular,Shoulder.Height,Proximal.Angle.Micro,Proximal.Angle.Macro,Proximal.Indentation.Area,Distal.Angle.Micro,Distal.Angle.Macro,Distal.Indentation.Area,Distal.End.Protrusion,Obovoid,Ovoid,V..Asymmetry,H..Asymmetry.ob,H..Asymmetry.ov,Width.Widest.Pos,Eccentricity,Proximal.Eccentricity,Distal.Eccentricity,Fruit.Shape.Index.Internal,Eccentricity.Area.Index,Average.Red,Average.Green,Average.Blue,Average.Luminosity,Average.L.Value,Average.a.Value,Average.b.Value,Average.Hue,Average.Chroma,Lobedness.Degree,Pericarp.Area,Pericarp.Thickness
LYC-88 LYC-88,1,208.7724721,2833.893974,58.50466667,58.928,62.56866667,66.12466667,66.24706927,1.1221,1.0695,1.134,0.6006,0.3705,1.6211,0.0235,0.041,0.4399,0.0407,243.6,196,0.065,73.4,129.1,0.0018,0.1267,0,0.1388,0.162,0,0.2152,0.4878,0.7564,0.8926,0.8872,1.0688,0.353,142.6583,126.7515,80.5633,105.1248,57.1351,-1.5123,32.762,92.643,32.7969,1.4385,0.5875,0.2322
LYC-89 LYC-89,1,266.1204313,4606.729138,84.66666667,85.00533333,58.42,65.87066667,68.29838173,0.7749,0.69,0.8059,0.77,0.672,1.1458,0.0421,0.0984,0.5666,0.0649,257.6,221.9,0.0843,175,164.8,0,0,0,0.1581,0.047,0,0.1865,0.4512,0.7104,0.8903,0.8889,0.69,0.4603,127.6666,62.0111,50.5409,83.8155,36.9928,29.8422,23.4723,38.1867,37.9672,0.7775,0.7186,0.1516
LYC-90 LYC-90,1,230.9862538,3414.537974,66.63266667,68.24133333,56.72666667,65.10866667,65.50201107,0.9541,0.8513,0.9843,0.7903,0.5438,1.4533,0.0598,0.0621,0.5233,0.0946,251.2,246,0.2842,150.4,143.9,0,0,0,0.2186,0.103,0,0.3835,0.4161,0.6979,0.8904,0.8889,0.8535,0.445,142.77,94.12,58.2422,94.5937,47.4914,17.2393,33.6211,62.8534,37.7832,0.7521,0.5728,0.2421
LYC-91 LYC-91,1,136.9195975,1271.001042,35.22133333,35.22133333,44.61933333,45.55066667,45.83820313,1.2933,1.2668,1.3046,0.6418,0.6178,1.0389,0.0287,0.0864,0.4929,0.0289,208.3,158,0.0589,170.7,135.3,0,0,0.124,0,0.0431,0.0656,0,0.5093,0.7821,0.8898,0.8861,1.2651,0.3823,145.1524,80.9591,65.732,99.2264,44.6705,27.4452,24.6304,41.906,36.8768,1.0149,0.6476,0.194
LYC-92 LYC-92,1,169.7007274,1981.042633,51.054,51.39266667,44.02666667,46.82066667,47.8429066,0.911,0.8624,0.9387,0.7446,0.6517,1.1425,0.0278,0.0414,0.5326,0.0579,233.3,202.8,0.1076,170.2,160.1,0,0,0,0.165,0.0722,0,0.1125,0.4539,0.7536,0.8908,0.8908,0.8667,0.4325,139.5896,111.5924,74.9625,101.0116,52.2091,6.1727,29.2687,78.091,29.9125,1.6419,0.5585,0.25
LYC-93 LYC-93,1,327.4493578,6563.413396,105.7486667,106.5106667,66.04,77.38533333,78.5245318,0.7266,0.6245,0.7437,0.6589,0.7646,0.8618,0.0597,0.1339,0.5682,0.0872,258.4,238.4,0.1677,186.6,178.6,0.0177,0.0082,0.1945,0,0.2482,0.3235,0,0.5624,0.6835,0.8953,0.8889,0.6253,0.4658,138.0904,76.0182,62.0778,94.1463,42.4298,26.9252,23.8351,41.5163,35.9594,2.4589,0.6372,0.2006
LYC-94 LYC-94,1,253.3963605,3771.69855,80.85666667,81.28,45.466,57.15,61.0357174,0.7031,0.5623,0.7541,0.778,0.7026,1.1073,0.0719,0.1506,0.5776,0.1282,281.1,270.2,0.2397,172.6,177.5,0.0045,0.0173,0,0.1632,0.1207,0,0.219,0.4385,0.635,0.8954,0.8861,0.5617,0.5132,154.5618,134.3944,85.1593,112.8277,60.7976,-0.3714,35.2048,90.6044,35.2068,1.287,0.6366,0.1992
LYC-95 LYC-95,1,217.2470467,2999.563893,66.548,67.056,47.498,55.54133333,60.2099888,0.8283,0.7137,0.9025,0.757,0.673,1.1248,0.0455,0.0869,0.552,0.0412,265.2,231.9,0.0355,164.5,160.3,0,0,0,0.1743,0.1085,0,0.1773,0.4146,0.684,0.8889,0.8889,0.7134,0.4719,138.1793,72.2981,57.9836,92.2823,41.2995,28.9384,24.9695,40.7893,38.2218,1.6172,0.5584,0.2509
LYC-96 LYC-96,1,245.4150879,3690.73097,80.60266667,80.68733333,46.482,55.79533333,58.05551,0.6915,0.5767,0.7203,0.7742,0.7206,1.0743,0.0571,0.1424,0.5957,0.0996,254.9,238.9,0.159,194.9,171.1,0.0102,0.0047,0,0.1197,0.0836,0,0.152,0.4841,0.6657,0.8902,0.8866,0.5763,0.4922,136.5637,72.5411,59.6144,92.2883,41.0288,28.2417,23.2785,39.4974,36.5989,1.0682,0.6851,0.169
LYC-97 LYC-97,1,209.6895307,2974.015557,54.61,55.03333333,60.706,64.68533333,65.36181153,1.1754,1.1116,1.1987,0.8171,0.6496,1.2578,0.0445,0.071,0.5604,0.0458,229.8,190.9,0.0827,172.8,146,0,0,0,0.1808,0.0848,0,0.2079,0.4306,0.7497,0.8896,0.8868,1.1128,0.4434,142.6078,69.447,59.5659,95.0461,41.3601,32.7676,24.0112,36.233,40.6233,1.8163,0.4995,0.2915
