Accession Accession,Rep,Perimeter,Area,Width.Mid.height,Maximum.Width,Height.Mid.width,Maximum.Height,Curved.Height,Fruit.Shape.Index.External.I,Fruit.Shape.Index.External.II,Curved.Fruit.Shape.Index,Proximal.Fruit.Blockiness,Distal.Fruit.Blockiness,Fruit.Shape.Triangle,Ellipsoid,Circular,Rectangular,Shoulder.Height,Proximal.Angle.Micro,Proximal.Angle.Macro,Proximal.Indentation.Area,Distal.Angle.Micro,Distal.Angle.Macro,Distal.Indentation.Area,Distal.End.Protrusion,Obovoid,Ovoid,V..Asymmetry,H..Asymmetry.ob,H..Asymmetry.ov,Width.Widest.Pos,Eccentricity,Proximal.Eccentricity,Distal.Eccentricity,Fruit.Shape.Index.Internal,Eccentricity.Area.Index,Average.Red,Average.Green,Average.Blue,Average.Luminosity,Average.L.Value,Average.a.Value,Average.b.Value,Average.Hue,Average.Chroma,Lobedness.Degree,Pericarp.Area,Pericarp.Thickness
LYC-108 LYC-108,1,270.8964102,4037.296585,89.06933333,89.154,39.79333333,55.96466667,60.13235793,0.6277,0.4468,0.6764,0.7766,0.751,1.0342,0.0863,0.1986,0.6118,0.1551,311.3,260.8,0.2157,214.4,200.3,0.0324,0.0075,0,0.1198,0.1564,0,0.1204,0.4992,0.5697,0.891,0.8868,0.4476,0.5596,124.5961,60.6129,48.3925,81.356,36.0233,29.2149,23.6367,38.9751,37.5793,0.6977,0.6361,0.2025
LYC-109 LYC-109,1,126.6477697,1110.664445,36.15266667,36.23733333,34.71333333,36.66066667,37.82144667,1.0117,0.9602,1.0486,0.7728,0.6745,1.1458,0.0345,0.0361,0.5709,0.0336,227.8,171.6,0.0481,173.5,161,6e-04,0.0048,0,0.1584,0.0432,0,0.0815,0.448,0.7593,0.8913,0.8889,0.9647,0.4347,111.7049,60.4689,44.3974,73.3956,33.64,23.0069,22.4928,44.3527,32.1752,0.7532,0.5567,0.2512
LYC-110 LYC-110,1,200.3052043,2735.435389,55.54133333,56.388,61.55266667,62.738,62.64705107,1.1126,1.1082,1.1297,0.7363,0.4741,1.5531,0.0313,0.0429,0.4929,0.0292,215.7,180.933,0.0409,140.4,122.7,0,0,0,0.1943,0.0637,0,0.2548,0.4534,0.7838,0.8896,0.8869,1.1069,0.3745,98.2075,60.4005,49.2621,69.2472,31.5694,17.0787,15.4085,42.0571,23.0023,0.7013,0.7004,0.1623
LYC-111 LYC-111,1,196.3603303,2605.06289,56.642,56.81133333,52.74733333,57.404,56.80441607,1.0104,0.9312,1.0026,0.6861,0.6263,1.0955,0.0295,0.0306,0.5286,0.0644,257.1,206,0.0973,169.633,155.8,0.03,0.0546,0,0.1204,0.0945,0,0.1253,0.4661,0.7326,0.8905,0.8857,0.9288,0.4276,133.0678,68.3998,54.6713,88.2856,39.3998,28.7534,24.2866,40.1862,37.6377,0.9221,0.6195,0.2096
LYC-112 LYC-112,1,188.054488,2315.314366,58.25066667,58.58933333,44.36533333,50.12266667,50.4697492,0.8555,0.7616,0.8775,0.7253,0.5945,1.22,0.0362,0.0672,0.5248,0.0706,261.5,211.1,0.0894,166.4,151.6,0,0,0,0.1305,0.0943,0,0.1563,0.4916,0.7073,0.8856,0.8875,0.76,0.441,102.6842,53.2104,42.0863,68.0197,30.2684,23.2565,18.8955,39.0931,29.9651,0.6823,0.6181,0.2125
LYC-113 LYC-113,1,150.8410327,1570.491483,45.80466667,45.80466667,39.20066667,41.99466667,42.52280887,0.9168,0.8558,0.9301,0.732,0.6377,1.1478,0.026,0.0417,0.5538,0.0486,252.1,195.2,0.07,169.1,160.5,0,0,0,0.1104,0.0379,0,0.0842,0.498,0.7434,0.8889,0.8846,0.8519,0.4301,118.4737,72.8692,46.9181,77.837,38.1194,18.2562,27.2025,56.1335,32.7607,1.0996,0.5873,0.2326
LYC-114 LYC-114,1,220.2574801,2972.34531,71.628,71.71266667,42.24866667,51.308,52.6259552,0.7155,0.5898,0.7365,0.7671,0.6702,1.1446,0.0589,0.1398,0.5514,0.0847,273.7,234.5,0.1581,192.5,190.1,0.2032,0.0558,0,0.1418,0.1836,0,0.1475,0.4901,0.6579,0.8904,0.8884,0.5888,0.4904,147.5418,86.9489,46.4257,91.2787,46.1244,23.0019,39.5859,59.8407,45.7835,4.7908,0.7706,0.1188
LYC-115 LYC-115,1,104.6684724,761.6830644,31.58066667,31.75,28.27866667,29.464,31.520003,0.928,0.8954,1.0007,0.6997,0.6649,1.0524,0.022,0.0263,0.5432,0.0388,211.9,173.6,0.0671,176.5,160.7,0,0,0,0.0863,0.0283,0,0.0284,0.5287,0.7666,0.8896,0.8867,0.8986,0.418,123.5925,67.631,52.7715,82.9273,37.6241,24.7322,22.675,42.5153,33.5535,1.7897,0.557,0.253
LYC-116 LYC-116,1,138.0262839,1277.079883,43.688,43.77266667,32.93533333,36.83,38.41313967,0.8414,0.7539,0.881,0.7422,0.5814,1.2767,0.0341,0.0762,0.5137,0.038,238.2,205.3,0.049,179.4,159.4,5e-04,0.0033,0,0.1434,0.1286,0,0.1172,0.4759,0.7143,0.8883,0.8857,0.7524,0.4369,124.714,61.8595,42.8191,78.8261,36.2243,28.0153,27.6657,44.6403,39.3732,0.6927,0.6661,0.1833
LYC-117 LYC-117,1,148.6000753,1500.047179,35.64466667,35.72933333,51.13866667,51.308,52.523009,1.436,1.4347,1.4735,0.6651,0.6675,0.9964,0.0364,0.1209,0.5215,0.0075,172.7,136.9,0.0152,161.3,131.9,0,0,0.0992,0,0.0426,0.0624,0,0.4934,0.7967,0.8877,0.8877,1.4345,0.3922,121.7552,70.2248,55.0664,83.1846,37.986,22.4449,21.5497,43.8344,31.1153,1.1899,0.5563,0.2507
LYC-118 LYC-118,1,99.65861027,674.2137053,30.05666667,30.226,25.73866667,27.77066667,29.5194482,0.9188,0.8563,0.9877,0.738,0.6113,1.2074,0.0287,0.0375,0.5316,0.0551,246.5,206.4,0.0758,168.6,149.2,0,0,0,0.1751,0.0235,0,0.0795,0.439,0.7401,0.8864,0.8864,0.8582,0.4301,126.8485,100.856,50.5549,83.5963,47.2815,3.9818,37.6349,83.9605,37.845,0.7089,0.5531,0.2539
LYC-119 LYC-119,1,118.8293788,951.6181684,36.91466667,36.99933333,28.448,30.90333333,32.43243027,0.8352,0.7706,0.8806,0.7615,0.6697,1.137,0.0329,0.0677,0.5704,0.0452,235.2,197.9,0.0398,1.6,161.2,0,0.0047,0,0.1362,0.0269,0,0.06,0.4575,0.7363,0.8904,0.8904,0.7701,0.4482,133.2428,76.3641,58.3458,90.1256,41.3819,24.122,24.4719,45.4126,34.362,1.1728,0.633,0.2042
LYC-120 LYC-120,1,116.537359,948.3135156,35.052,35.13666667,31.242,33.02,33.6097626,0.9398,0.8913,0.9546,0.7174,0.6546,1.0959,0.0251,0.0292,0.545,0.0398,221.4,166.7,0.0872,172.8,160,0,0,0,0.1436,0.0224,0,0.0623,0.4641,0.7558,0.8909,0.8855,0.8909,0.424,133.964,112.354,62.3107,92.3665,51.6287,1.2754,36.454,87.9963,36.4763,1.5028,0.5409,0.2611
LYC-121 LYC-121,1,117.1395676,946.2920142,31.83466667,32.08866667,35.56,36.83,37.46166413,1.1478,1.117,1.1827,0.7261,0.5824,1.2466,0.0284,0.0589,0.4844,0.0312,243.4,174.4,0.048,165.9,140.9,0,0,0,0.164,0.0796,0,0.1068,0.4506,0.7742,0.8889,0.8889,1.12,0.4003,119.7737,68.2891,50.803,80.2404,37.0792,22.2979,23.0929,46.0034,32.1011,0.7144,0.5568,0.2519
LYC-123 LYC-123,1,172.326427,2056.010225,47.92133333,48.006,51.90066667,53.93266667,54.19316907,1.1235,1.083,1.1329,0.6113,0.6661,0.9178,0.0197,0.0421,0.523,0.0189,208.8,153.6,0.0566,188.6,152.4,9e-04,0.0058,0.1151,0,0.0439,0.0619,0,0.4851,0.7673,0.8889,0.8857,1.0796,0.396,143.296,105.2121,65.9188,98.4554,50.5863,11.1472,33.1562,71.4173,34.9799,0.8191,0.6027,0.222
LYC-124 LYC-124,1,144.6734301,1469.265879,40.386,40.55533333,46.65133333,46.99,47.94231373,1.1587,1.1551,1.2099,0.5367,0.6164,0.8707,0.0204,0.06,0.4473,0,164.5,126.3,0,169,148.5,0,0,0.1227,0,0.106,0.1185,0,0.5027,0.7942,0.8871,0.8889,1.1579,0.3593,109.8659,61.9348,45.1671,72.9367,33.9162,21.2741,22.2819,46.3256,30.807,0.7899,0.5582,0.2505
LYC-125 LYC-125,1,198.7019479,2683.019724,63.92333333,64.008,47.752,50.88466667,51.68111753,0.795,0.747,0.8096,0.7086,0.6927,1.0229,0.0344,0.0798,0.559,0.0502,215.1,198.6,0.0892,190.9,173.2,0.03,0.0459,0,0.0819,0.0361,0,0.0493,0.5341,0.75,0.8893,0.8876,0.7475,0.4315,98.8158,64.1018,48.0959,69.111,32.7436,14.7366,18.1983,51.0003,23.4168,0.8668,0.7004,0.1597
LYC-126 LYC-126,1,102.4430683,717.5541204,26.24666667,26.50066667,31.75,33.35866667,34.5835732,1.2588,1.2097,1.3219,0.7677,0.5774,1.3296,0.0415,0.0809,0.5419,0.0343,225.8,174.5,0.0373,149.2,127.3,0,0,0,0.1905,0.0149,0,0.1208,0.4365,0.7583,0.8896,0.8843,1.2016,0.4201,129.2765,80.9322,51.5461,85.0928,41.9283,18.6232,29.7585,57.9612,35.1054,1.1431,0.5984,0.2226
LYC-127 LYC-127,1,105.5236481,774.2493476,29.718,29.80266667,30.31066667,32.08866667,32.56910767,1.0767,1.0199,1.0991,0.7151,0.6239,1.1461,0.0284,0.0395,0.5369,0.0423,236.6,175.533,0.077,165.1,148.4,0,0,0,0.14,0.028,0,0.0668,0.4538,0.7566,0.891,0.8882,1.0214,0.4177,114.5941,78.4599,49.116,77.0393,39.098,12.7827,26.9174,64.5976,29.7984,0.8469,0.5999,0.225
