Accession,Rep, Perimeter,  Area,  Width Mid-height,  Maximum Width,  Height Mid-width,  Maximum Height,  Curved Height,  Fruit Shape Index External I,  Fruit Shape Index External II,  Curved Fruit Shape Index,  Proximal Fruit Blockiness,  Distal Fruit Blockiness,  Fruit Shape Triangle,  Ellipsoid,  Circular,  Rectangular,  Shoulder Height,  Proximal Angle Micro,  Proximal Angle Macro,  Proximal Indentation Area,  Distal Angle Micro,  Distal Angle Macro,  Distal Indentation Area,  Distal End Protrusion,  Obovoid,  Ovoid,  V. Asymmetry,  H. Asymmetry.ob,  H. Asymmetry.ov,  Width Widest Pos,  Eccentricity,  Proximal Eccentricity,  Distal Eccentricity,  Fruit Shape Index Internal,  Eccentricity Area Index,  Average Red,  Average Green,  Average Blue,  Average Luminosity,  Average L Value,  Average a Value,  Average b Value,  Average Hue,  Average Chroma, Lobedness Degree,  Pericarp Area,  Pericarp Thickness
LYC-1,3,201.4949149,2736.833236,59.77466667,61.12933333,50.038,54.27133333,54.98323607,0.8878,0.8371,0.9255,0.8612,0.6048,1.4239,0.0471,0.0553,0.5695,0.0694,224.1,214.5,0.1388,162.5,150.3,0,0,0,0.2893,0.0832,0,0.2783,0.3401,0.7375,0.8872,0.8889,0.8369,0.4524,131.7347,67.4165,47.8072,84.4857,38.9092,28.0219,28.6649,45.6499,40.0861,0.8816,0.6685,0.181
LYC-2,3,393.3077393,8482.040384,122.3433333,123.2746667,69.85,87.03733333,105.262553,0.706,0.5709,0.8598,0.8097,0.6657,1.2162,0.0894,0.1704,0.5864,0.0107,206.1,238.8,0.011,185.4,172.2,0,0,0,0.1727,0.2251,0,0.4785,0.4504,0.6407,0.8892,0.8868,0.5702,0.496,137.379,65.3727,50.2761,88.3003,39.4323,32.0454,27.7376,40.8786,42.3825,2.8036,0.7885,0.1095
LYC-3,3,333.640176,7251.698758,91.52466667,94.40333333,89.23866667,100.1606667,99.42003653,1.061,0.975,1.0879,0.7697,0.5532,1.3913,0.0635,0.0673,0.4961,0.0708,233.6,237.5,0.2285,171.6,129.5,0,0,0,0.2224,0.2913,0,0.5622,0.3787,0.7124,0.8919,0.8882,0.9745,0.4352,127.8536,50.5676,35.9232,77.0658,34.2933,35.4078,30.4476,40.6926,46.6987,.,.,.
LYC-4,3,368.9202172,8315.703799,119.38,120.396,72.05133333,85.93666667,93.53312933,0.7138,0.6035,0.7817,0.8305,0.634,1.3098,0.0625,0.1415,0.5741,0.0736,224.7,255.3,0.165,177,158.1,0,0,0,0.1753,0.2518,0,0.4773,0.465,0.6706,0.8889,0.8889,0.6028,0.4807,153.915,73.6802,57.2599,99.3586,44.1811,34.8155,30.3083,41.0409,46.1596,.,.,.
LYC-5,3,278.8550769,4545.682665,94.234,94.40333333,53.848,60.87533333,64.2001256,0.6448,0.5714,0.6983,0.7026,0.6487,1.0831,0.056,0.1573,0.5242,0.0681,248.5,211.9,0.1289,136.2,165.650,0.004,0.0039,0,0.1188,0.2042,0,0.1596,0.4854,0.7075,0.8944,0.8897,0.5721,0.4413,165.1144,95.458,70.1088,110.6908,51.5535,27.5795,32.4016,49.5963,42.5499,.,.,.
LYC-6,3,293.1656231,5758.683823,87.96866667,88.30733333,70.01933333,77.13133333,78.52395607,0.8734,0.796,0.8935,0.7613,0.7507,1.0141,0.0426,0.0641,0.588,0.0484,224.8,208.9,0.1016,165.1,174,0.0138,0.0222,0,0.1156,0.1256,0,0.1098,0.4753,0.7253,0.8895,0.8871,0.7952,0.4644,141.2849,61.6303,45.6206,87.9414,39.107,35.5948,30.6225,40.7057,46.9545,1.5626,0.6853,0.1702
LYC-7,3,234.4991077,3690.014125,72.30533333,72.898,57.912,63.58466667,66.3204668,0.8722,0.8009,0.9582,0.7553,0.6042,1.25,0.0347,0.0623,0.5058,0.0373,251.6,204.3,0.0454,162.8,146.4,0,0,0,0.1556,0.2109,0,0.2215,0.4767,0.728,0.8907,0.8878,0.8006,0.4318,180.7661,129.7768,56.2877,111.5549,62.1842,12.52,55.4967,77.2869,56.8914,1.7494,0.5598,0.2506
LYC-8,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
LYC-9,3,311.5731132,5656.110552,99.48333333,100.33,56.134,69.342,71.6764886,0.6911,0.5643,0.726,0.8153,0.6868,1.1871,0.0662,0.1508,0.5771,0.1392,271.2,262,0.2581,171.1,175.4,0.0178,0.0077,0,0.1587,0.1378,0,0.3169,0.464,0.6455,0.8889,0.8859,0.5629,0.507,175.3238,168.6311,95.1431,127.5941,73.0349,-10.6265,46.9101,102.7637,48.0986,.,.,.
LYC-10,3,321.0628326,6031.521987,101.854,101.9386667,59.182,71.882,76.11842367,0.7051,0.581,0.7503,0.8188,0.6825,1.1998,0.0665,0.1425,0.5998,0.1294,269.9,253.7,0.2977,177.5,192.5,0.0002,0.0015,0,0.1427,0.0992,0,0.245,0.4888,0.658,0.89,0.8871,0.5813,0.5,142.3741,72.5941,54.986,92.8615,42.0545,30.1459,28.4072,43.2991,41.4216,.,.,.
