"trait","G variance","E variance","residual","h2"
"X1","6509.22314758601","7.89488728655942","289.089603369209","0.956365643477123"
"X2","2922824.04426915","5171.91180525065","210205.737120002","0.931369086508261"
"X3","620.983142358407","0.552235149413625","35.0635518094019","0.945757165647755"
"X4","631.096271982078","0.591422951106402","34.9800210451321","0.946642917987954"
"X5","366.617197462433","0.196588645349038","12.9452172973617","0.965394353195386"
"X6","468.721230154884","0.416589004710297","14.7779132162645","0.96860093358326"
"X7","462.331916896267","0.452890422392182","18.206147962539","0.961207090944106"
"X8","0.0627467297747604","2.7737152619102e-05","0.00590164675045392","0.913661627230563"
"X9","0.0846727180290668","3.37044629179318e-05","0.00873648250342208","0.906143896459864"
"X10","0.0729574135656547","6.0493432342293e-05","0.0085196646170664","0.894770498072773"
"X11","0.00252584519003198","4.65261955765714e-06","0.00323024701522415","0.438458092979952"
"X12","0.00385016078445216","0","0.00273096957675337","0.585030317458548"
"X13","0.0484878518071458","0","0.0327850858040266","0.596605133668508"
"X14","0.000289777851725586","3.52716365079962e-07","6.54191873560139e-05","0.815013503135548"
"X15","0.00234242531971603","2.6593396635232e-06","0.000487322341672359","0.827008731035508"
"X16","0.000689842284481095","0","0.000543980442010142","0.559109724330398"
"X17","0.00126485156767386","9.45648886360708e-07","0.000304462747932781","0.805504563750531"
"X18","1256.47413043623","0","1338.57070184504","0.48418205142594"
"X19","2032.27653085639","0","1098.82579537625","0.649061039567377"
"X20","0.00544291693135322","0","0.00204720310105366","0.726679533546032"
"X21","636.393874095249","4.58835309442134","1108.35374296628","0.363791681502162"
"X22","402.020846040024","0.380086266190719","150.630909728348","0.726939780828929"
"X23","0.000336216557039334","2.92996278049435e-06","0.000351141339185334","0.487067174445001"
"X24","0.00105788266962559","0","0.00106642044474796","0.497990452712562"
"X25","0.00139152147503723","1.06812921917324e-05","0.0014761424821064","0.48344494996163"
"X26","0.00234665660962843","1.03705846365843e-05","0.00347259516720573","0.402540072773496"
"X27","8.41966968913024e-07","0","952.31342766392","8.84128002094868e-10"
"X28","0","0","504.835526914053","0"
"X29","0.015703098934296","2.16170697823467e-06","0.00650092533012289","0.707149753430081"
"X30","0.00101177900659659","0","0.00156867459688313","0.392093469625733"
"X31","0.0031029422378798","1.26790953521516e-06","0.000630392490924783","0.830862755256661"
"X32","7.10451577098648e-05","0","1.84946354741003e-05","0.793447864726447"
"X33","7.10229067352326e-05","0","1.82740652618081e-05","0.795356271851931"
"X34","0.0851598894377341","3.1822213611104e-05","0.00888830488297492","0.905185740551693"
"X35","0.00236030401808999","6.42943295376434e-19","0.000493603412450134","0.827042949197299"
"X36","322.406921330177","0.578127798832446","41.8581770246284","0.883686192365839"
"X37","348.714605120755","0.532908673233453","39.760307701833","0.896420549540289"
"X38","98.1256766986827","0.499961962692908","22.2086224862122","0.81206833034574"
"X39","92.2722588563701","0.486168599876292","23.4589223463943","0.793962855056203"
"X40","34.0259998121244","0.106103760806975","6.34607316943265","0.84060109793713"
"X41","208.174816737703","0","6.53396127434729","0.969568262020565"
"X42","29.1354918168534","0","2.94446331748396","0.908214855502329"
"X43","617.225990223728","0","11.2809535249044","0.982051187123533"
"X44","55.4423623293728","0","5.96345171209364","0.902884575260795"
"X45","0.57837892141913","6.47960415794914e-11","0.425237207239707","0.576294964644195"
"X46","0.00484832564650744","0","0.000544503869873955","0.899031877751752"
"X47","0.00183654958200798","0","0.000214859975983618","0.89526227215497"
