Accession,Taxa,Taxa
LYC-1,CPSBB_TOM001,LYC-1
LYC-2,CPSBB_TOM002,LYC-2
LYC-3,CPSBB_TOM003,LYC-3
LYC-4,CPSBB_TOM004,LYC-4
LYC-5,CPSBB_TOM005,LYC-5
LYC-6,CPSBB_TOM006,LYC-6
LYC-7,CPSBB_TOM007,LYC-7
LYC-8,CPSBB_TOM008,LYC-8
LYC-9,CPSBB_TOM009,LYC-9
LYC-10,CPSBB_TOM010,LYC-10
LYC-11,CPSBB_TOM011,LYC-11
LYC-12,CPSBB_TOM012,LYC-12
LYC-13,CPSBB_TOM013,LYC-13
LYC-14,CPSBB_TOM014,LYC-14
LYC-15,CPSBB_TOM015,LYC-15
LYC-16,CPSBB_TOM016,LYC-16
LYC-17,CPSBB_TOM017,LYC-17
LYC-18,CPSBB_TOM018,LYC-18
LYC-19,CPSBB_TOM019,LYC-19
LYC-20,CPSBB_TOM020,LYC-20
LYC-21,CPSBB_TOM021,LYC-21
LYC-22,CPSBB_TOM022,LYC-22
LYC-23,CPSBB_TOM023,LYC-23
LYC-24,CPSBB_TOM024,LYC-24
LYC-25,CPSBB_TOM025,LYC-25
LYC-26,CPSBB_TOM026,LYC-26
LYC-27,CPSBB_TOM027,LYC-27
LYC-28,CPSBB_TOM028,LYC-28
LYC-29,CPSBB_TOM029,LYC-29
LYC-30,CPSBB_TOM030,LYC-30
LYC-31,CPSBB_TOM031,LYC-31
LYC-32,CPSBB_TOM032,LYC-32
LYC-33,CPSBB_TOM033,LYC-33
LYC-34,CPSBB_TOM034,LYC-34
LYC-35,CPSBB_TOM035,LYC-35
LYC-36,CPSBB_TOM036,LYC-36
LYC-37,CPSBB_TOM037,LYC-37
LYC-38,CPSBB_TOM038,LYC-38
LYC-39,CPSBB_TOM039,LYC-39
LYC-40,CPSBB_TOM040,LYC-40
LYC-41,CPSBB_TOM041,LYC-41
LYC-42,CPSBB_TOM042,LYC-42
LYC-43,CPSBB_TOM043,LYC-43
LYC-45,CPSBB_TOM045,LYC-45
LYC-46,CPSBB_TOM046,LYC-46
LYC-47,CPSBB_TOM047,LYC-47
LYC-48,CPSBB_TOM048,LYC-48
LYC-49,CPSBB_TOM049,LYC-49
LYC-50,CPSBB_TOM050,LYC-50
LYC-51,CPSBB_TOM051,LYC-51
LYC-52,CPSBB_TOM052,LYC-52
LYC-53,CPSBB_TOM053,LYC-53
LYC-54,CPSBB_TOM054,LYC-54
LYC-55,CPSBB_TOM055,LYC-55
LYC-56,CPSBB_TOM056,LYC-56
LYC-57,CPSBB_TOM057,LYC-57
LYC-58,CPSBB_TOM058,LYC-58
LYC-59,CPSBB_TOM059,LYC-59
LYC-60,CPSBB_TOM060,LYC-60
LYC-61,CPSBB_TOM061,LYC-61
LYC-62,CPSBB_TOM062,LYC-62
LYC-63,CPSBB_TOM063,LYC-63
LYC-64,CPSBB_TOM064,LYC-64
LYC-65,CPSBB_TOM065,LYC-65
LYC-66,CPSBB_TOM066,LYC-66
LYC-67,CPSBB_TOM067,LYC-67
LYC-68,CPSBB_TOM068,LYC-68
LYC-70,CPSBB_TOM070,LYC-70
LYC-71,CPSBB_TOM071,LYC-71
LYC-72,CPSBB_TOM072,LYC-72
LYC-73,CPSBB_TOM073,LYC-73
LYC-74,CPSBB_TOM074,LYC-74
LYC-76,CPSBB_TOM076,LYC-76
LYC-77,CPSBB_TOM077,LYC-77
LYC-78,CPSBB_TOM078,LYC-78
LYC-79,CPSBB_TOM079,LYC-79
LYC-80,CPSBB_TOM080,LYC-80
LYC-81,CPSBB_TOM081,LYC-81
LYC-82,CPSBB_TOM082,LYC-82
LYC-83,CPSBB_TOM083,LYC-83
LYC-84,CPSBB_TOM084,LYC-84
LYC-85,CPSBB_TOM085,LYC-85
LYC-86,CPSBB_TOM086,LYC-86
LYC-87,CPSBB_TOM087,LYC-87
LYC-88,CPSBB_TOM088,LYC-88
LYC-89,CPSBB_TOM089,LYC-89
LYC-90,CPSBB_TOM090,LYC-90
LYC-91,CPSBB_TOM091,LYC-91
LYC-92,CPSBB_TOM092,LYC-92
LYC-93,CPSBB_TOM093,LYC-93
LYC-94,CPSBB_TOM094,LYC-94
LYC-95,CPSBB_TOM095,LYC-95
LYC-96,CPSBB_TOM096,LYC-96
LYC-97,CPSBB_TOM097,LYC-97
LYC-98,CPSBB_TOM098,LYC-98
LYC-99,CPSBB_TOM099,LYC-99
LYC-100,CPSBB_TOM100,LYC-100
LYC-101,CPSBB_TOM101,LYC-101
LYC-102,CPSBB_TOM102,LYC-102
LYC-103,CPSBB_TOM103,LYC-103
LYC-104,CPSBB_TOM104,LYC-104
LYC-105,CPSBB_TOM105,LYC-105
LYC-106,CPSBB_TOM106,LYC-106
LYC-107,CPSBB_TOM107,LYC-107
LYC-108,CPSBB_TOM108,LYC-108
LYC-109,CPSBB_TOM109,LYC-109
LYC-110,CPSBB_TOM110,LYC-110
LYC-111,CPSBB_TOM111,LYC-111
LYC-112,CPSBB_TOM112,LYC-112
LYC-113,CPSBB_TOM113,LYC-113
LYC-114,CPSBB_TOM114,LYC-114
LYC-115,CPSBB_TOM115,LYC-115
LYC-116,CPSBB_TOM116,LYC-116
LYC-117,CPSBB_TOM117,LYC-117
LYC-118,CPSBB_TOM118,LYC-118
LYC-119,CPSBB_TOM119,LYC-119
LYC-120,CPSBB_TOM120,LYC-120
LYC-121,CPSBB_TOM121,LYC-121
LYC-123,CPSBB_TOM123,LYC-123
LYC-124,CPSBB_TOM124,LYC-124
LYC-125,CPSBB_TOM125,LYC-125
LYC-126,CPSBB_TOM126,LYC-126
LYC-127,CPSBB_TOM127,LYC-127
LYC-128,CPSBB_TOM128,LYC-128
LYC-129,CPSBB_TOM129,LYC-129
LYC-131,CPSBB_TOM131,LYC-131
LYC-132,CPSBB_TOM132,LYC-132
LYC-133,CPSBB_TOM133,LYC-133
LYC-134,CPSBB_TOM134,LYC-134
LYC-135,CPSBB_TOM135,LYC-135
LYC-136,CPSBB_TOM136,LYC-136
LYC-137,CPSBB_TOM137,LYC-137
LYC-138,CPSBB_TOM138,LYC-138
LYC-139,CPSBB_TOM139,LYC-139
LYC-140,CPSBB_TOM140,LYC-140
LYC-141,CPSBB_TOM141,LYC-141
LYC-142,CPSBB_TOM142,LYC-142
LYC-143,CPSBB_TOM143,LYC-143
LYC-144,CPSBB_TOM144,LYC-144
LYC-145,CPSBB_TOM145,LYC-145
LYC-146,CPSBB_TOM146,LYC-146
LYC-147,CPSBB_TOM147,LYC-147
LYC-148,CPSBB_TOM148,LYC-148
LYC-149,CPSBB_TOM149,LYC-149
LYC-150,CPSBB_TOM150,LYC-150
LYC-151,CPSBB_TOM151,LYC-151
LYC-152,CPSBB_TOM152,LYC-152
153,CPSBB_TOM153,LYC-153
155,CPSBB_TOM155,LYC-155
156,CPSBB_TOM156,LYC-156
158,CPSBB_TOM158,LYC-158
159,CPSBB_TOM159,LYC-159
160,CPSBB_TOM160,LYC-160
161,CPSBB_TOM161,LYC-161
162,CPSBB_TOM162,LYC-162
163,CPSBB_TOM163,LYC-163
166,CPSBB_TOM166,LYC-166
167,CPSBB_TOM167,LYC-167
168,CPSBB_TOM168,LYC-168
169,CPSBB_TOM169,LYC-169
170,CPSBB_TOM170,LYC-170
171,CPSBB_TOM171,LYC-171
172,CPSBB_TOM172,LYC-172
175,CPSBB_TOM175,LYC-175
176,CPSBB_TOM176,LYC-176
177,CPSBB_TOM177,LYC-177
178,CPSBB_TOM178,LYC-178
179,CPSBB_TOM179,LYC-179
180,CPSBB_TOM180,LYC-180
181,CPSBB_TOM181,LYC-181
182,CPSBB_TOM182,LYC-182
183,CPSBB_TOM183,LYC-183
184,CPSBB_TOM184,LYC-184
185,CPSBB_TOM185,LYC-185
186,CPSBB_TOM186,LYC-186
188,CPSBB_TOM188,LYC-188
189,CPSBB_TOM189,LYC-189
191,CPSBB_TOM191,LYC-191
192,CPSBB_TOM192,LYC-192
193,CPSBB_TOM193,LYC-193
