"Trait","Pearson","Spearman","Top30%","Top15%"
"Perimeter","0.116199677666067","0.107843137254902","0.3","0.6"
"Area","0.313355385816457","0.0518207282913165","0.3","0.6"
"Width.Mid.height","0.0909359568283066","0.109686911436049","0.3","0.4"
"Maximum.Width","0.084247745694352","0.10574970261944","0.3","0.4"
"Height.Mid.width","0.127902175682723","0.0620535095035849","0.4","0.4"
"Maximum.Height","0.124277510916442","0.0960918905631134","0.3","0.4"
"Curved.Height","0.103565019792186","0.133613445378151","0.4","0.4"
"Fruit.Shape.Index.External.I","-0.150791440525587","-0.295518207282913","0.2","0.4"
"Fruit.Shape.Index.External.II","0.0994230281969115","0.0591036414565826","0.6","0.4"
"Curved.Fruit.Shape.Index","-0.00729630713657686","-0.0638655462184874","0.5","0.4"
"Proximal.Fruit.Blockiness","0.0656256579955292","0.551859375259063","0.6","0.2"
"Distal.Fruit.Blockiness","0.0435558226985718","0.199607790163902","0.3","0"
"Fruit.Shape.Triangle","-0.0314213118331935","0.142577030812325","0.4","0.4"
"Ellipsoid","0.421309642584613","0.401933330431201","0.3","0.2"
"Circular","0.408962677201956","0.268506198571478","0.3","0"
"Rectangular","0.044510359273677","0.406471042386244","0.4","0.2"
"Shoulder.Height","0.268013138692314","0.0694921233521014","0.2","0"
"Proximal.Angle.Micro","0.132663703821168","0.256022408963585","0.4","0.2"
"Proximal.Angle.Macro","-0.23411663052779","-0.176750700280112","0.1","0"
"Proximal.Indentation.Area","0.381863114837042","0.239372505664401","0.2","0.4"
"Distal.Angle.Micro","0.0672915263325336","0.180392156862745","0.3","0.2"
"Distal.Angle.Macro","-0.0127836503918584","0.313165266106443","0.2","0.2"
"Distal.Indentation.Area","0.0910228186975658","0.195978350687788","0.4","0.2"
"Distal.End.Protrusion","0.0938788352118821","0.199663653698468","0.5","0.4"
"Obovoid","-0.00919825235926157","0.0466861354403238","0.3","0.2"
"Ovoid","0.366105873151753","0.521044892376577","0.5","0.4"
"V..Asymmetry","0.0804114497311392","0.391368364870362","0.5","0.2"
"H..Asymmetry.ob","0.064011918748573","-0.00729526303490862","0.3","0.2"
"H..Asymmetry.ov","0.482232413968694","0.508683473389356","0.4","0.4"
"Width.Widest.Pos","0.127197615431965","0.295518207282913","0.6","0.2"
"Eccentricity","0.113295969659422","0.337021995181998","0.4","0.6"
"Proximal.Eccentricity","0.0574790482075994","-0.208829763959996","0.1","0"
"Distal.Eccentricity","-0.0573122846639117","0.139564228933362","0.4","0.2"
"Fruit.Shape.Index.Internal","0.100398445405517","0.065266106442577","0.6","0.4"
"Eccentricity.Area.Index","-0.0720266004518238","0.0824987746262914","0.3","0.2"
"Average.Red","-0.431053463520512","-0.642296918767507","0.1","0"
"Average.Green","0.460772814292451","0.298319327731092","0.2","0"
"Average.Blue","0.380200976689467","0.26078431372549","0.2","0.2"
"Average.Luminosity","-0.0170957337077087","-0.174789915966387","0.3","0.2"
"Average.L.Value","0.276822930820245","0.228291316526611","0.2","0.2"
"Average.a.Value","-0.366902943450494","-0.357910095141077","0.3","0.2"
"Average.b.Value","-0.202025530984416","-0.158823529411765","0.2","0.2"
"Average.Hue","-0.274373715632223","-0.129131652661064","0.3","0"
"Average.Chroma","-0.515751230339166","-0.32296918767507","0.2","0"
"Lobedness.Degree","0.416453518712013","0.227731092436975","0.1","0"
"Pericarp.Area","-0.163026609315319","-0.0665405912287652","0.2","0"
"Pericarp.Thickness","-0.152593896879821","-0.0476323918949489","0.3","0.2"
"Average.fruit.weight","0.575292200152358","0.383346065699007","0.5","0.6"
"Productivity.per.plant","0.0205697718964144","-0.12003641741041","0.2","0.2"
"Fruit.number.per.plant","0.415603199569994","0.383020468943501","0.4","0.4"
"Brix..","0.156686023770618","0.256886393878794","0.4","0"
"BNTC","NaN","NaN","NaN","NaN"
"FRAP..umol.Fe2..g.FW","NaN","NaN","NaN","NaN"
"TP..mg.GAE.100g.FW","NaN","NaN","NaN","NaN"
