"Trait","Pearson","Spearman","Top30%","Top15%"
"Perimeter","0.435755301566215","0.468","0.646666666666667","0.566666666666667"
"Area","0.321828215247569","0.251333333333333","0.52","0.426666666666667"
"Width.Mid.height","0.427874514276859","0.458246849863235","0.656666666666667","0.4"
"Maximum.Width","0.425813098245431","0.45661909520627","0.65","0.413333333333333"
"Height.Mid.width","0.273859266182068","0.200255398277078","0.496666666666667","0.44"
"Maximum.Height","0.345459385591503","0.310363696929192","0.566666666666667","0.546666666666667"
"Curved.Height","0.359814106515101","0.346","0.583333333333333","0.56"
"Fruit.Shape.Index.External.I","0.455837804863792","0.302","0.633333333333333","0.486666666666667"
"Fruit.Shape.Index.External.II","0.458193635380092","0.364666666666667","0.64","0.48"
"Curved.Fruit.Shape.Index","0.362512837046872","0.292","0.556666666666667","0.413333333333333"
"Proximal.Fruit.Blockiness","0.32048478783886","0.375813877328482","0.62","0.453333333333333"
"Distal.Fruit.Blockiness","-0.142673046963174","-0.0574372467416739","0.366666666666667","0.126666666666667"
"Fruit.Shape.Triangle","-0.280790655972393","-0.242","0.27","0.0933333333333333"
"Ellipsoid","0.26272779321254","0.243922175980597","0.506666666666667","0.28"
"Circular","0.297028613141286","0.238138551211121","0.473333333333333","0.213333333333333"
"Rectangular","0.059798668489595","0.16598268109861","0.51","0.346666666666667"
"Shoulder.Height","0.184514542253986","0.188743344594312","0.49","0.22"
"Proximal.Angle.Micro","-0.186475364913121","-0.0826666666666667","0.396666666666667","0.206666666666667"
"Proximal.Angle.Macro","0.279325890989883","0.238666666666667","0.51","0.266666666666667"
"Proximal.Indentation.Area","0.280447777982994","0.293281376629163","0.55","0.286666666666667"
"Distal.Angle.Micro","0.163874005890153","0.0993333333333333","0.436666666666667","0.233333333333333"
"Distal.Angle.Macro","0.178527835544041","0.198","0.466666666666667","0.173333333333333"
"Distal.Indentation.Area","0.130540419290533","0.0989831527923924","0.47","0.233333333333333"
"Distal.End.Protrusion","0.071724603204822","0.191818122160622","0.52","0.273333333333333"
"Obovoid","0.00173816735016433","0.0135884218592218","0.413333333333333","0.233333333333333"
"Ovoid","0.30163110790243","0.258173189013901","0.453333333333333","0.146666666666667"
"V..Asymmetry","-0.0238423299559608","-0.00422953096184501","0.386666666666667","0.226666666666667"
"H..Asymmetry.ob","-0.037853428631944","0.0147481858056803","0.413333333333333","0.16"
"H..Asymmetry.ov","0.324619020996239","0.255333333333333","0.516666666666667","0.293333333333333"
"Width.Widest.Pos","0.136178799723113","0.208","0.506666666666667","0.246666666666667"
"Eccentricity","0.130332015798637","0.116753261173617","0.52","0.24"
"Proximal.Eccentricity","0.106247801902929","0.126365234374007","0.496666666666667","0.473333333333333"
"Distal.Eccentricity","-0.203839803500982","-0.171099276754021","0.313333333333333","0.0666666666666667"
"Fruit.Shape.Index.Internal","0.461359593895206","0.378666666666667","0.636666666666667","0.493333333333333"
"Eccentricity.Area.Index","-0.00289494749305197","0.00582681098609897","0.443333333333333","0.18"
"Average.Red","0.522494530338381","0.460666666666667","0.64","0.486666666666667"
"Average.Green","0.767754478354547","0.586666666666667","0.643333333333333","0.273333333333333"
"Average.Blue","0.761565201096021","0.673333333333333","0.73","0.42"
"Average.Luminosity","0.157569507222231","0.134","0.493333333333333","0.12"
"Average.L.Value","0.641528182433065","0.574666666666667","0.663333333333333","0.246666666666667"
"Average.a.Value","0.921093291762191","0.79177080560407","0.743333333333333","0.733333333333333"
"Average.b.Value","0.423766528727387","0.449333333333333","0.62","0.493333333333333"
"Average.Hue","0.839102292893121","0.698","0.74","0.653333333333333"
"Average.Chroma","0.630839248480769","0.465333333333333","0.623333333333333","0.62"
"Lobedness.Degree","0.568958394742045","0.425333333333333","0.536666666666667","0.226666666666667"
"Pericarp.Area","0.175526372974168","0.159402608938894","0.51","0.306666666666667"
"Pericarp.Thickness","0.256708607472533","0.217112572859036","0.47","0.26"
"Average.fruit.weight","0.384715341728922","0.263333333333333","0.466666666666667","0.366666666666667"
"Productivity.per.plant","0.084203851065257","0.0356753261173617","0.396666666666667","0.346666666666667"
"Fruit.number.per.plant","0.518667524410335","0.499017429938242","0.646666666666667","0.426666666666667"
"Brix..","0.210900170193182","0.212962274765175","0.543333333333333","0.28"
"BNTC","NaN","NaN","NaN","NaN"
"FRAP..umol.Fe2..g.FW","NaN","NaN","NaN","NaN"
"TP..mg.GAE.100g.FW","NaN","NaN","NaN","NaN"
