"Basic measurements",0.137211924628076,0.298032409544232,0.34315398785024,0.406854718495289,0.408012174405844,0.362706320153796,0.370057698232107,0.0793733662049899,0.0913804044253641,0.0784114142186712,0.0695222068053832,0.0607050631818782,0.021853025819946,0.0619917379520794
"Fruit shape",-0.0195549064884174,0.343663703998598,0.389992547600696,0.437031229224985,0.466697157371255,0.464509049945204,0.425514759096919,0.125556859761115,0.100200769827187,0.0973377778077755,0.103317082545361,0.0891385255160225,0.0776231040445955,0.0545739784224634
"Blockiness",0.0259200562869692,-0.0543503707734138,-0.0513941924252484,-0.0282569754752676,-0.0244896303206736,-0.0180690474490885,-0.0343263050322357,0.0508703625004551,0.0481181710062992,0.076939602101279,0.12561326702471,0.153814530722179,0.204222328170733,0.314940156534367
"Homogeneity",0.291594226353415,0.174925397986255,0.189707787397221,0.208342785404179,0.204779910944928,0.216448664047373,0.20651835828114,0.21406994164723,0.190576459940572,0.201637899937244,0.204573082766374,0.20231062351542,0.170716186126067,0.128215198363305
"Proximal fruit end shape",0.137105831705683,0.0597366286574285,0.0618768134403498,0.0651221434300375,0.0772725735266512,0.0982608073853915,0.139453211578435,0.267624550216132,0.143489677896857,0.169660393211819,0.18869166606195,0.190924050340016,0.20985119030469,0.221888706861053
"Distal fruit end shape",0.0598523824625308,0.0596210144774866,0.0588893349522429,0.0465998416739504,0.0301644070015401,0.0540555846904081,0.136166715982387,0.0498689272397443,0.0683941061760358,0.0876747717655561,0.096798639068917,0.102431479283674,0.0760261317662951,0.0474222151818143
"Asymmetry",0.185126836445477,0.0899186717256142,0.0507421491910928,0.0328340236672314,0.0520758753756536,0.0714734080975734,0.117078556230674,0.193792314714593,0.171529438200111,0.180338783152746,0.185185899720766,0.172831618861618,0.166600862064685,0.164111870106545
"Internal eccentricity",0.0283669156313606,0.0734476176092026,0.0776137953102887,0.0607394976443506,0.0702215803262961,0.0529417884382429,0.0982409321205476,0.0875625279409307,0.19363022762568,0.218427840890226,0.249642094857524,0.262778500943524,0.285761444547241,0.242090038582356
"Colorimetric descriptor",-0.0766006550924841,0.518582517150789,0.559395895052159,0.592800138361086,0.594098212936448,0.6138833172123,0.629523695700857,0.368018013465636,0.325041350414642,0.314702315707683,0.300859085154924,0.292357102599022,0.265777403001458,0.235094814535273
"Latitudinal fruit feature",0.033611004172291,0.233149855137628,0.284659712558935,0.319944118877505,0.31452728743065,0.36917772539865,0.333731125062915,0.331592375630854,0.335651777360342,0.312270367326655,0.291015354709391,0.299974461345932,0.265382715796486,0.207717452564921
"All",0.0703450461923292,0.217655658960708,0.235130319172006,0.254084198286215,0.25916647637331,0.265168260231778,0.283969929135931,0.229516049770771,0.260786357673852,0.277071342390906,0.293598948139687,0.29224066335708,0.286581363858663,0.269411149579007
