"Trait","Mean-Pearson","Spearman","Top30","Top15","SD-Pearson","Spearman","Top30","Top15"
"Perimeter","0.763842603086028","0.746032099157794","0.671111111111111","0.55","0.0705070299863997","0.0997607510657654","0.112135471966927","0.192126915547646"
"Area","0.70003395257605","0.708821865564913","0.656296296296296","0.538333333333333","0.0691710063163596","0.104681911601187","0.112479763449374","0.195881818454125"
"Width.Mid.height","0.687823909777671","0.703898445608682","0.634814814814815","0.398333333333333","0.0757008621309198","0.104271440681077","0.128302212487425","0.187925505256011"
"Maximum.Width","0.698834402716542","0.710709398814721","0.641481481481481","0.426666666666667","0.0745704647178509","0.103150233588152","0.127531401202195","0.188927267233321"
"Height.Mid.width","0.595939740347165","0.5700538250402","0.551111111111111","0.406666666666667","0.0904868788361714","0.137987921986404","0.112135471966927","0.19547452731172"
"Maximum.Height","0.680583285251671","0.650069019256533","0.62","0.528333333333333","0.0839724785098106","0.120834488994279","0.111683833421741","0.209939002539957"
"Curved.Height","0.687542171342267","0.653296043222628","0.620740740740741","0.555","0.0834743296747936","0.121132785203471","0.11382710837125","0.214550411779215"
"Fruit.Shape.Index.External.I","0.271834073410083","0.414374384236453","0.481481481481481","0.206666666666667","0.141192272137624","0.136877899775031","0.129158263767581","0.184887655591596"
"Fruit.Shape.Index.External.II","0.286693452283647","0.435707081942899","0.511851851851852","0.21","0.141901519671919","0.133874394989173","0.131843947624673","0.183368920686755"
"Curved.Fruit.Shape.Index","0.261116665403948","0.419778801843318","0.497037037037037","0.203333333333333","0.148068038696339","0.137153661401482","0.125929581324612","0.172298580652467"
"Proximal.Fruit.Blockiness","0.219000834365536","0.354093437967954","0.446666666666667","0.243333333333333","0.128421432267149","0.146072710225955","0.121763766292243","0.187590395808401"
"Distal.Fruit.Blockiness","0.0230143750912126","0.0671056729699666","0.354814814814815","0.245","0.136345969003798","0.183590639851818","0.132345750120865","0.190966281854596"
"Fruit.Shape.Triangle","0.0468289734355203","0.00171110757985063","0.288148148148148","0.178333333333333","0.116284250772244","0.16220589493085","0.123538211612867","0.172176811987357"
"Ellipsoid","0.489366671062755","0.544693200265227","0.578518518518519","0.301666666666667","0.105407389273827","0.132003032101358","0.120962710129898","0.199194406631084"
"Circular","0.36406491352336","0.41610752688172","0.522962962962963","0.316666666666667","0.140579283996199","0.162897262170589","0.127791016184605","0.182420955270222"
"Rectangular","0.228287130530595","0.320040150431697","0.451111111111111","0.3","0.103216380650751","0.152281417758371","0.14577202113004","0.194297910056565"
"Shoulder.Height","0.479081172551582","0.520769301454971","0.552592592592593","0.34","0.0848427302041102","0.128055815202785","0.127401395322603","0.194901455051542"
"Proximal.Angle.Micro","0.436357769427971","0.490059634314482","0.434074074074074","0.216666666666667","0.121931029237363","0.112811283358393","0.130231548804541","0.189193507936161"
