"RF","SVC"
1.25027823063727e-38,1.16602160332752e-16
3.65733027097282e-47,2.5665670521047e-28
1.54189228100072e-50,3.19658891097209e-35
1.95763273582392e-58,5.11935792391728e-46
3.96766557433978e-52,2.08727003253658e-28
1.22468781257535e-50,1.64812531337165e-29
2.37685032027641e-49,6.09804933580454e-29
4.58995098547244e-37,8.29860023342156e-18
7.30152363106457e-51,7.32281497352708e-30
