Genotype,Rep, Perimeter,  Area,  Width Mid-height,  Maximum Width,  Height Mid-width,  Maximum Height,  Curved Height,  Fruit Shape Index External I,  Fruit Shape Index External II,  Curved Fruit Shape Index,  Proximal Fruit Blockiness,  Distal Fruit Blockiness,  Fruit Shape Triangle,  Ellipsoid,  Circular,  Rectangular,  Shoulder Height,  Proximal Angle Micro,  Proximal Angle Macro,  Proximal Indentation Area,  Distal Angle Micro,  Distal Angle Macro,  Distal Indentation Area,  Distal End Protrusion,  Obovoid,  Ovoid,  V. Asymmetry,  H. Asymmetry.ob,  H. Asymmetry.ov,  Width Widest Pos,  Eccentricity,  Proximal Eccentricity,  Distal Eccentricity,  Fruit Shape Index Internal,  Eccentricity Area Index,  Average Red,  Average Green,  Average Blue,  Average Luminosity,  Average L Value,  Average a Value,  Average b Value,  Average Hue,  Average Chroma, Lobedness Degree,  Pericarp Area,  Pericarp Thickness
CAPS-1,2,45.34,140.64,12.57,12.85,12.55,13.69,14.89,1.07,1,1.18,0.82,0.57,1.45,0.06,0.06,0.53,0.05,219.68,200.78,0.19,42.05,138.85,0.01,0.02,0,0.23,0.03,0,0.07,0.37,0.73,0.89,0.88,1,0.45,171.69,161.18,111.5,133.43,70.75,-5.74,33.38,99.76,33.88,1.56,0.55,0.26
CAPS-2,2,89.23,510.19,29.82,30.33,18.9,21.21,23.19,0.7,0.64,0.78,0.83,0.58,1.44,0.06,0.14,0.55,0.05,143.68,220.2,0.19,171.48,157.25,0,0.01,0,0.22,0.06,0,0.12,0.4,0.71,0.89,0.89,0.64,0.45,148.71,153.92,101.67,121.56,65.99,-13.12,32.65,111.86,35.19,1.37,0.59,0.23
CAPS-3,2,68.2,253.85,11.22,13.38,24.72,25.91,27.06,1.94,2.21,2.32,1.04,0.49,2.23,0.08,0.23,0.44,0.02,211.1,118.25,0.05,82.98,63.1,0,0,0,0.45,0.05,0,0.28,0.24,0.76,0.88,0.88,2.24,0.46,176.06,174.61,116.76,138.93,75.14,-11.15,36.7,107.19,38.43,4.99,0.55,0.25
CAPS-4,2,96.96,584.81,30.69,32.07,20.81,23.98,26.14,0.75,0.68,0.86,0.85,0.52,1.67,0.07,0.13,0.51,0.06,207.5,227.23,0.19,137.83,148.85,0.01,0.01,0,0.27,0.07,0,0.17,0.39,0.69,0.89,0.89,0.68,0.46,173.93,168.85,122.6,139.96,73.22,-7.84,30.32,104.51,31.32,2.42,0.63,0.2
CAPS-5,2,143.9,882.86,17.42,21.57,51.84,58.08,58.49,2.7,2.98,3.37,1.14,0.46,2.54,0.1,0.32,0.43,0.02,225.8,93.13,0.13,44.45,38.83,0,0.27,0,0.47,0.14,0,0.73,0.2,0.71,0.89,0.89,2.98,0.49,132,140.94,90.94,109.71,60.29,-14.31,30.9,114.86,34.05,1.3,0.56,0.24
CAPS-6,2,130.5,717.74,15.3,22.63,46.19,50.25,51.2,2.24,3.04,3.25,1.41,0.44,3.22,0.12,0.3,0.35,0.03,239.8,221.8,0.13,46.98,37.33,0,0,0,0.62,0.12,0,0.89,0.16,0.74,0.88,0.89,3.05,0.51,162.42,165.46,113.48,132.25,71.04,-12.25,32.66,110.56,34.89,1.59,0.61,0.22
CAPS-7,2,142.96,1041.38,22.46,26.08,50.42,54.25,54.84,2.08,2.25,2.46,1.04,0.48,2.19,0.09,0.25,0.47,0.04,248.58,181.23,0.16,83.23,64.95,0,0.06,0,0.42,0.09,0,0.58,0.24,0.74,0.89,0.89,2.25,0.46,168.27,167.49,126.13,139.35,72.4,-8.98,26.68,108.61,28.15,2.16,0.63,0.2
CAPS-8,2,171.12,1609.43,30.65,31.86,66.57,68.66,69.8,2.17,2.18,2.27,0.67,0.41,1.62,0.06,0.23,0.43,0,144.45,88.85,0,72.25,64.93,0,0.07,0,0.25,0.08,0,0.36,0.38,0.78,0.89,0.89,2.19,0.37,122,130.23,79.67,99.25,56.06,-13.9,31.45,113.87,34.39,6.47,0.55,0.26
CAPS-9,2,188.5,1421.27,22.31,25.44,73.85,77.85,78.34,3.07,3.32,3.54,0.94,0.42,2.26,0.08,0.34,0.44,0.03,161.4,92.13,0.08,41.38,27.5,0,0.25,0,0.36,0.14,0,0.8,0.34,0.76,0.9,0.89,3.33,0.42,126.99,135.73,85.58,104.4,58.2,-14.1,30.93,114.53,34,1.55,0.58,0.24
CAPS-10,2,450.98,2457.58,14.18,45.95,162.52,182.84,199.04,4.16,11.51,14.45,1.29,0.56,2.73,0.22,0.45,0.21,0.04,120.03,90.7,0.01,91.28,10.53,0,0.15,0,0.7,1.2,0,3.14,0.05,0.71,1.07,1.21,11.64,0.54,114.37,117.73,84.55,95.36,51.56,-8.78,21.09,112.6,22.84,5.21,0.55,0.25
