"trait","G variance","E variance","residual","h2"
"X1","8079.19996627029","8.75231185045902","469.307992603822","0.944133953002483"
"X2","2901935.25394069","3689.83417751219","191005.053302419","0.937126851258183"
"X3","385.179047806363","0","14.2515537841254","0.964320325665141"
"X4","320.366074708887","0","18.2205068366899","0.946186565476053"
"X5","1662.27277852017","1.70682636580381","81.5808363444435","0.952286004687675"
"X6","1853.47850548604","1.84169377900984","80.3539410789431","0.957536429740521"
"X7","1922.83787687215","1.48616543842543","83.9514811747636","0.957457208627971"
"X8","1.30409164925033","0.00144842483463758","0.101999562107662","0.92650438802411"
"X9","3.9052750850574","6.17272219379218e-05","0.156303697595344","0.961501904356842"
"X10","5.84374388820045","0","0.215521334619679","0.96443111058945"
"X11","0.0305823746111711","2.83611922526832e-05","0.00773109959222633","0.797624169411584"
"X12","0.0111196176961434","0","0.00593817053153762","0.651879220665826"
"X13","0.317404819229905","1.55143651608912e-11","0.121988497529278","0.722370612188116"
"X14","0.000649961544674663","2.1052448953956e-12","0.000150234636006369","0.812252743335393"
"X15","0.00866501792354323","0","0.000389939853288833","0.956936314569403"
"X16","0.00556632317167331","1.33542134559755e-06","0.00096473747854746","0.852110482997488"
"X17","0.00124090639059907","2.26065857708844e-06","0.000305166323755765","0.801446518103069"
"X18","2968.82217398138","0","1253.00534917736","0.703207830660057"
"X19","4703.19965728487","0.882726788266907","1399.59227104319","0.770552154732309"
"X20","0.0139654438723713","1.63513719700252e-05","0.00366782133598723","0.791260467830023"
"X21","2870.52875955451","0","839.81665427302","0.773655398458798"
"X22","2210.31519307313","1.61143741236869","362.877455779625","0.858440144966252"
"X23","0.00140368839637462","0","0.000658275629151713","0.680753097046064"
"X24","0.00231564634487458","4.05471981444023e-05","0.00503298804275352","0.313383331833831"
"X25","0.000609839614862656","0","0.000502015968640347","0.548488152518244"
"X26","0.0173181878887185","5.9779419007717e-05","0.0037973917793081","0.817846243718362"
"X27","0.0409041687128103","0","0.0130177455443081","0.758581539182104"
"X28","0.00196650558035831","0","0.00529366294647055","0.270862249697288"
"X29","0.536674098719804","0","0.0733077224204261","0.87981982432953"
"X30","0.00968951417871657","0","0.00263745215106645","0.78604207389663"
"X31","0.00570329546380945","3.16684731984509e-12","0.000874109965139306","0.867104137440255"
"X32","0.000312238065441412","5.76664172039766e-09","0.000632579026231062","0.330472598851519"
"X33","0","0.00150130924858265","1.45865681397113","0"
"X34","3.96010173222705","5.52692523745623e-05","0.158292137629866","0.96155169056756"
"X35","0.00272072766691837","0","0.000586223773514623","0.822729851322562"
"X36","286.231944155478","0","43.8892525938566","0.867051092065493"
"X37","1427.37811297099","0.126157797717871","31.4128530866461","0.978381903695106"
"X38","501.917025383554","0.064589320135282","22.0889412650705","0.957727961754588"
"X39","270.988656134799","0","25.5685457748433","0.913782077757013"
"X40","142.811713788349","0","6.03045319591943","0.959484242146536"
"X41","409.486429726483","0.01855946336804","2.77949939985414","0.993213281264125"
"X42","17.5658805525044","0","2.69780257033834","0.866865142235807"
"X43","1240.25737005208","0","5.37779296388134","0.995682690145917"
"X44","36.279093288069","0.00595882189384513","3.92326203008145","0.9022783984852"
"X45","1.55549674520362","0.0087985929139264","0.556363362448903","0.733496976570596"
"X46","0.00546019922285367","4.70007789687116e-06","0.00449055306196224","0.548463196238509"
"X47","0.0013415036638218","0","0.000334883138644993","0.800235161627248"
