Genotype,Rep, Perimeter,  Area,  Width Mid-height,  Maximum Width,  Height Mid-width,  Maximum Height,  Curved Height,  Fruit Shape Index External I,  Fruit Shape Index External II,  Curved Fruit Shape Index,  Proximal Fruit Blockiness,  Distal Fruit Blockiness,  Fruit Shape Triangle,  Ellipsoid,  Circular,  Rectangular,  Shoulder Height,  Proximal Angle Micro,  Proximal Angle Macro,  Proximal Indentation Area,  Distal Angle Micro,  Distal Angle Macro,  Distal Indentation Area,  Distal End Protrusion,  Obovoid,  Ovoid,  V. Asymmetry,  H. Asymmetry.ob,  H. Asymmetry.ov,  Width Widest Pos,  Eccentricity,  Proximal Eccentricity,  Distal Eccentricity,  Fruit Shape Index Internal,  Eccentricity Area Index,  Average Red,  Average Green,  Average Blue,  Average Luminosity,  Average L Value,  Average a Value,  Average b Value,  Average Hue,  Average Chroma, Lobedness Degree,  Pericarp Area,  Pericarp Thickness
CAPS-86,3,260.52,3487.72,45.28,49.28,91.10,97.64,97.75,1.99,2.02,2.18,0.95,0.40,2.48,0.08,0.22,0.44,0.04,254.60,104.15,0.15,82.73,58.53,0.00,0.00,0.00,0.35,0.17,0.00,0.96,0.35,0.75,0.88,0.89,2.02,0.41,128.59,55.03,44.10,81.16,35.25,33.78,26.03,37.58,42.66,3.21,0.64,0.21
CAPS-87,3,348.61,6438.32,65.62,71.29,112.71,124.14,123.93,1.75,1.75,1.93,0.97,0.44,2.23,0.08,0.19,0.48,0.06,270.50,172.50,0.19,102.20,82.75,0.00,0.05,0.00,0.38,0.25,0.00,1.25,0.26,0.72,0.88,0.89,1.75,0.43,119.34,54.97,46.01,77.69,33.52,29.95,21.71,35.91,36.99,6.12,0.71,0.18
CAPS-88,3,346.10,6306.98,65.05,71.92,108.99,122.24,121.93,1.70,1.68,1.90,1.01,0.36,2.81,0.09,0.18,0.44,0.07,267.65,220.25,0.26,81.93,72.68,0.00,0.03,0.00,0.43,0.24,0.00,1.41,0.27,0.71,0.89,0.88,1.69,0.44,131.58,61.35,50.98,85.82,37.26,31.95,24.04,36.96,39.98,5.89,0.71,0.19
CAPS-89,3,310.70,4431.83,43.33,47.79,116.52,124.14,124.78,2.60,2.69,2.88,0.98,0.41,2.43,0.08,0.30,0.45,0.02,168.83,115.05,0.06,51.40,54.50,0.00,0.09,0.00,0.42,0.20,0.00,1.23,0.27,0.75,0.89,0.86,2.69,0.43,130.75,60.84,47.82,83.98,37.02,31.72,26.06,39.30,41.07,5.95,0.66,0.19
CAPS-90,3,283.98,4005.10,45.83,53.36,94.34,104.65,104.44,1.97,2.09,2.33,1.08,0.45,2.43,0.09,0.23,0.45,0.06,257.95,176.05,0.25,86.95,64.00,0.00,0.00,0.00,0.47,0.21,0.00,1.24,0.20,0.72,0.89,0.89,2.09,0.46,137.96,67.05,53.98,90.26,39.81,31.58,26.06,39.57,40.96,4.48,0.68,0.18
CAPS-91,3,317.25,4903.77,50.91,55.14,106.09,117.39,118.00,2.13,2.09,2.33,1.00,0.48,2.11,0.08,0.23,0.51,0.06,272.90,214.75,0.19,90.30,67.33,0.00,0.00,0.00,0.41,0.20,0.00,1.09,0.26,0.72,0.89,0.88,2.10,0.45,133.40,87.78,49.81,86.22,44.12,16.29,34.33,64.78,38.13,4.34,0.69,0.20
CAPS-92,3,251.94,3033.70,54.19,57.32,54.64,71.80,77.92,1.27,1.03,1.47,0.64,0.68,0.94,0.11,0.14,0.53,0.09,226.30,273.13,0.33,176.27,217.27,0.07,0.01,0.00,0.23,0.31,0.00,0.50,0.34,0.61,0.89,0.89,1.03,0.51,133.91,135.48,97.50,110.25,58.81,-9.00,24.48,110.21,26.08,2.81,0.88,0.19
CAPS-93,3,301.18,4351.25,60.64,66.42,68.16,85.17,88.54,1.28,1.14,1.48,1.02,0.63,1.80,0.11,0.14,0.62,0.10,238.25,256.33,0.37,249.33,111.08,0.06,0.01,-0.05,0.19,0.32,0.13,0.45,0.34,0.64,0.88,0.89,1.14,0.53,111.29,114.53,78.25,91.04,49.77,-9.17,23.23,111.55,24.97,5.27,0.79,0.17
CAPS-94,3,230.61,2881.54,62.72,67.82,43.33,57.30,60.91,0.85,0.70,0.97,0.99,0.58,1.71,0.11,0.15,0.51,0.08,215.93,252.63,0.29,170.20,184.58,0.08,0.01,0.00,0.38,0.26,0.00,0.57,0.28,0.60,0.89,0.88,0.70,0.53,144.81,140.37,107.02,118.64,61.49,-5.61,22.48,104.05,23.17,2.62,0.79,0.15
CAPS-95,3,254.34,3466.32,64.37,67.92,53.95,68.28,73.39,1.01,0.84,1.14,0.80,0.52,1.60,0.11,0.12,0.53,0.10,257.70,267.35,0.30,83.33,115.43,0.02,0.08,0.00,0.25,0.28,0.00,0.64,0.31,0.63,0.89,0.89,0.84,0.50,138.86,132.49,98.14,111.59,58.39,-4.69,23.43,101.28,23.90,3.81,0.91,0.19
CAPS-96,3,217.43,2350.29,78.46,78.91,25.96,38.41,44.24,0.49,0.33,0.56,0.66,0.60,1.06,0.10,0.28,0.57,0.04,188.33,222.30,0.15,231.50,196.30,0.07,0.01,0.00,0.16,0.35,0.00,0.19,0.46,0.54,0.89,0.88,0.33,0.56,143.99,78.00,62.43,97.01,43.59,28.33,26.10,42.67,38.52,2.77,0.75,0.18
CAPS-97,3,285.46,4020.86,88.48,90.85,37.48,61.36,64.50,0.67,0.43,0.73,0.58,0.78,0.78,0.11,0.22,0.51,0.10,242.67,178.63,0.31,153.47,222.03,0.19,0.01,0.18,0.04,0.61,0.26,0.09,0.56,0.49,0.89,0.86,0.43,0.59,130.10,68.39,52.33,85.76,38.71,26.87,25.36,43.31,36.96,4.64,0.59,0.22
CAPS-97A,3,189.25,1893.59,61.67,64.77,27.49,38.75,40.89,0.60,0.44,0.67,0.75,0.53,1.43,0.09,0.23,0.50,0.12,220.30,251.23,0.37,148.97,144.37,0.08,0.02,0.09,0.24,0.46,0.12,0.20,0.39,0.56,0.88,0.88,0.44,0.55,141.47,121.34,60.58,95.30,54.50,-0.51,41.58,91.47,41.69,4.21,1.18,0.13
CAPS-98,3,250.76,2963.70,86.89,88.29,29.55,46.21,49.23,0.53,0.34,0.57,0.62,0.57,1.10,0.10,0.28,0.50,0.13,214.30,198.10,0.27,154.68,196.83,0.14,0.02,0.10,0.10,0.67,0.16,0.15,0.50,0.51,0.89,0.88,0.34,0.57,150.40,89.28,67.28,102.39,47.38,24.65,28.36,49.34,37.68,3.76,0.77,0.16
CAPS-101,3,242.59,2955.88,84.12,84.75,29.36,45.40,48.97,0.54,0.36,0.60,0.69,0.72,0.95,0.10,0.26,0.59,0.16,218.05,251.65,0.47,213.98,201.55,0.07,0.01,0.03,0.14,0.35,0.08,0.13,0.45,0.52,0.89,0.89,0.36,0.58,146.43,81.04,65.07,99.42,44.67,27.84,25.98,43.25,38.24,2.82,0.72,0.14
CAPS-102,3,315.14,4687.80,49.70,60.85,98.75,117.52,117.40,1.95,2.03,2.45,0.93,0.26,3.80,0.10,0.23,0.38,0.05,246.17,243.37,0.24,29.00,49.77,0.00,0.16,0.00,0.49,0.38,0.00,1.60,0.23,0.68,0.88,0.90,2.04,0.46,128.60,59.36,47.75,82.93,36.33,31.47,24.93,38.34,40.16,3.57,0.68,0.17
CAPS-103,3,290.51,3815.94,96.63,96.99,25.46,54.04,62.90,0.56,0.26,0.65,0.67,0.71,0.94,0.13,0.30,0.56,0.19,240.30,286.50,0.45,161.50,233.25,0.13,0.01,0.02,0.12,0.48,0.11,0.16,0.46,0.37,0.89,0.89,0.26,0.67,131.45,73.30,57.77,88.97,40.01,25.24,23.71,43.21,34.67,4.67,0.92,0.14
CAPS-104,3,247.31,2820.13,86.57,86.80,22.90,43.35,47.23,0.50,0.27,0.55,0.67,0.77,0.88,0.12,0.31,0.60,0.22,221.30,275.00,0.64,161.08,203.40,0.12,0.01,0.08,0.08,0.35,0.10,0.14,0.46,0.42,0.89,0.88,0.26,0.65,144.99,73.54,57.82,95.34,42.51,31.04,27.64,41.72,41.57,2.59,0.74,0.13
CAPS-105,3,198.25,2119.21,64.29,65.05,31.19,41.57,45.62,0.64,0.49,0.72,0.81,0.66,1.28,0.08,0.21,0.58,0.12,221.50,251.23,0.36,228.17,119.23,0.01,0.04,0.05,0.17,0.18,0.06,0.20,0.43,0.60,0.89,0.89,0.49,0.52,140.67,74.15,58.18,93.51,41.97,28.67,26.36,42.78,39.01,#DIV/0!,#DIV/0!,#DIV/0!
CAPS-107,3,253.37,3201.60,83.23,84.65,30.35,51.56,56.61,0.61,0.36,0.69,0.72,0.62,1.38,0.11,0.25,0.54,0.15,211.60,279.40,0.38,218.05,197.70,0.11,0.01,0.08,0.15,0.39,0.16,0.24,0.46,0.47,0.89,0.88,0.36,0.61,127.74,65.33,53.63,85.15,37.48,28.02,22.76,39.01,36.12,2.22,0.77,0.12
CAPS-108,3,393.43,4125.97,31.18,47.46,144.31,159.00,164.59,3.41,4.63,5.55,0.95,0.54,1.92,0.13,0.40,0.34,0.02,44.25,40.73,0.07,56.78,43.90,0.00,0.02,0.00,0.38,0.68,0.00,2.33,0.27,0.73,0.91,0.92,4.63,0.45,108.15,112.15,69.26,85.71,48.81,-10.47,27.39,110.93,29.32,2.08,0.70,0.16
CAPS-109,3,240.85,1327.83,14.86,28.09,91.65,100.27,105.76,3.70,6.45,7.66,1.07,0.69,1.57,0.16,0.43,0.35,0.01,113.20,94.08,0.02,35.13,27.00,0.00,0.10,0.00,0.42,0.52,0.00,1.76,0.23,0.73,0.93,1.01,6.53,0.50,119.73,124.44,76.39,95.31,53.94,-11.74,30.42,111.04,32.62,2.70,0.66,0.18
CAPS-110,3,38.38,101.22,11.43,11.62,10.20,10.94,11.84,0.94,0.90,1.04,0.80,0.58,1.39,0.05,0.06,0.55,0.02,195.28,198.65,0.08,168.05,149.08,0.01,0.02,0.00,0.19,0.02,0.00,0.05,0.42,0.74,0.89,0.88,0.89,0.43,169.05,160.46,119.86,136.11,70.41,-5.33,27.43,101.16,28.00,0.96,0.62,0.21
CAPS-110A,3,75.73,345.15,15.54,16.45,25.02,26.52,27.19,1.62,1.61,1.76,0.91,0.58,1.57,0.07,0.17,0.52,0.03,209.85,193.23,0.11,109.53,99.70,0.01,0.02,0.00,0.32,0.03,0.00,0.18,0.32,0.75,0.89,0.88,1.61,0.44,154.95,155.21,109.22,125.86,67.22,-9.97,29.50,108.69,31.14,1.06,0.64,0.20
CAPS-111,3,147.50,1160.10,25.99,31.77,45.93,52.64,53.02,1.65,1.76,2.05,1.09,0.42,2.67,0.10,0.19,0.42,0.05,225.00,224.15,0.24,88.90,66.68,0.00,0.00,0.00,0.44,0.15,0.00,0.67,0.24,0.70,0.89,0.87,1.77,0.48,158.07,154.56,112.56,127.69,67.41,-7.63,27.59,105.53,28.63,1.59,0.62,0.21
CAPS-112,3,199.68,1890.87,30.29,31.64,78.76,81.77,82.59,2.59,2.60,2.76,0.59,0.50,1.20,0.05,0.29,0.39,0.04,204.18,122.55,0.01,72.50,55.93,0.00,0.00,0.00,0.17,0.16,0.00,0.46,0.44,0.77,0.89,0.89,2.61,0.37,108.20,109.56,67.74,85.18,47.96,-9.04,27.27,108.38,28.86,8.39,0.71,0.17
CAPS-113,3,256.80,1340.20,14.14,24.30,98.95,112.20,117.53,5.08,7.23,8.58,0.94,0.59,1.68,0.13,0.44,0.31,0.04,41.70,23.13,0.00,24.05,17.73,0.00,0.31,0.00,0.36,0.40,0.00,1.80,0.32,0.71,0.98,0.97,7.28,0.49,128.78,135.59,84.65,104.13,58.38,-13.36,31.78,112.91,34.51,2.53,0.55,0.25
CAPS-114,3,108.53,727.51,28.09,30.50,29.27,32.15,33.58,1.08,1.09,1.24,0.95,0.50,2.15,0.08,0.12,0.50,0.03,191.85,212.73,0.13,131.63,124.80,0.01,0.03,0.00,0.30,0.10,0.03,0.27,0.30,0.72,0.89,0.89,1.10,0.45,141.37,134.48,92.65,110.20,59.35,-5.63,28.23,101.61,28.81,2.49,0.68,0.17
CAPS-115,3,141.85,1254.67,40.56,42.55,32.74,38.78,38.96,0.91,0.81,0.96,0.88,0.52,1.71,0.08,0.09,0.51,0.10,224.65,245.15,0.32,85.08,138.90,0.02,0.01,0.00,0.30,0.11,0.00,0.31,0.34,0.67,0.89,0.88,0.81,0.47,131.81,135.13,87.44,106.55,58.51,-11.29,30.39,110.27,32.49,1.09,0.61,0.22
CAPS-116,3,121.88,782.60,20.07,26.59,39.98,43.24,43.72,1.62,2.00,2.15,1.25,0.40,3.11,0.11,0.20,0.41,0.04,220.50,212.90,0.19,80.10,58.30,0.00,0.00,0.00,0.57,0.09,0.00,0.65,0.20,0.74,0.89,0.88,2.00,0.49,137.30,138.18,93.82,110.55,60.20,-9.74,28.61,108.81,30.23,1.02,0.65,0.19
CAPS-117,3,344.94,2941.68,23.26,51.01,117.77,130.83,148.58,2.92,5.05,6.63,1.21,0.71,1.88,0.16,0.39,0.28,0.02,187.03,50.28,0.08,15.78,28.25,0.00,0.22,0.00,0.47,1.09,0.00,2.28,0.18,0.72,0.91,1.02,5.08,0.53,128.38,126.99,83.82,100.44,55.78,-8.22,28.23,106.37,29.42,1.38,0.62,0.21
CAPS-117A,3,460.47,5023.99,28.24,50.76,158.83,189.17,196.26,3.79,5.65,7.24,1.31,0.64,2.08,0.16,0.42,0.36,0.02,191.98,57.35,0.14,38.68,23.58,0.00,0.00,0.00,0.48,0.87,0.00,2.47,0.13,0.67,0.90,1.01,5.66,0.55,134.06,133.04,98.28,109.79,58.44,-7.29,22.73,107.79,23.87,2.30,0.62,0.21
CAPS-118,3,320.29,2696.35,22.08,32.41,126.26,135.28,138.15,4.19,5.76,6.42,1.20,0.55,2.21,0.11,0.42,0.39,0.03,70.70,127.70,0.06,36.10,26.28,0.00,0.07,0.00,0.57,0.27,0.00,1.95,0.10,0.75,0.89,0.92,5.78,0.48,119.26,124.76,80.17,96.73,54.06,-11.65,28.12,112.49,30.44,2.16,0.66,0.18
CAPS-119,3,303.75,3253.37,28.72,35.31,113.16,125.37,126.48,3.57,3.98,4.49,1.18,0.55,2.14,0.10,0.38,0.46,0.03,222.25,104.73,0.12,55.53,32.00,0.00,0.00,0.00,0.55,0.26,0.00,1.36,0.16,0.72,0.89,0.90,4.00,0.50,139.59,141.57,94.68,112.39,61.42,-10.66,29.99,109.60,31.85,1.41,0.66,0.19
CAPS-120,3,363.81,3517.03,27.22,42.33,135.87,151.19,155.96,3.70,5.09,5.89,1.08,0.52,2.10,0.12,0.41,0.33,0.01,60.05,129.48,0.11,31.85,20.68,0.00,0.14,0.00,0.51,0.58,0.00,2.80,0.22,0.72,0.89,0.91,5.11,0.48,110.48,109.41,69.23,86.80,48.13,-7.67,26.70,105.67,28.17,1.95,0.69,0.17
CAPS-121,3,370.05,3479.40,26.25,34.10,135.91,154.33,155.39,4.52,5.25,5.96,1.05,0.59,1.80,0.11,0.41,0.47,0.01,49.58,34.38,0.10,47.18,23.90,0.00,0.26,0.00,0.48,0.40,0.00,1.39,0.17,0.71,0.89,0.94,5.30,0.49,125.37,128.96,81.52,100.10,55.92,-11.28,30.18,110.48,32.25,2.78,0.62,0.21
CAPS-121A,3,217.57,3052.45,55.10,58.67,60.09,66.27,65.72,1.13,1.09,1.19,0.90,0.58,1.56,0.08,0.09,0.52,0.06,201.25,228.40,0.31,152.15,133.35,0.00,0.00,0.00,0.30,0.14,0.00,0.49,0.32,0.73,0.89,0.89,1.09,0.44,145.97,144.99,99.18,117.12,62.99,-9.19,29.76,106.87,31.30,2.14,0.75,0.21
CAPS-122,3,291.40,4395.64,51.86,61.60,81.15,94.74,94.66,1.54,1.57,1.82,1.10,0.72,1.53,0.11,0.19,0.56,0.09,269.65,249.30,0.25,137.35,139.30,0.01,0.04,0.00,0.30,0.39,0.00,0.97,0.15,0.68,0.88,0.88,1.57,0.52,112.52,50.05,40.78,71.98,30.96,29.41,21.62,36.20,36.51,2.96,0.70,0.17
CAPS-123,3,318.26,3692.75,34.06,42.14,118.64,129.35,134.19,3.17,3.49,3.96,0.97,0.54,1.82,0.10,0.36,0.47,0.02,103.95,64.80,0.06,47.33,52.33,0.00,0.12,0.00,0.28,0.44,0.00,1.12,0.38,0.73,0.89,0.92,3.50,0.45,110.82,114.41,70.68,87.74,49.77,-10.47,28.03,110.38,29.93,2.24,0.69,0.16
CAPS-124,3,228.88,1364.03,15.60,24.87,90.30,98.72,100.57,4.06,5.84,6.63,1.06,0.53,2.00,0.13,0.42,0.33,0.03,183.55,191.08,0.07,27.43,30.50,0.00,0.12,0.00,0.45,0.28,0.00,1.58,0.23,0.73,0.91,0.96,5.87,0.49,132.47,137.66,88.79,107.34,59.53,-12.36,30.74,111.98,33.15,1.92,0.55,0.25
CAPS-125,3,226.64,1120.27,13.04,29.25,84.84,92.52,101.44,3.82,6.73,8.18,1.07,0.76,1.52,0.18,0.43,0.32,0.06,96.43,12.68,0.02,21.30,16.38,0.00,0.12,0.00,0.44,0.69,0.00,2.07,0.19,0.73,0.91,1.02,6.83,0.51,146.44,146.26,93.48,114.38,63.58,-10.58,33.84,107.35,35.47,1.89,0.55,0.26
CAPS-126,3,117.47,874.33,37.08,37.51,25.91,29.95,32.53,0.81,0.71,0.89,0.59,0.62,0.96,0.06,0.12,0.53,0.02,45.20,83.98,0.11,201.08,119.90,0.02,0.02,0.05,0.11,0.12,0.07,0.09,0.44,0.69,0.89,0.89,0.71,0.45,162.02,165.41,114.61,133.06,70.95,-12.30,31.95,111.05,34.23,0.74,0.65,0.20
CAPS-127,3,221.51,2692.33,74.85,75.31,31.83,45.78,47.86,0.61,0.43,0.64,0.80,0.67,1.19,0.09,0.21,0.57,0.16,205.00,189.03,0.38,224.40,148.55,0.04,0.01,0.01,0.13,0.19,0.06,0.19,0.45,0.56,0.89,0.89,0.43,0.56,162.37,100.14,79.05,113.59,52.12,24.71,27.76,48.31,37.17,1.99,0.74,0.14
CAPS-128,3,120.00,889.11,39.60,39.90,24.24,27.98,31.19,0.70,0.61,0.79,0.78,0.64,1.22,0.06,0.14,0.56,0.00,45.73,90.03,0.00,148.78,135.88,0.02,0.01,0.00,0.15,0.09,0.00,0.13,0.45,0.69,0.89,0.89,0.61,0.46,157.23,160.14,109.14,128.18,68.75,-12.03,32.18,110.45,34.41,0.89,0.63,0.20
CAPS-129,3,320.99,5852.40,61.17,67.35,98.17,109.18,109.14,1.62,1.60,1.78,1.06,0.63,1.69,0.09,0.17,0.58,0.06,174.45,100.85,0.30,123.15,50.85,0.00,0.05,0.00,0.42,0.22,0.00,0.89,0.20,0.72,0.89,0.90,1.61,0.48,115.38,51.27,41.48,73.65,31.67,29.94,22.26,36.64,37.31,3.39,0.82,0.13
CAPS-130,3,232.07,2304.48,32.43,34.86,87.35,94.72,98.25,2.77,2.75,3.09,0.64,0.42,1.54,0.06,0.30,0.39,0.03,213.73,132.75,0.00,66.25,41.83,0.00,0.14,0.00,0.20,0.29,0.00,0.69,0.41,0.74,0.89,0.89,2.76,0.39,107.34,110.16,64.88,83.80,48.06,-10.21,29.22,109.11,30.97,5.28,0.67,0.19
CAPS-131,3,247.85,3037.05,85.92,86.36,28.81,46.65,54.44,0.54,0.34,0.64,0.57,0.76,0.74,0.11,0.28,0.58,0.08,183.80,208.45,0.20,227.63,82.03,0.07,0.01,0.07,0.08,0.42,0.16,0.08,0.48,0.49,0.89,0.89,0.33,0.59,150.30,78.20,62.31,99.94,44.65,30.90,27.96,42.12,41.70,3.27,0.77,0.11
CAPS-132,3,341.91,3877.71,31.16,40.83,123.32,142.83,143.92,3.53,3.98,4.65,1.10,0.43,2.63,0.10,0.38,0.40,0.00,45.83,5.63,0.00,106.95,18.80,0.00,0.33,0.00,0.46,0.41,0.00,2.01,0.28,0.69,0.89,0.91,3.99,0.50,136.98,137.85,99.51,112.26,60.08,-8.76,24.71,109.53,26.22,2.60,0.66,0.18
CAPS-133,3,277.80,3226.80,37.85,51.56,84.01,96.60,99.54,1.87,2.24,2.70,1.03,0.52,2.06,0.11,0.24,0.40,0.06,92.58,88.03,0.28,95.75,34.95,0.00,0.10,0.00,0.41,0.39,0.00,1.17,0.22,0.69,0.87,0.95,2.25,0.51,107.61,50.12,40.50,69.54,30.12,27.24,20.44,36.94,34.06,5.74,0.83,0.10
CAPS-133A,3,322.81,4904.17,70.27,75.67,60.94,85.89,94.91,1.13,0.87,1.35,0.80,0.74,1.10,0.12,0.14,0.56,0.09,89.10,142.40,0.31,314.18,99.43,0.11,0.00,0.00,0.23,0.40,0.00,0.76,0.25,0.57,0.89,0.95,0.87,0.56,128.08,125.36,96.52,105.87,54.99,-5.35,19.34,105.46,20.07,1.82,0.64,0.25
CAPS-134,3,274.97,4003.54,60.90,68.90,63.71,79.59,90.99,1.15,1.05,1.44,1.06,0.64,1.68,0.12,0.14,0.55,0.03,52.95,132.03,0.09,167.38,66.75,0.02,0.08,0.00,0.44,0.24,0.00,0.90,0.24,0.64,0.89,0.89,1.04,0.51,131.86,128.44,100.91,109.61,56.70,-4.92,18.58,104.80,19.23,2.86,0.71,0.15
CAPS-135,3,273.80,4132.64,63.58,66.63,58.44,77.75,81.75,1.17,0.92,1.29,0.92,0.76,1.22,0.10,0.12,0.63,0.06,180.35,99.05,0.26,179.68,95.40,0.12,0.01,0.00,0.21,0.26,0.00,0.41,0.37,0.60,0.89,0.89,0.92,0.55,129.99,126.10,101.46,108.99,55.78,-4.16,16.79,104.00,17.30,1.30,0.68,0.17
CAPS-136,3,215.84,2578.01,47.22,54.08,54.93,65.36,69.00,1.21,1.17,1.45,0.86,0.59,1.59,0.10,0.14,0.51,0.03,180.35,163.50,0.07,109.78,64.45,0.03,0.14,0.00,0.30,0.28,0.00,0.63,0.28,0.67,0.89,0.90,1.17,0.49,125.29,127.12,85.12,100.71,55.23,-9.60,27.09,109.49,28.74,2.18,0.68,0.17
CAPS-137,3,196.27,980.18,12.91,19.22,75.80,83.23,85.40,4.44,5.86,6.63,1.16,0.56,2.10,0.12,0.42,0.39,0.01,150.35,4.98,0.04,41.55,9.75,0.00,0.06,0.00,0.49,0.23,0.00,1.09,0.24,0.73,0.88,0.93,5.92,0.50,128.48,131.95,84.84,103.30,57.27,-11.23,29.94,110.26,32.01,1.35,0.58,0.23
CAPS-138,3,307.82,3887.61,44.70,54.95,101.77,116.67,114.72,2.12,2.28,2.61,0.92,0.16,5.94,0.10,0.24,0.34,0.06,236.45,77.25,0.27,45.30,51.55,0.00,0.12,0.00,0.30,0.26,0.00,1.47,0.24,0.70,0.83,0.86,2.28,0.41,60.73,34.65,29.58,41.99,17.60,13.58,7.78,29.57,15.66,7.38,0.82,0.11
CAPS-139,3,166.99,1107.42,19.49,23.33,60.13,67.99,68.62,2.91,3.09,3.54,1.07,0.37,2.93,0.09,0.33,0.42,0.02,189.83,36.25,0.10,47.73,26.83,0.00,0.11,0.00,0.50,0.12,0.00,0.88,0.21,0.71,0.89,0.89,3.10,0.47,104.66,111.94,70.47,86.66,48.25,-11.92,26.06,114.57,28.67,1.32,0.60,0.22
CAPS-140,3,275.55,3337.86,39.54,44.24,93.32,101.58,102.35,2.32,2.39,2.67,0.97,0.56,1.74,0.08,0.27,0.47,0.04,219.60,47.58,0.15,178.53,29.90,0.01,0.07,0.00,0.30,0.21,0.00,0.83,0.37,0.73,0.88,0.90,2.40,0.45,118.81,57.78,46.98,77.91,34.21,28.08,22.11,38.14,35.75,1.37,0.73,0.14
CAPS-141,3,419.53,7499.95,58.50,69.00,126.75,153.08,158.94,2.25,2.18,2.75,1.16,0.50,2.40,0.10,0.27,0.46,0.06,201.20,62.75,0.27,65.50,31.50,0.00,0.02,0.00,0.60,0.52,0.00,1.66,0.12,0.66,0.89,0.89,2.18,0.50,105.00,47.49,38.81,67.48,29.00,27.55,19.99,35.91,34.04,5.73,0.74,0.13
CAPS-142,3,366.37,7418.23,67.37,76.93,117.46,128.19,129.41,1.67,1.75,1.94,1.02,0.49,2.12,0.08,0.18,0.52,0.04,251.37,210.37,0.17,110.87,84.63,0.00,0.04,0.00,0.41,0.40,0.00,1.13,0.21,0.73,0.88,0.90,1.75,0.46,109.23,52.67,44.23,72.06,31.13,26.76,19.29,35.74,32.99,7.15,0.45,0.18
CAPS-143,3,259.39,3034.75,65.64,66.44,37.99,60.26,76.93,0.91,0.58,1.19,0.88,0.70,1.26,0.13,0.18,0.60,0.04,79.58,86.95,0.12,199.90,90.70,0.06,0.03,0.00,0.20,0.26,0.00,0.33,0.43,0.50,0.89,0.88,0.57,0.59,106.25,107.16,69.40,84.92,46.86,-8.20,24.57,108.25,26.00,3.92,0.94,0.13
CAPS-143A,3,254.61,3022.81,38.82,44.81,86.70,94.45,97.74,2.11,2.22,2.57,0.92,0.45,2.42,0.08,0.25,0.43,0.03,212.40,53.28,0.12,76.68,53.45,0.00,0.17,0.06,0.29,0.27,0.13,0.87,0.41,0.73,0.88,0.89,2.23,0.44,120.46,54.17,44.05,77.32,33.55,30.88,23.29,37.01,38.68,4.21,0.78,0.12
CAPS-144,3,258.95,1737.45,18.58,28.02,100.20,110.41,113.89,4.07,5.42,6.26,0.96,0.52,1.92,0.11,0.42,0.31,0.00,172.23,7.73,0.00,37.18,17.48,0.00,0.29,0.00,0.38,0.45,0.00,2.12,0.27,0.73,0.90,0.94,5.43,0.46,116.11,120.09,73.73,91.92,52.20,-11.06,29.49,110.50,31.51,1.85,0.59,0.23
CAPS-145,3,286.92,3389.19,39.48,47.69,99.40,111.36,109.45,2.35,2.65,2.97,1.07,0.35,3.15,0.09,0.28,0.40,0.05,125.23,54.70,0.25,69.23,32.33,0.00,0.05,0.00,0.50,0.23,0.00,1.58,0.22,0.72,0.88,0.90,2.66,0.43,92.03,48.30,41.22,62.37,26.82,21.21,14.33,33.98,25.61,3.09,0.76,0.12
CAPS-146,3,262.83,3648.01,61.83,63.73,56.45,74.82,77.41,1.18,0.91,1.26,0.80,0.63,1.29,0.10,0.12,0.55,0.07,97.20,117.13,0.26,274.45,81.10,0.18,0.01,0.00,0.22,0.25,0.00,0.50,0.44,0.60,0.89,0.88,0.91,0.52,99.22,102.29,68.70,80.75,44.33,-8.47,21.59,111.44,23.20,3.64,0.86,0.11
CAPS-147,3,343.83,4928.21,70.36,73.94,66.99,89.07,107.89,1.21,0.96,1.53,0.79,0.62,1.43,0.12,0.13,0.57,0.04,87.50,154.18,0.10,287.78,95.63,0.06,0.04,0.00,0.27,0.31,0.00,0.61,0.35,0.60,0.89,0.89,0.96,0.52,112.20,115.88,77.61,91.59,50.07,-9.74,24.44,111.75,26.30,4.24,0.60,0.23
CAPS-148,3,286.32,3850.29,66.46,68.16,52.73,74.30,86.49,1.09,0.80,1.30,0.92,0.61,1.63,0.11,0.13,0.61,0.05,131.58,110.50,0.14,102.73,93.63,0.12,0.03,0.04,0.16,0.23,0.08,0.31,0.45,0.57,0.89,0.88,0.80,0.54,90.26,95.77,61.89,74.72,41.19,-9.63,21.37,114.32,23.44,3.47,0.83,0.12
CAPS-149,3,334.55,2614.21,23.01,48.09,80.52,132.76,137.11,3.04,3.55,6.10,1.07,0.51,2.07,0.13,0.41,0.24,0.04,239.53,101.50,0.11,123.80,96.78,0.01,0.05,0.00,0.50,1.04,0.00,3.51,0.15,0.51,0.70,-1.03,3.57,0.63,130.12,132.01,90.71,105.39,57.46,-9.60,26.45,110.03,28.14,5.06,0.62,0.20
CAPS-149A,3,307.85,2497.01,21.87,39.41,105.11,124.95,131.05,3.37,4.80,6.09,1.17,0.54,2.20,0.15,0.40,0.34,0.04,175.05,7.05,0.12,116.95,14.93,0.00,0.12,0.00,0.50,0.69,0.00,2.11,0.18,0.67,0.88,0.99,4.83,0.54,136.49,136.83,96.03,110.49,59.74,-8.87,26.42,108.51,27.89,2.45,0.66,0.18
