Genotype,Rep, Perimeter,  Area,  Width Mid-height,  Maximum Width,  Height Mid-width,  Maximum Height,  Curved Height,  Fruit Shape Index External I,  Fruit Shape Index External II,  Curved Fruit Shape Index,  Proximal Fruit Blockiness,  Distal Fruit Blockiness,  Fruit Shape Triangle,  Ellipsoid,  Circular,  Rectangular,  Shoulder Height,  Proximal Angle Micro,  Proximal Angle Macro,  Proximal Indentation Area,  Distal Angle Micro,  Distal Angle Macro,  Distal Indentation Area,  Distal End Protrusion,  Obovoid,  Ovoid,  V. Asymmetry,  H. Asymmetry.ob,  H. Asymmetry.ov,  Width Widest Pos,  Eccentricity,  Proximal Eccentricity,  Distal Eccentricity,  Fruit Shape Index Internal,  Eccentricity Area Index,  Average Red,  Average Green,  Average Blue,  Average Luminosity,  Average L Value,  Average a Value,  Average b Value,  Average Hue,  Average Chroma, Lobedness Degree,  Pericarp Area,  Pericarp Thickness
CAPS-34,3,213.95,2193.45,71.95,73.58,25.70,42.90,45.43,0.60,0.37,0.63,0.44,0.50,1.25,0.10,0.27,0.48,0.11,165.90,273.73,0.40,171.60,113.05,0.08,0.03,0.11,0.05,0.60,0.32,0.07,0.50,0.48,0.89,0.89,0.36,0.58,152.68,68.19,53.08,96.71,42.75,36.60,31.29,40.48,48.17,3.42,0.75,0.16
CAPS-35,3,126.00,926.50,43.90,44.30,21.78,26.65,27.71,0.60,0.50,0.65,0.70,0.61,1.15,0.07,0.20,0.54,0.09,201.63,230.58,0.34,153.35,128.20,0.03,0.01,0.02,0.15,0.13,0.03,0.11,0.44,0.65,0.89,0.89,0.49,0.48,163.51,74.60,58.43,104.27,46.32,38.08,33.26,41.18,50.61,1.34,0.56,0.25
CAPS-36,3,167.53,1556.37,57.87,58.53,25.89,34.37,35.62,0.59,0.45,0.61,0.64,0.71,0.93,0.08,0.21,0.52,0.12,230.95,248.53,0.38,148.78,183.55,0.05,0.01,0.08,0.07,0.27,0.10,0.07,0.50,0.60,0.89,0.88,0.45,0.52,153.39,75.78,60.96,100.76,44.53,33.46,28.56,40.47,44.00,2.57,0.70,0.17
CAPS-37,3,173.55,1626.81,59.82,60.20,26.27,35.35,37.28,0.59,0.44,0.62,0.74,0.65,1.15,0.08,0.22,0.53,0.12,204.08,256.13,0.42,192.93,144.70,0.07,0.01,0.03,0.12,0.24,0.04,0.16,0.46,0.59,0.89,0.89,0.44,0.52,156.76,73.51,56.90,100.45,44.56,35.91,31.63,41.33,47.88,1.93,0.63,0.22
CAPS-38,3,208.20,2233.95,75.65,76.12,26.48,38.59,39.49,0.51,0.35,0.52,0.60,0.73,0.81,0.09,0.27,0.54,0.15,214.48,249.20,0.53,199.00,188.98,0.06,0.01,0.12,0.03,0.41,0.17,0.04,0.51,0.55,0.89,0.89,0.35,0.55,152.37,77.21,60.14,99.89,44.87,32.11,29.95,43.03,43.91,2.80,0.77,0.17
CAPS-39,3,280.16,4188.02,50.46,52.62,93.87,101.81,102.57,1.94,1.86,2.05,0.89,0.54,1.63,0.07,0.21,0.50,0.05,258.85,98.30,0.14,118.73,87.15,0.00,0.01,0.00,0.31,0.18,0.00,0.71,0.34,0.74,0.89,0.89,1.86,0.43,142.19,71.17,56.32,93.38,41.59,31.19,27.16,41.12,41.39,4.72,0.65,0.20
CAPS-40,3,312.28,4945.34,53.04,59.50,104.54,116.37,117.29,1.96,1.97,2.23,0.99,0.34,2.92,0.08,0.22,0.44,0.04,252.68,92.10,0.14,52.30,59.55,0.00,0.13,0.00,0.44,0.24,0.00,1.34,0.28,0.72,0.88,0.88,1.97,0.44,124.98,59.25,48.40,81.53,35.55,30.14,23.18,37.53,38.04,4.84,0.61,0.21
CAPS-41,3,309.42,4802.38,51.22,54.14,115.87,120.67,120.28,2.24,2.28,2.38,0.84,0.37,2.30,0.07,0.25,0.45,0.03,271.63,111.10,0.09,71.50,66.50,0.00,0.04,0.00,0.33,0.10,0.00,1.00,0.34,0.77,0.89,0.89,2.28,0.38,131.73,59.08,48.33,84.64,36.84,33.10,25.36,37.42,41.70,4.78,0.62,0.21
CAPS-42,3,332.97,4869.56,45.21,50.82,117.77,132.06,132.42,2.61,2.65,3.00,0.99,0.39,2.56,0.08,0.30,0.43,0.03,257.53,130.63,0.12,64.93,59.60,0.00,0.11,0.00,0.40,0.30,0.00,1.31,0.28,0.71,0.88,0.90,2.66,0.45,130.69,65.90,53.16,86.49,38.28,29.15,24.07,39.55,37.80,4.42,0.64,0.20
CAPS-43,3,323.58,5265.87,53.32,57.68,112.27,122.05,122.75,2.12,2.12,2.33,0.97,0.44,2.24,0.08,0.24,0.48,0.04,268.15,137.55,0.12,79.83,69.15,0.00,0.02,0.00,0.42,0.14,0.00,1.24,0.24,0.74,0.89,0.89,2.12,0.43,142.90,69.98,56.61,93.85,41.40,32.25,26.59,39.51,41.80,4.33,0.78,0.18
