Genotype Genotype,Rep, Perimeter,  Area,  Width Mid-height,  Maximum Width,  Height Mid-width,  Maximum Height,  Curved Height,  Fruit Shape Index External I,  Fruit Shape Index External II,  Curved Fruit Shape Index,  Proximal Fruit Blockiness,  Distal Fruit Blockiness,  Fruit Shape Triangle,  Ellipsoid,  Circular,  Rectangular,  Shoulder Height,  Proximal Angle Micro,  Proximal Angle Macro,  Proximal Indentation Area,  Distal Angle Micro,  Distal Angle Macro,  Distal Indentation Area,  Distal End Protrusion,  Obovoid,  Ovoid,  V. Asymmetry,  H. Asymmetry.ob,  H. Asymmetry.ov,  Width Widest Pos,  Eccentricity,  Proximal Eccentricity,  Distal Eccentricity,  Fruit Shape Index Internal,  Eccentricity Area Index,  Average Red,  Average Green,  Average Blue,  Average Luminosity,  Average L Value,  Average a Value,  Average b Value,  Average Hue,  Average Chroma, Lobedness Degree,  Pericarp Area,  Pericarp Thickness
CAPS-149 CAPS-149,1,335.39,2966.37,22.16,39.37,118.77,134.39,140.08,3.42,5.39,6.42,1.35,0.62,2.2,0.13,0.41,0.35,0.03,165.48,86.63,0.09,25.95,17.45,0,0.12,0,0.51,0.58,0,2.2,0.22,0.71,0.87,0.95,5.4,0.56,115.65,116.43,79.4,92.9,50.95,-8.11,24.01,108.52,25.35,4.57,0.69,0.16
CAPS-150 CAPS-150,1,285.35,4266.9,49.06,56.13,92.69,101.09,100.79,1.8,1.89,2.06,1.08,0.55,2.03,0.09,0.21,0.48,0.05,202.18,79.55,0.22,113.18,35.15,0,0,0,0.5,0.21,0,1.09,0.19,0.73,0.89,0.88,1.89,0.46,127.84,60.86,50.29,83.7,36.5,30.53,23.41,37.34,38.49,2.05,0.68,0.17
CAPS-151 CAPS-151,1,269.57,2729.96,32.79,39.62,82.89,100.61,103.48,2.59,2.62,3.31,1.19,0.43,2.88,0.1,0.3,0.46,0.05,281.8,175.25,0.19,60.85,49.8,0,0.16,0,0.65,0.3,0,1.43,0.09,0.66,0.88,0.88,2.62,0.51,124.89,53.73,44.57,79.62,34.23,32.97,23.93,35.98,40.75,2.16,0.73,0.14
CAPS-152 CAPS-152,1,146,1121.64,26.25,31.54,48.64,53.17,53.65,1.72,1.93,2.13,1.04,0.31,3.39,0.1,0.2,0.4,0.03,218.28,181.55,0.12,53.4,54.55,0,0.05,0,0.49,0.1,0,0.73,0.23,0.74,0.89,0.89,1.93,0.44,147.07,142.36,99.73,116.27,62.5,-6.94,28.33,103.77,29.17,1.69,0.68,0.17
CAPS-153 CAPS-153,1,345.53,3296.77,27.81,67.01,87.61,116.18,145.14,1.83,3.15,6.58,1.13,1.34,1,0.17,0.33,0.31,0.03,187.25,84.48,0.1,47.45,17.33,0,0.46,0.28,0.03,1.46,1.26,1.04,0.71,0.61,0.77,25.54,3.16,0.63,112.84,114.46,69.29,87.3,50.07,-9.69,29.25,108.3,30.82,2.26,0.55,0.25
CAPS-154 CAPS-154,1,321.73,4077.87,37.13,44.53,113.77,130.41,130.8,2.97,3.1,3.59,1.08,0.49,2.25,0.09,0.34,0.45,0.03,267.6,106.75,0.14,60.53,38.73,0,0.12,0,0.43,0.42,0,1.57,0.24,0.7,0.88,0.9,3.11,0.48,120.66,125.23,85.28,99.52,54.4,-10.56,25.35,112.55,27.47,2.62,0.67,0.18
CAPS-155 CAPS-155,1,328.74,2986.83,25.1,36.51,124.99,138.58,140.82,3.9,4.96,5.67,1.14,0.47,2.47,0.12,0.41,0.36,0.02,54.53,66.88,0.09,32.35,19.73,0,0.09,0,0.48,0.45,0,2.24,0.22,0.72,0.87,0.99,4.99,0.47,131.78,134.18,93.3,107.67,58.38,-9.77,26.12,110.63,27.92,3.73,0.64,0.19
CAPS-156 CAPS-156,1,395.2,6185.44,47.13,48.8,153.42,162.98,163.98,3.34,3.26,3.5,0.89,0.42,2.16,0.07,0.34,0.49,0.03,162.9,88.83,0.1,55.3,46.17,0,0.04,0,0.34,0.17,0,1.31,0.36,0.75,0.89,0.89,3.26,0.41,108.59,111.46,72.15,86.79,48.8,-9.46,25.36,110.4,27.07,2.52,0.56,0.25
CAPS-157 CAPS-157,1,390.82,8467.87,71.4,74.25,135.44,144.24,144.85,1.94,1.9,2.03,0.89,0.48,1.85,0.06,0.2,0.53,0.05,254.1,119.13,0.13,98.63,87.23,0,0.02,0,0.34,0.16,0,0.98,0.33,0.75,0.89,0.89,1.9,0.43,121.87,60.54,51.41,81.43,35.32,28.23,20.55,36.05,34.92,2.8,0.66,0.18
CAPS-158 CAPS-158,1,343.33,3632.09,29.13,37.4,128.1,142.01,142.75,3.82,4.41,5,1.2,0.5,2.46,0.11,0.39,0.42,0.02,213.08,74.03,0.14,40.58,32.7,0,0,0,0.53,0.35,0,1.9,0.12,0.72,0.88,0.92,4.43,0.48,130.9,118.33,77.73,98.96,53.18,-2.22,28.85,93.48,29.47,2.81,0.69,0.16
CAPS-159 CAPS-159,1,310.99,4245.96,43.52,52.62,98.38,115.87,117.19,2.2,2.26,2.69,1.15,0.49,2.38,0.1,0.26,0.46,0.07,284.8,146.1,0.24,86.35,63.15,0,0,0,0.5,0.35,0,1.52,0.16,0.68,0.89,0.87,2.26,0.5,124.52,55.01,47.69,80.88,34.52,32.31,22.11,34.39,39.15,1.5,0.71,0.16
CAPS-160 CAPS-160,1,264.19,3707.62,62.55,67.29,57.3,72.73,74.81,1.08,0.91,1.18,1.01,0.6,1.71,0.11,0.12,0.56,0.12,227.2,256.18,0.53,135.33,122.53,0.02,0.04,0,0.38,0.3,0,0.7,0.27,0.63,0.89,0.88,0.91,0.51,111.14,113.71,81.57,92.55,49.3,-8.25,20.69,111.69,22.28,2.75,0.89,0.12
CAPS-161 CAPS-161,1,282.75,3882.32,57.57,60.94,60.41,80.81,86.66,1.34,1.07,1.55,0.97,0.7,1.41,0.1,0.14,0.6,0.09,246.2,244.53,0.28,200.53,202.6,0.03,0.02,0,0.29,0.21,0,0.5,0.32,0.6,0.89,0.84,1.07,0.56,131.83,129.23,91.7,105.49,56.67,-6.9,24.84,105.52,25.78,1.92,0.78,0.11
CAPS-162 CAPS-162,1,470.88,7407.12,48.01,57.15,157.42,182.91,185.93,3.22,3.36,4,1.1,0.46,2.61,0.09,0.35,0.46,0.04,252.2,90.43,0.17,63.77,50.13,0,0.11,0,0.5,0.46,0,1.84,0.18,0.69,0.88,0.9,3.36,0.49,110.77,49.06,42.17,71.78,30.59,29.43,19.81,33.82,35.49,3.62,0.71,0.16
CAPS-163 CAPS-163,1,262.78,3291.41,90.97,91.61,28.05,49.13,51.1,0.53,0.31,0.56,0.53,0.56,1.32,0.11,0.29,0.53,0.2,224.85,268.58,0.67,208.03,199.83,0.04,0.01,0.09,0.08,0.65,0.22,0.14,0.49,0.46,0.89,0.88,0.31,0.61,147.56,71.83,58.21,96.7,42.54,33.06,27.42,39.63,42.96,1.92,0.74,0.14
CAPS-164 CAPS-164,1,272.59,3550.04,97.85,98.36,29,48.51,51.71,0.49,0.3,0.53,0.8,0.63,1.47,0.11,0.3,0.57,0.16,222.05,262.7,0.5,145.5,104.1,0.12,0.04,0.05,0.11,0.59,0.16,0.11,0.46,0.48,0.89,0.88,0.3,0.6,138.86,70.09,57.64,92.36,40.69,30.37,24.81,39.26,39.23,2.92,0.75,0.13
CAPS-165 CAPS-165,1,233.61,2967.02,75.73,77.17,35.56,49.64,53.18,0.64,0.47,0.71,0.85,0.64,1.32,0.09,0.2,0.57,0.14,221.38,267.85,0.37,182.35,129.65,0.04,0.01,0,0.23,0.2,0,0.36,0.39,0.57,0.89,0.89,0.47,0.54,148.01,78.06,62.65,99.07,44.15,30.03,26.92,41.8,40.33,1.54,0.68,0.17
CAPS-166 CAPS-166,1,551.31,4226.36,19.94,50.04,198.65,224.07,241.67,4.8,10.05,12.56,1.27,0.65,1.97,0.2,0.45,0.3,0.04,67.33,96.38,0.05,22.95,15.9,0,0.21,0,0.31,0.98,0,4,0.34,0.71,0.98,1.01,10.11,0.53,105.89,108.35,70.62,84.51,47.4,-8.9,24.36,110.15,25.94,3.27,0.65,0.19
CAPS-168 CAPS-168,1,329.72,4433.7,44.15,54.74,121.75,127.76,128.68,2.3,2.7,2.98,0.91,0.41,2.25,0.09,0.29,0.37,0.06,154.4,277.6,0.23,70.9,53.15,0,0,0,0.33,0.44,0,1.28,0.33,0.75,0.87,0.92,2.71,0.39,140.8,67.68,53.89,91.56,40.46,32.4,27.08,39.91,42.29,4.15,0.78,0.1
CAPS-169 CAPS-169,1,247.89,2976.93,81.83,82.23,26.59,49.06,53.93,0.6,0.33,0.66,0.76,0.72,1.08,0.12,0.26,0.58,0.18,224.9,286.4,0.51,222.35,207.88,0.12,0.01,0.07,0.08,0.32,0.15,0.14,0.49,0.43,0.89,0.89,0.32,0.63,137.33,70.87,57.03,91.3,40.48,29.11,25.08,40.65,38.43,2.06,0.74,0.14
CAPS-171 CAPS-171,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.09,0.8,0.11
CAPS-173 CAPS-173,1,272.53,3153.64,41.11,47.01,78.8,95.55,98.42,2.07,1.99,2.46,1.05,0.32,3.39,0.09,0.23,0.47,0.08,272.18,189.6,0.34,36.85,73.68,0,0.13,0,0.46,0.22,0,1.18,0.24,0.66,0.89,0.86,1.99,0.48,102.13,45.37,39.21,66.23,28.02,27.64,17.99,33,32.99,3.59,0.55,0.08
CAPS-174 CAPS-174,1,185.45,1596.22,25.72,28.62,69.74,76.01,77.23,2.67,2.74,3.03,0.94,0.4,2.39,0.08,0.3,0.42,0.01,123.83,105.43,0.02,52.58,46.1,0,0.01,0,0.42,0.16,0,0.78,0.27,0.74,0.89,0.88,2.74,0.44,99.56,108.07,65.6,82.23,46.41,-12.58,26.53,115.37,29.36,2.67,0.68,0.17
