"line","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47"
1,49.848684814448,212.744952931692,13.0676403986509,13.7039059579442,13.9220275072131,14.9018823326311,16.2485867476907,1.08572906642463,1.02709533529678,1.19909146753942,0.794043088263159,0.565633133271801,1.44685317225945,0.0595703572046368,0.0630513295120593,0.519946699465044,0.0285763217327481,179.028834945447,166.990793197231,0.0933577388156169,93.6436225721452,126.426408271884,0.0141158133981512,0.0394384933999079,0.00216813257401144,0.232056217168824,0.0603514964539411,0.0110479869192921,0.110244471453794,0.370405323306202,0.740460654228374,0.890413178759397,0.937561782063185,1.03047140115983,0.43649258127065,173.153247503741,166.511151008411,118.425831883525,137.548093237292,72.5543374663099,-6.57301282803635,31.6214453853884,101.817925849233,32.6466443302554,1.76779071665987,0.590029804778511,0.242201275969598
2,93.6734476798892,585.754471360465,30.0811415956943,30.9862668398009,20.6847278255078,22.9587852354317,24.3703869478343,0.751119563405084,0.681703295198165,0.820413437156881,0.775597418311684,0.551484965456754,1.44094358473341,0.0626652364048323,0.135300880539103,0.523097976359356,0.0501418422615311,180.080834494431,211.811499735686,0.197567970079953,149.982674951528,150.736066065679,0.00546769171950649,0.0317067390080221,0.00216813257401144,0.244481387012891,0.0904878648800612,0.0110479869192921,0.170819687027262,0.382629527939181,0.715090117665842,0.890413178759397,0.937561782063185,0.681783948660952,0.445822489231447,148.271650510657,153.632294307859,104.240591996485,122.178158824532,65.8618708380398,-12.5228840437245,30.7335661340783,112.039818372238,33.4381141830016,1.75289946309513,0.605726685012915,0.229892192424653
3,74.3312993177727,352.126917827006,12.6790990513989,14.8750369811705,25.8863004272611,27.3256791823412,28.533138102196,1.85240715101311,2.03037697558325,2.20011860872458,1.01539112768086,0.469425592129481,2.3126077448244,0.081234511606005,0.210834502067375,0.453769884684484,0.0224147444388101,197.999893478787,98.7590004289463,0.0749676980042635,85.306657678269,66.8911335033573,0.00258498449329158,0.0471702477917937,0.00216813257401144,0.433965227134913,0.0754196806670012,0.0110479869192921,0.314287302859158,0.248163276976416,0.749974605439324,0.886433832376533,0.937561782063185,2.04692822023674,0.455152397192245,171.298068528345,170.978380336712,118.255004538892,137.26047251342,73.6390692871984,-10.1748633180253,33.2513380110076,106.993778299012,35.1400961021183,3.49517613016878,0.576949071249841,0.248355817742071
4,102.561352878238,691.843547655048,31.559574349221,32.7953044259577,23.4232606896087,26.3464960399943,27.7413282930396,0.819340918389652,0.740913359215071,0.882977633480953,0.812488758214634,0.497721927759575,1.7452873423245,0.0688549948052232,0.118880528032956,0.501039038099169,0.0593842082024381,213.575331245686,215.101788409179,0.173047915664815,134.465897668171,137.769019013164,0.0141158133981512,0.0645666951735367,0.00478374702421239,0.260012849317975,0.0965151385652852,0.0145617437520291,0.20270137943435,0.370405323306202,0.702404849384575,0.890413178759397,0.937561782063185,0.744284529769241,0.442712519911182,166.290670917833,163.384090478601,118.898892222509,134.652495837411,70.8483501480033,-7.80356193357276,28.8848746929578,105.156433892402,30.1950182010173,2.63743992484022,0.639736592187457,0.205274025334763
5,130.860076787918,799.860330147635,17.0485428463431,22.7065667845332,46.315427625446,49.6431687891202,50.4771120248333,2.21625437759747,2.75076608778894,2.94430325973723,1.25518483705003,0.480744126381519,2.64354464628267,0.105993545207569,0.289652194096877,0.40965200816411,0.0347378990266861,229.720602101617,135.407054455823,0.139332840844,66.8802948326779,44.619922053426,0.00258498449329158,0.0278408618120792,0.00216813257401144,0.561323218036599,0.123637870148793,0.0110479869192921,0.751066488836266,0.177874100336789,0.743631971298691,0.886433832376533,0.937561782063185,2.76404015084764,0.486252090394902,158.641625296202,161.269601929872,109.569091092543,128.195572171159,69.3790315906179,-11.4586253578552,32.3634587596975,109.347043689362,34.6221016049958,1.52953065962415,0.626655858658787,0.214505837993472
6,144.257334918026,1074.24370253738,22.9886156467043,26.8545951014354,49.2245038535388,53.7833391225333,54.3310244984451,2.03433076430529,2.16195489562082,2.3878111976968,1.05228246758381,0.4750848592555,2.25646666332701,0.0905191492065914,0.240391136578438,0.456921161578796,0.0470610536145621,243.27970739963,149.147421257294,0.185307942872384,86.2056527997944,59.6696607968023,0.00258498449329158,0.0394384933999079,0.00216813257401144,0.440177812056946,0.117610596463569,0.0110479869192921,0.610787042245078,0.226770918868703,0.727775385947108,0.886433832376533,0.937561782063185,2.1653503739156,0.464482305153042,166.674391697359,166.68322206402,121.622274312911,136.355598325957,71.9067854399006,-9.20040145877624,28.7612057972396,107.765995513384,30.4556241281411,2.12220255150049,0.621423565247319,0.211428567107236
7,183.196692939342,1697.10481955694,30.1305324449213,31.3624681461445,72.4643168775135,74.6057672200242,75.7033183099072,2.40792389874459,2.4284001836969,2.5326967049736,0.664923398602835,0.415662554432303,1.671417498249,0.0626652364048323,0.263379630087043,0.415954561952735,0.0193339557918411,138.897974372686,80.1302047411431,0.0197975755702034,67.5332811540562,54.9796540149522,0.00258498449329158,0.0645666951735367,0.00216813257401144,0.241375094551875,0.108569685935733,0.0110479869192921,0.419496887802549,0.394853732572159,0.775345142001857,0.890413178759397,0.937561782063185,2.43837922823076,0.358743348264007,120.910139058155,128.152541842739,80.7846835218514,98.877648497365,55.2183507288362,-13.257887698653,29.4112602490916,114.246628773655,32.4825591168812,6.28579704819957,0.545555310781032,0.276051255718197
8,214.840643860762,1771.13069462244,24.1509469651785,28.2383616456385,82.6641219162605,88.9616435586604,89.5090644429993,3.17785061928471,3.44812906398806,3.74117354975963,0.923162777923483,0.424151455121331,2.2682858383791,0.0843293908062005,0.348765463119003,0.425408392635672,0.0285763217327481,197.181671607356,93.5369938890803,0.0964227456175091,41.7722114892626,31.4474501755611,0.00258498449329158,0.165079502268052,0.00216813257401144,0.362520500531528,0.183910607001034,0.0110479869192921,0.932792135556669,0.339844811723756,0.740460654228375,0.892402851950829,0.937561782063185,3.45812555157653,0.427162673309853,118.54121821265,124.89311896246,79.0862654992484,96.3957078688957,53.913385477646,-12.586074403198,28.5424069817382,113.707408132585,31.4176139085114,2.4885273891929,0.631888152070255,0.23296946331089
9,482.099102970783,2767.97007582509,14.700831146422,42.8284297003576,173.89826229178,200.227078344401,213.718067908384,5.09779446670755,12.277007498509,15.3583569514084,1.29822473360347,0.56846276683481,2.43375428910823,0.205029679613823,0.457139789659568,0.226877948293991,0.0439802649675931,109.903697914306,145.111131649534,0.0473826367872334,71.8460280208338,12.7537910686584,0.00258498449329158,0.186341826845738,0.00216813257401144,0.586173557724733,0.89814253870008,0.0110479869192921,2.96365594188818,0.0800804632729603,0.696062215243942,0.989896838330994,0.937561782063185,12.3759716244487,0.536011599519153,121.848827907244,123.3775700496,89.3161953297818,100.532275583011,53.9955621307436,-8.40553325276759,21.9657585273916,111.181059573496,23.6959568085488,4.27845606767369,0.579565217955575,0.245278546855835
10,145.715762334679,1026.48486302608,20.8516382368182,24.0707054344923,51.8613666352599,56.7110310011611,57.1138581430736,2.38843208303471,2.51392583172132,2.77307493295556,1.03383679763233,0.480744126381519,2.22396393193379,0.0843293908062005,0.279799982593189,0.447467330895859,0.0378186876736551,242.484863295953,131.473870668246,0.154657874853462,75.1565168129376,50.3876190728846,0.00258498449329158,0.0568349407816509,0.00216813257401144,0.433965227134913,0.144733328047077,0.0110479869192921,0.610787042245078,0.226770918868704,0.727775385947108,0.884444159185101,0.937561782063185,2.52390633922105,0.461372335832776,171.14584871498,167.523722989493,110.915999002151,133.088356170511,72.4392901519732,-9.1405369076961,36.1401165750913,104.134577492349,37.6560693738561,1.5712261696054,0.584797511367043,0.245278546855835
