Taxa,Cultivation type ,Plant growth habit ,Leaf type ,Inflorescence type,Stype position ,After the fruit turns colour. ,Exterior colour of inmature fruit,Presence of jointless pedicel,Exterior color of mature fruit ,Presence of green (shoulder) trips on the fruit ,Intensity of greenback (green shoulder),Fruit fasciation ,Fruit size,Shape of pistil scar,Blossom end shape  ,Ribbing at calix end ,Skin colour of ripen fruit ,Transvers section ,Number of locules,Puffiness,Varietal type,Fruit ize variation within a plant,Fruit set ,Flowering earliness,Maturity earliness,Fruit yield per plant,Average fruit weight,Productivity per plant,Fruit number per plant,"Brix,%",BNTC,"FRAP, umol Fe2+/g FW","TP, mg GAE/100g FW",Resistance
CPSBB_TOM126,2,4,3,1,2,4,5,1,3,1,3,1,1,1,2,0,2,1,1,0,5,1,1,5,5,1,12.2,320,26,8.6,9.3,6.7,127.61,0
CPSBB_TOM127,2,4,3,2,2,4,5,1,7,1,7,1,1,1,2,0,2,1,1,0,5,1,1,5,5,3,15.6,942,60,8.4,25.7,7.14,130.81,0
CPSBB_TOM128,2,4,3,3,2,3,5,1,4,0,0,1,2,1,2,0,2,1,1,0,5,1,1,5,5,5,35.4,1799,51,5.6,34,6.15,89.79,0
CPSBB_TOM129,2,4,3,1,2,4,5,0,5,1,5,1,3,1,2,0,1,1,1,3,3,1,1,5,5,7,96.7,2170,22,4.7,20.9,3.15,46.23,0
CPSBB_TOM131,2,4,3,2,2,6,5,1,4,1,5,1,3,1,3,0,2,2,1,3,4,1,1,5,5,5,126.8,1983,16,6.7,24.7,4.2,67.61,0
CPSBB_TOM132,2,3,3,2,2,4,5,0,4,1,3,1,1,1,3,0,2,1,1,0,5,1,1,5,5,1,19.1,389,20,8.3,38.6,7.18,128.91,0
CPSBB_TOM133,2,3,3,1,2,3,5,1,4,0,0,1,2,1,2,0,2,1,1,0,4,1,1,5,5,1,43,405,9,6.9,36,4.94,79.64,0
CPSBB_TOM134,2,4,3,3,2,9,5,1,4,0,0,1,2,1,2,7,2,3,3,0,4,1,1,5,5,1,24.7,161,6,7.2,28,8.98,158.12,0
CPSBB_TOM135,2,2,3,2,2,2,5,0,3,0,0,1,3,2,2,0,2,1,3,0,4,1,1,5,5,3,58.9,1178,20,6.6,30.3,4.67,85.16,0
CPSBB_TOM136,2,4,3,3,2,6,5,1,4,0,0,1,3,1,3,3,2,1,2,3,4,1,1,5,5,3,88.5,829,9,6.8,27.5,4.61,86.3,0
CPSBB_TOM137,2,3,3,3,2,3,5,1,3,1,3,1,3,2,2,0,2,1,3,0,4,1,1,5,5,3,71.4,770,13,7.1,33.2,5.32,89.14,0
CPSBB_TOM138,2,4,3,3,2,1,5,1,7,0,0,1,3,4,2,3,2,2,3,0,4,1,1,5,5,5,100.8,1011,10,6.7,16,4.56,87.64,0
CPSBB_TOM139,2,3,3,1,2,4,5,1,5,1,3,1,2,1,3,0,1,1,1,0,5,1,1,5,5,3,24.2,628,25,8.4,37.8,7.17,118.02,0
CPSBB_TOM140,2,4,3,1,2,4,5,1,9,1,3,1,1,1,2,0,2,1,1,0,5,1,1,5,5,1,17.3,274,16,8.4,21.2,6.96,109.28,0
CPSBB_TOM141,2,1,1,1,2,2,5,1,3,0,0,1,3,2,2,0,2,2,2,0,4,5,1,5,5,3,94,902,9,6.9,30.3,4.73,80.96,0
CPSBB_TOM142,2,1,1,3,2,3,5,0,5,0,0,1,3,2,2,0,1,2,1,0,4,3,1,5,5,3,65.2,627,10,5.5,29.2,3.9,60.72,0
CPSBB_TOM143,2,4,3,3,2,8,5,1,4,1,3,1,1,1,2,0,2,1,1,0,5,1,1,5,5,3,8,1036,135,12,65.8,12.72,180.69,0
CPSBB_TOM144,2,4,3,2,2,3,5,1,4,1,3,1,1,1,2,0,2,1,1,0,5,1,1,5,5,3,9.3,939,105,11.1,65.8,13.25,246.28,0
CPSBB_TOM145,2,4,3,1,2,6,5,1,3,1,3,1,2,1,3,0,2,2,2,0,4,3,1,5,5,3,50.4,883,18,7.8,31.5,5.43,61.77,0
CPSBB_TOM146,2,4,3,3,2,1,5,0,4,0,0,1,4,4,2,3,2,1,3,0,4,3,3,5,5,5,158.6,1209,8,7.1,34.9,5.1,59.61,0
CPSBB_TOM147,2,4,3,3,2,5,5,0,4,1,3,1,4,4,2,3,2,1,3,0,4,3,3,5,5,5,163,1724,11,7.3,42.9,4.77,58.78,0
CPSBB_TOM148,2,4,3,3,2,3,5,1,3,0,0,1,4,1,2,0,2,1,3,0,4,3,1,5,5,5,156.3,1450,9,7,29.2,4.26,49.15,0
CPSBB_TOM149,2,4,3,1,2,6,5,1,2,0,0,1,3,1,3,0,2,1,1,0,4,1,1,5,5,7,81.9,2141,26,6.9,36,4.09,46.94,0
CPSBB_TOM150,2,4,3,2,2,4,5,1,5,0,0,1,1,1,2,0,1,1,1,0,5,1,1,5,5,7,13,1744,160,8.5,42,6.79,82.16,0
CPSBB_TOM151,2,4,3,1,2,3,5,1,2,1,3,1,2,1,2,0,2,1,1,0,5,1,1,5,5,3,22.6,980,43,6.3,42,4.97,59.46,0
CPSBB_TOM152,2,4,3,3,2,4,5,1,4,1,3,1,1,1,2,0,2,1,1,0,5,1,1,5,5,7,7,1988,268,11.2,57.1,8.27,96.29,0
